Feature,Importance
MNDWI_mean,0.1542057982465273
B12_mean,0.10524238262775162
B11_mean,0.10486814688883442
NDVI_mean,0.09851712757772697
B2_stdDev,0.09034205218005954
B2_mean,0.08587731880221709
B8_mean,0.08205968378198608
B3_stdDev,0.049970743673911695
B4_stdDev,0.04132827225682967
B8_stdDev,0.039297703489511886
MNDWI_stdDev,0.028485237024428654
NDBI_mean,0.021884463303528664
B3_mean,0.019838553781256072
NDVI_stdDev,0.0182229932488774
B4_mean,0.016139330288719035
B11_stdDev,0.014795795551387167
NDBI_stdDev,0.014596614382851442
B12_stdDev,0.014327782893595355
