Feature,Importance
MNDWI_mean,0.15801447018293707
B12_mean,0.1017035030454127
NDVI_mean,0.09783384603104904
B11_mean,0.09767600362609478
B2_mean,0.08790013775059197
B8_mean,0.08756026676094528
B2_stdDev,0.08595287090948976
B3_stdDev,0.0500408664655313
B4_stdDev,0.04286330653933605
B8_stdDev,0.039917953437513094
MNDWI_stdDev,0.026961981185542595
NDBI_mean,0.0215883609852679
B3_mean,0.02082142548580354
B4_mean,0.019126505732522312
NDVI_stdDev,0.01615224043893108
NDBI_stdDev,0.015551810296726823
B11_stdDev,0.015346891288258044
B12_stdDev,0.014987559838046517
