system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,lat,lon,.geo,Margin,Original_ID
1134,2802.0,2105.0,918.0,1178.0,1365.0,2718.0,1,-0.4080402,0.015217391,0.331374,31.990938645357016,117.41919502914052,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.41919502914051,31.990938645357016]}",0.1333333333333333,1134
8761,615.2,456.4,870.0,1268.0,1061.0,775.0,2,0.346644,-0.11494749,-0.15577342,31.625773482362433,116.8900873267941,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.8900873267941,31.625773482362433]}",0.15999999999999998,8761
978,1344.0,913.3333333333334,331.5,499.75,388.3333333333333,2264.0,1,-0.45789832,-0.2549889,0.7071761,32.02094237584661,117.10182023926107,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.10182023926107,32.02094237584661]}",0.15999999999999998,978
7336,357.0,261.5,593.5,913.0,515.0,362.0,2,0.43779528,-0.006954103,-0.17445838,32.218212412239254,117.50893672602405,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.50893672602405,32.218212412239254]}",0.16666666666666669,7336
14488,2660.0,2445.0,1362.0,1726.0,2024.0,2388.0,3,-0.21295029,0.053882726,0.08250227,31.949526310759108,116.85101061193492,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.85101061193491,31.949526310759108]}",0.16666666666666674,14488
6156,953.0,700.0,819.0,1096.0,894.0,533.3333333333334,2,0.06979014,0.2823503,-0.25268567,31.964887502117552,117.09759815742572,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.09759815742572,31.964887502117552]}",0.18666666666666665,6156
1657,2404.0,1741.0,583.8888888888889,901.8333333333334,997.25,2821.5,1,-0.45439878,-0.07989666,0.47770867,32.465249115372124,117.16083955342772,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.16083955342773,32.465249115372124]}",0.1866666666666667,1657
6011,333.0,228.0,732.0,936.0,736.0,690.0,2,0.47517732,-0.3489736,-0.032258064,31.65523822368155,117.50336717126252,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.50336717126251,31.65523822368155]}",0.1866666666666667,6011
13606,1676.0,1580.5,1385.0,1526.0,1658.0,1771.0,3,-0.046845723,-0.027560197,0.032954212,31.770492074634085,117.42763919281124,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.42763919281123,31.770492074634085]}",0.1866666666666667,13606
7408,943.5,627.0,930.0,1434.0,1378.0,991.5,2,0.20630915,-0.024806201,-0.16311458,31.67823509495501,116.85640050363962,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.85640050363962,31.67823509495501]}",0.19666666666666666,7408
