Scene_group,n,n_disagree,disagree_pct,CI95
Built-up edge / urban fabric,158,109,69.0,"[61,76]"
Urban green space,42,29,69.0,"[54,81]"
Other / misc,6,4,66.7,"[30,90]"
Road / road edge,106,67,63.2,"[54,72]"
Water / water edge,162,95,58.6,"[51,66]"
Vegetation / forest edge,106,59,55.7,"[46,65]"
Rural settlement / surfaces,40,16,40.0,"[26,55]"
Paddy / cropland / field,18,7,38.9,"[20,61]"
Bare land / construction,65,25,38.5,"[28,51]"
Cropland / paddy transition,11,4,36.4,"[15,65]"
Mixed / complex,24,7,29.2,"[15,49]"
Greenhouse / polytunnel,9,1,11.1,"[2,44]"
Soft boundary / shadow,3,0,0.0,"[0,56]"
