    City  K  n_expansion_candidates_excl_train_and_bams  n_of_those_inside_test_set  leak_fraction
   Wuhan  5                                         160                         160            1.0
   Wuhan 10                                         297                         297            1.0
   Wuhan 20                                         531                         531            1.0
   Wuhan 30                                         673                         673            1.0
   Hefei  5                                         159                         159            1.0
   Hefei 10                                         288                         288            1.0
   Hefei 20                                         483                         483            1.0
   Hefei 30                                         629                         629            1.0
Nanchang  5                                         152                         152            1.0
Nanchang 10                                         308                         308            1.0
Nanchang 20                                         497                         497            1.0
Nanchang 30                                         633                         633            1.0
 Nanjing  5                                         177                         177            1.0
 Nanjing 10                                         332                         332            1.0
 Nanjing 20                                         541                         541            1.0
 Nanjing 30                                         713                         713            1.0
Changsha  5                                         165                         165            1.0
Changsha 10                                         278                         278            1.0
Changsha 20                                         443                         443            1.0
Changsha 30                                         561                         561            1.0
