City,PartitionSeed,Method,OA,Kappa,Boundary Error,Boundary Error Reduction %,n_test,BestK,n_expanded
Nanjing,0,Baseline,0.900952380952381,0.8466886537956223,376,0.0,4725,,
Nanjing,0,BAMS150,0.9011640211640212,0.8470807448595166,372,1.0638297872340423,4725,,
Nanjing,0,BAMS150+PrototypeExpansion_Boundary,0.9121693121693122,0.8639521741634191,324,13.829787234042554,4725,20.0,0.0
Nanjing,1,Baseline,0.9129343629343628,0.8692016304193859,342,0.0,5180,,
Nanjing,1,BAMS150,0.9121621621621622,0.8680113910386404,347,-1.461988304093567,5180,,
Nanjing,1,BAMS150+PrototypeExpansion_Boundary,0.9216216216216216,0.8820611186169902,288,15.789473684210526,5180,10.0,0.0
Nanjing,2,Baseline,0.9145389322641908,0.871821534078444,309,0.0,4739,,
Nanjing,2,BAMS150,0.9164380671027644,0.8746569360090104,304,1.6181229773462782,4739,,
Nanjing,2,BAMS150+PrototypeExpansion_Boundary,0.919814306815784,0.8797702708323499,280,9.385113268608414,4739,20.0,0.0
Wuhan,0,Baseline,0.9053112755768392,0.8520807357214153,291,0.0,4594,,
Wuhan,0,BAMS150,0.9024814976055724,0.8477413946203259,303,-4.123711340206185,4594,,
Wuhan,0,BAMS150+PrototypeExpansion_Boundary,0.9196778406617327,0.8747090446079249,234,19.587628865979383,4594,20.0,0.0
Wuhan,1,Baseline,0.9185825775152922,0.8737258219435183,245,0.0,4741,,
Wuhan,1,BAMS150,0.9164733178654292,0.8704559003742589,251,-2.4489795918367347,4741,,
Wuhan,1,BAMS150+PrototypeExpansion_Boundary,0.9344020248892638,0.898101043446819,174,28.97959183673469,4741,20.0,0.0
Wuhan,2,Baseline,0.9063766261463,0.8581420153159164,307,0.0,4689,,
Wuhan,2,BAMS150,0.9061633610577948,0.8576661332722557,305,0.6514657980456027,4689,,
Wuhan,2,BAMS150+PrototypeExpansion_Boundary,0.9159735551290252,0.8721188398130761,254,17.263843648208468,4689,20.0,0.0
Changsha,0,Baseline,0.9269205370900286,0.8902622673865735,260,0.0,4543,,
Changsha,0,BAMS150,0.9251595861765354,0.8876040336866273,262,-0.7692307692307693,4543,,
Changsha,0,BAMS150+PrototypeExpansion_Boundary,0.936385648250055,0.9043420626600884,223,14.23076923076923,4543,10.0,0.0
Changsha,1,Baseline,0.9336073997944502,0.8996160496522037,274,0.0,4865,,
Changsha,1,BAMS150,0.9356628982528264,0.9027393144470804,261,4.744525547445255,4865,,
Changsha,1,BAMS150+PrototypeExpansion_Boundary,0.9381294964028776,0.9064866446850112,242,11.67883211678832,4865,10.0,0.0
Changsha,2,Baseline,0.9275057383320582,0.888103214135798,242,0.0,5228,,
Changsha,2,BAMS150,0.9267406273909716,0.8869734369028011,246,-1.6528925619834711,5228,,
Changsha,2,BAMS150+PrototypeExpansion_Boundary,0.9426166794185156,0.9114712569455892,218,9.917355371900827,5228,10.0,0.0
Hefei,0,Baseline,0.9268935236004392,0.889405916302076,263,0.0,4555,,
Hefei,0,BAMS150,0.9264544456641054,0.8887420526131591,263,0.0,4555,,
Hefei,0,BAMS150+PrototypeExpansion_Boundary,0.9319429198682766,0.8970752774386355,236,10.26615969581749,4555,20.0,0.0
Hefei,1,Baseline,0.9338860103626944,0.9007706004920292,265,0.0,4825,,
Hefei,1,BAMS150,0.9340932642487046,0.9010724549247328,260,1.8867924528301887,4825,,
Hefei,1,BAMS150+PrototypeExpansion_Boundary,0.9469430051813472,0.9203904323375712,193,27.16981132075472,4825,20.0,0.0
Hefei,2,Baseline,0.9295445698715452,0.8918669776552939,286,0.0,5138,,
Hefei,2,BAMS150,0.928766056831452,0.8905021484312905,290,-1.3986013986013983,5138,,
Hefei,2,BAMS150+PrototypeExpansion_Boundary,0.9443363176333204,0.9140246491052753,206,27.972027972027973,5138,20.0,0.0
Nanchang,0,Baseline,0.8966951192821186,0.8446495804122156,237,0.0,4569,,
Nanchang,0,BAMS150,0.8977894506456555,0.8462049163873934,230,2.9535864978902957,4569,,
Nanchang,0,BAMS150+PrototypeExpansion_Boundary,0.9054497701904136,0.857163853555696,178,24.89451476793249,4569,20.0,0.0
Nanchang,1,Baseline,0.89738034272208,0.8451559669977275,224,0.0,5077,,
Nanchang,1,BAMS150,0.8987591097104589,0.847177709355156,221,1.3392857142857142,5077,,
Nanchang,1,BAMS150+PrototypeExpansion_Boundary,0.9068347449281072,0.8589274597759672,173,22.767857142857142,5077,20.0,0.0
Nanchang,2,Baseline,0.8764254613311218,0.814340998928548,214,0.0,4823,,
Nanchang,2,BAMS150,0.8772548206510471,0.815530283501075,215,-0.4672897196261681,4823,,
Nanchang,2,BAMS150+PrototypeExpansion_Boundary,0.8867924528301887,0.8296341098990734,181,15.42056074766355,4823,10.0,0.0
