feature_set,held_out,n_test,wc_vs_human_acc,operator_acc,hybrid_acc,operator_acc_boundary,n_operator_fires,fire_precision_vs_human
all27,Wuhan,150,0.41333333333333333,0.7333333333333333,0.47333333333333333,0.7419354838709677,19,0.7368421052631579
all27,Hefei,150,0.5066666666666667,0.6666666666666666,0.5866666666666667,0.674074074074074,32,0.6875
all27,Nanchang,150,0.46,0.74,0.5066666666666667,0.8090909090909091,11,0.8181818181818182
all27,Nanjing,150,0.32,0.7533333333333333,0.4,0.7833333333333333,16,0.875
all27,Changsha,150,0.5066666666666667,0.7333333333333333,0.6066666666666667,0.7570093457943925,20,0.85
all27,Hangzhou,150,0.5333333333333333,0.6866666666666666,0.56,0.6601941747572816,4,1.0
transfer15,Wuhan,150,0.41333333333333333,0.6666666666666666,0.4666666666666667,0.6935483870967742,16,0.75
transfer15,Hefei,150,0.5066666666666667,0.6066666666666667,0.6,0.6148148148148148,26,0.7692307692307693
transfer15,Nanchang,150,0.46,0.6666666666666666,0.52,0.7363636363636363,13,0.8461538461538461
transfer15,Nanjing,150,0.32,0.7,0.3933333333333333,0.7416666666666667,13,0.9230769230769231
transfer15,Changsha,150,0.5066666666666667,0.7133333333333334,0.56,0.7383177570093458,10,0.9
transfer15,Hangzhou,150,0.5333333333333333,0.62,0.5666666666666667,0.6990291262135923,5,1.0
