feature_set held_out  n_test  wc_vs_human_acc  operator_acc  hybrid_acc  operator_acc_boundary  n_operator_fires  fire_precision_vs_human
      all27    Wuhan     150         0.413333      0.733333    0.473333               0.741935                19                 0.736842
      all27    Hefei     150         0.506667      0.666667    0.586667               0.674074                32                 0.687500
      all27 Nanchang     150         0.460000      0.740000    0.506667               0.809091                11                 0.818182
      all27  Nanjing     150         0.320000      0.753333    0.400000               0.783333                16                 0.875000
      all27 Changsha     150         0.506667      0.733333    0.606667               0.757009                20                 0.850000
      all27 Hangzhou     150         0.533333      0.686667    0.560000               0.660194                 4                 1.000000
 transfer15    Wuhan     150         0.413333      0.666667    0.466667               0.693548                16                 0.750000
 transfer15    Hefei     150         0.506667      0.606667    0.600000               0.614815                26                 0.769231
 transfer15 Nanchang     150         0.460000      0.666667    0.520000               0.736364                13                 0.846154
 transfer15  Nanjing     150         0.320000      0.700000    0.393333               0.741667                13                 0.923077
 transfer15 Changsha     150         0.506667      0.713333    0.560000               0.738318                10                 0.900000
 transfer15 Hangzhou     150         0.533333      0.620000    0.566667               0.699029                 5                 1.000000
