held_out,method,WC_OA,WC_BE,Human_OA,Human_BE,n_corrected
Changsha,B0_baseline,0.9365763382932661,237.6,0.356,72.0,0.0
Changsha,B1_local_oracle,0.9363602747243055,237.2,0.38133333333333336,69.8,32.0
Changsha,B2_loco_gated,0.9344282017629325,247.2,0.39733333333333337,66.0,116.4
Changsha,B3_loco_ungated,0.9241663589919418,297.2,0.4666666666666667,55.8,240.4
Changsha,B4_random_flip,0.935679192908007,243.2,0.35866666666666663,72.0,116.4
Hangzhou,B0_baseline,0.9670173138860172,111.6,0.43200000000000005,58.4,0.0
Hangzhou,B1_local_oracle,0.9614425182702293,139.4,0.44666666666666666,57.0,119.4
Hangzhou,B2_loco_gated,0.9660431458666844,117.2,0.43466666666666665,58.6,17.6
Hangzhou,B3_loco_ungated,0.9659230296463311,118.0,0.43600000000000005,58.4,21.0
Hangzhou,B4_random_flip,0.96676535714673,113.6,0.42666666666666664,59.0,17.6
Hefei,B0_baseline,0.9354021774643284,249.8,0.4,78.4,0.0
Hefei,B1_local_oracle,0.9358335899677069,248.2,0.41466666666666663,76.4,10.6
Hefei,B2_loco_gated,0.9289784276873263,280.6,0.43466666666666665,73.8,145.4
Hefei,B3_loco_ungated,0.9228779059750366,308.8,0.46266666666666667,69.6,267.2
Hefei,B4_random_flip,0.9342146704680724,254.4,0.41466666666666663,76.4,145.4
Nanchang,B0_baseline,0.9036063454196832,208.2,0.27999999999999997,83.0,0.0
Nanchang,B1_local_oracle,0.9044107465304807,205.6,0.316,77.0,40.2
Nanchang,B2_loco_gated,0.9019080136818252,214.6,0.30133333333333334,79.6,88.8
Nanchang,B3_loco_ungated,0.8963893129677045,239.4,0.33199999999999996,74.8,200.0
Nanchang,B4_random_flip,0.9030483533567573,207.2,0.2773333333333333,82.8,88.8
Nanjing,B0_baseline,0.9145509136896219,321.8,0.476,63.2,0.0
Nanjing,B1_local_oracle,0.9096463136110193,346.6,0.58,48.6,121.8
Nanjing,B2_loco_gated,0.9138237289838764,326.6,0.5026666666666667,59.4,57.4
Nanjing,B3_loco_ungated,0.9120198908484166,333.6,0.5293333333333333,57.2,101.8
Nanjing,B4_random_flip,0.91413552172113,323.2,0.46799999999999997,64.8,57.4
Wuhan,B0_baseline,0.9184072160026597,253.6,0.43866666666666665,66.6,0.0
Wuhan,B1_local_oracle,0.9178379399726104,258.4,0.46266666666666667,63.0,22.2
Wuhan,B2_loco_gated,0.9159686939438411,265.8,0.4573333333333333,64.4,76.4
Wuhan,B3_loco_ungated,0.9100565943498455,293.6,0.49866666666666665,59.2,174.0
Wuhan,B4_random_flip,0.9171867192430339,256.0,0.44266666666666665,65.8,76.4
