held_out,seed,method,n_train,n_corrected,WC_OA,WC_Kappa,WC_BE,Human_OA,Human_BE
Wuhan,0,B0_baseline,10313,0,0.91359929468812,0.8666747528728209,263,0.4533333333333333,64
Wuhan,0,B1_local_oracle,10313,15,0.9127176548379987,0.8654235093066396,271,0.4666666666666667,62
Wuhan,0,B2_loco_gated,10313,75,0.9105135552126956,0.8622311407753557,281,0.46,63
Wuhan,0,B3_loco_ungated,10313,171,0.9027992065241349,0.8507952089919433,312,0.5066666666666667,58
Wuhan,0,B4_random_flip,10313,75,0.9131584747630593,0.8659687498500415,263,0.4666666666666667,62
Wuhan,1,B0_baseline,10140,0,0.9229299363057325,0.880300782326413,222,0.4266666666666667,69
Wuhan,1,B1_local_oracle,10140,28,0.9222929936305733,0.8793143715492588,231,0.44,67
Wuhan,1,B2_loco_gated,10140,81,0.9205944798301486,0.8766905747817756,240,0.44666666666666666,66
Wuhan,1,B3_loco_ungated,10140,189,0.9171974522292994,0.871440251316147,255,0.5,59
Wuhan,1,B4_random_flip,10140,81,0.921443736730361,0.8780233781875815,229,0.4266666666666667,68
Wuhan,2,B0_baseline,10213,0,0.9191287470347207,0.8777148860022496,267,0.4266666666666667,68
Wuhan,2,B1_local_oracle,10213,22,0.9184817770109985,0.876700273754591,274,0.48,60
Wuhan,2,B2_loco_gated,10213,74,0.91697218028898,0.8743399529610243,279,0.4666666666666667,64
Wuhan,2,B3_loco_ungated,10213,170,0.9098555100280353,0.8633767394519185,312,0.5,59
Wuhan,2,B4_random_flip,10213,74,0.91697218028898,0.8744574281326977,271,0.4266666666666667,68
Wuhan,3,B0_baseline,10318,0,0.9218887908208296,0.8818415950833763,251,0.43333333333333335,67
Wuhan,3,B1_local_oracle,10318,27,0.9203442188879082,0.8795353924959709,255,0.46,63
Wuhan,3,B2_loco_gated,10318,73,0.9181376875551632,0.8762616349779608,261,0.43333333333333335,67
Wuhan,3,B3_loco_ungated,10318,164,0.9132833186231244,0.8690443935267899,288,0.48,62
Wuhan,3,B4_random_flip,10318,73,0.9183583406884378,0.876506923158104,259,0.44,66
Wuhan,4,B0_baseline,10219,0,0.9144893111638955,0.8704445535841953,265,0.4533333333333333,65
Wuhan,4,B1_local_oracle,10219,19,0.9153530554955733,0.8718242767030756,261,0.4666666666666667,63
Wuhan,4,B2_loco_gated,10219,79,0.9136255668322176,0.8693217499711117,268,0.48,62
Wuhan,4,B3_loco_ungated,10219,176,0.907147484344634,0.8597287853638318,301,0.5066666666666667,58
Wuhan,4,B4_random_flip,10219,79,0.9160008637443317,0.8727456248999567,258,0.4533333333333333,65
Hefei,0,B0_baseline,10343,0,0.931218105169736,0.8959996212673282,241,0.3933333333333333,81
