held_out,seed,tau,q,n_corrected,Human_OA,Human_BE,WC_OA,WC_BE
Wuhan,0,0.7,0.05,114,0.4866666666666667,60,0.9078686356623319,291
Wuhan,1,0.7,0.05,129,0.4533333333333333,65,0.9212314225053079,237
Wuhan,2,0.7,0.05,131,0.4533333333333333,65,0.9135216734957947,293
Wuhan,3,0.7,0.05,128,0.44666666666666666,66,0.9170344218887908,268
Wuhan,4,0.7,0.05,108,0.4866666666666667,61,0.9149211833297344,263
Wuhan,0,0.7,0.1,256,0.5333333333333333,54,0.9010359268238924,320
Wuhan,1,0.7,0.1,268,0.5266666666666666,55,0.918895966029724,248
Wuhan,2,0.7,0.1,259,0.54,53,0.9105024800517576,307
Wuhan,3,0.7,0.1,264,0.5266666666666666,55,0.9146072374227714,285
Wuhan,4,0.7,0.1,253,0.52,57,0.9058518678471172,304
Wuhan,0,0.7,0.2,491,0.5733333333333334,48,0.8820806700462861,401
Wuhan,1,0.7,0.2,521,0.5733333333333334,47,0.9095541401273886,291
Wuhan,2,0.7,0.2,483,0.5733333333333334,49,0.8934656027604054,383
Wuhan,3,0.7,0.2,501,0.5533333333333333,50,0.8951897616946161,365
Wuhan,4,0.7,0.2,494,0.5733333333333334,49,0.887713236881883,387
Wuhan,0,0.8,0.05,74,0.4533333333333333,64,0.9105135552126956,280
Wuhan,1,0.8,0.05,74,0.44,67,0.9208067940552017,238
Wuhan,2,0.8,0.05,75,0.4666666666666667,62,0.9145999568686651,290
Wuhan,3,0.8,0.05,68,0.4266666666666667,67,0.9168137687555163,270
Wuhan,4,0.8,0.05,66,0.46,65,0.9142733750809761,264
Wuhan,0,0.8,0.1,138,0.4866666666666667,60,0.9080890456248623,294
Wuhan,1,0.8,0.1,146,0.48,61,0.9191082802547771,246
Wuhan,2,0.8,0.1,140,0.4666666666666667,63,0.9120120767737762,299
Wuhan,3,0.8,0.1,133,0.49333333333333335,59,0.9165931156222419,272
Wuhan,4,0.8,0.1,142,0.4866666666666667,60,0.9103865255884258,287
Wuhan,0,0.8,0.2,256,0.5333333333333333,53,0.9027992065241349,317
Wuhan,1,0.8,0.2,275,0.5533333333333333,50,0.9167728237791932,258
Wuhan,2,0.8,0.2,252,0.54,53,0.9055423765365538,326
Wuhan,3,0.8,0.2,246,0.56,50,0.9097528684907326,301
Wuhan,4,0.8,0.2,260,0.5466666666666666,53,0.9039084431008422,316
Wuhan,0,0.85,0.05,43,0.44666666666666666,65,0.9109543751377562,277
Wuhan,1,0.85,0.05,45,0.44666666666666666,66,0.921656050955414,234
Wuhan,2,0.85,0.05,41,0.43333333333333335,67,0.917187836963554,277
Wuhan,3,0.85,0.05,41,0.44,66,0.9192409532215358,256
Wuhan,4,0.85,0.05,40,0.4666666666666667,64,0.9157849276614122,261
Wuhan,0,0.85,0.1,75,0.46,63,0.9105135552126956,281
Wuhan,1,0.85,0.1,81,0.44666666666666666,66,0.9205944798301486,240
Wuhan,2,0.85,0.1,74,0.4666666666666667,64,0.91697218028898,279
Wuhan,3,0.85,0.1,73,0.43333333333333335,67,0.9181376875551632,261
Wuhan,4,0.85,0.1,79,0.48,62,0.9136255668322176,268
Wuhan,0,0.85,0.2,133,0.49333333333333335,60,0.9074278157372713,297
Wuhan,1,0.85,0.2,138,0.4533333333333333,65,0.9201698513800425,241
Wuhan,2,0.85,0.2,127,0.47333333333333333,62,0.9135216734957947,292
Wuhan,3,0.85,0.2,125,0.48,61,0.9150485436893204,278
Wuhan,4,0.85,0.2,136,0.5,60,0.9108183977542648,281
Wuhan,0,0.9,0.05,20,0.4533333333333333,64,0.9120564249504077,271
Wuhan,1,0.9,0.05,18,0.44,67,0.9237791932059448,223
Wuhan,2,0.9,0.05,15,0.43333333333333335,67,0.9182661203364244,272
Wuhan,3,0.9,0.05,19,0.4533333333333333,65,0.9199029126213593,254
Wuhan,4,0.9,0.05,15,0.44666666666666666,66,0.9160008637443317,258
Wuhan,0,0.9,0.1,34,0.44666666666666666,66,0.9113951950628169,273
Wuhan,1,0.9,0.1,33,0.44666666666666666,66,0.9212314225053079,235
