tau,q,n_corrected,Human_OA,Human_BE,WC_OA
0.7,0.05,126.46666666666667,0.4266666666666667,66.36666666666666,0.9269518013538175
0.7,0.1,257.5,0.4666666666666667,60.666666666666664,0.922009366822247
0.7,0.2,469.2,0.5166666666666667,53.8,0.9074972063881294
0.8,0.05,74.2,0.41466666666666663,67.8,0.9274195321990636
0.8,0.1,143.9,0.4384444444444444,64.6,0.9249889277042543
0.8,0.2,241.5,0.47555555555555556,59.3,0.9196229746270423
0.85,0.05,44.93333333333333,0.4091111111111111,68.86666666666666,0.9282386211517611
0.85,0.1,83.66666666666667,0.42133333333333334,66.96666666666667,0.9268583686544144
0.85,0.2,130.23333333333332,0.4455555555555556,63.7,0.9243642611849451
0.9,0.05,17.233333333333334,0.4022222222222222,69.93333333333334,0.929087117542343
0.9,0.1,32.166666666666664,0.4048888888888889,69.4,0.9282242319505519
0.9,0.2,47.166666666666664,0.41133333333333333,68.5,0.9277921412184801
