PointID,Original_ID,lon,lat,Class,margin,BoundaryScore,RF_Pred,prob_1,prob_2,prob_3,Method,Rule
1,6245,113.53487974060768,28.08659092598834,2,0.18666666666666665,527.2903006550301,2,0.006666666666666667,0.59,0.4033333333333333,Top150,min_margin
2,6679,113.35099460194844,27.96729465625727,2,0.19999999999999996,757.055874034821,2,0.0,0.6,0.4,Top150,min_margin
3,9929,113.14042949935082,28.24810801407303,2,0.19999999999999996,546.8999488129373,2,0.4,0.6,0.0,Top150,min_margin
4,8642,112.55607540703106,28.276764271636445,2,0.2,850.6289973110948,2,0.39666666666666667,0.5966666666666667,0.006666666666666667,Top150,min_margin
5,7029,113.72298696110232,27.946723236250932,2,0.2033333333333333,662.3566287856002,2,0.39666666666666667,0.6,0.0033333333333333335,Top150,min_margin
6,21,112.8855774532461,28.218912767339145,1,0.20666666666666667,788.0308462514789,1,0.5966666666666667,0.013333333333333334,0.39,Top150,min_margin
7,4220,114.12282709406392,28.34647353768412,1,0.20666666666666672,659.4059466347389,1,0.6033333333333334,0.39666666666666667,0.0,Top150,min_margin
8,8774,113.99445783996325,28.453462888022752,2,0.20666666666666672,807.2573841740375,2,0.39666666666666667,0.6033333333333334,0.0,Top150,min_margin
9,9271,112.38162257885506,28.15144928950177,2,0.20999999999999996,1069.3554837167053,2,0.39,0.6,0.01,Top150,min_margin
10,3510,113.04727420438762,28.170224078939867,1,0.21333333333333337,265.71508434690605,1,0.6066666666666667,0.0,0.3933333333333333,Top150,min_margin
11,13068,112.39725326479874,28.140669506092337,3,0.21666666666666662,100.66295702635897,3,0.016666666666666666,0.38333333333333336,0.6,Top150,min_margin
12,9710,112.60476409543034,28.201844776940874,2,0.21999999999999997,529.8336577000682,2,0.0,0.61,0.39,Top150,min_margin
13,8654,113.6948696927094,28.036015775492412,2,0.22333333333333333,528.4889463352872,2,0.38666666666666666,0.61,0.0033333333333333335,Top150,min_margin
14,8685,112.62407787403892,28.273260842028375,2,0.22666666666666663,210.1007988409857,2,0.38666666666666666,0.6133333333333333,0.0,Top150,min_margin
15,5284,113.18956734539216,28.280986353471807,2,0.23000000000000004,340.3217884777488,2,0.016666666666666666,0.6066666666666667,0.37666666666666665,Top150,min_margin
16,7853,112.99993298891452,28.358690625548142,2,0.23333333333333334,381.2729038999235,2,0.38333333333333336,0.6166666666666667,0.0,Top150,min_margin
17,9620,112.89195549176335,28.15423406688254,2,0.2366666666666667,524.9393121194516,2,0.38,0.6166666666666667,0.0033333333333333335,Top150,min_margin
18,6997,112.34551030443345,28.165103681820387,2,0.24,1044.2038757427129,2,0.38,0.62,0.0,Top150,min_margin
19,9165,112.832127693841,28.409265776044073,2,0.24,789.4463592580414,2,0.38,0.62,0.0,Top150,min_margin
20,7795,112.8531482714894,28.112282743114157,2,0.24333333333333335,737.3312226532005,2,0.0033333333333333335,0.62,0.37666666666666665,Top150,min_margin
21,13792,113.08976451732649,28.109677628790212,3,0.24333333333333335,1109.0255223714807,3,0.37666666666666665,0.0033333333333333335,0.62,Top150,min_margin
22,5654,112.58787576808888,28.325273296978896,2,0.24666666666666665,1169.98640747192,2,0.37333333333333335,0.62,0.006666666666666667,Top150,min_margin
23,8812,113.05787432474024,28.01903761662255,2,0.24666666666666665,954.9576525054727,2,0.37666666666666665,0.6233333333333333,0.0,Top150,min_margin
24,9424,113.4357057332409,27.970708254336923,2,0.24666666666666665,474.15250421774203,2,0.37666666666666665,0.6233333333333333,0.0,Top150,min_margin
25,11297,112.82736662283516,28.398306329577817,3,0.24666666666666665,567.1094491241611,3,0.36333333333333334,0.02666666666666667,0.61,Top150,min_margin
26,13133,112.80302227863552,28.4500492899431,3,0.24999999999999994,301.5476715041879,3,0.36333333333333334,0.023333333333333334,0.6133333333333333,Top150,min_margin
27,9346,112.67258689938136,28.175613970644584,2,0.25,611.9612890720257,2,0.01,0.62,0.37,Top150,min_margin
28,5642,112.84901602118244,28.048502357941672,2,0.2533333333333333,391.13369832253755,2,0.006666666666666667,0.6233333333333333,0.37,Top150,min_margin
29,3061,112.48960007600624,28.27245235827267,1,0.25333333333333335,685.7445213137337,1,0.6266666666666667,0.37333333333333335,0.0,Top150,min_margin
30,9149,112.5930859967368,28.01472570325878,2,0.25333333333333335,817.308300177358,2,0.0,0.6266666666666667,0.37333333333333335,Top150,min_margin
31,9478,113.00586186978973,28.385640084071728,2,0.25333333333333335,792.6662718554483,2,0.37333333333333335,0.6266666666666667,0.0,Top150,min_margin
32,13661,112.62344905334002,28.465769807415192,3,0.25666666666666665,830.9396523794157,3,0.36333333333333334,0.016666666666666666,0.62,Top150,min_margin
33,6407,112.84353629794931,28.089645197954347,2,0.2566666666666667,1102.7781513995699,2,0.37,0.6266666666666667,0.0033333333333333335,Top150,min_margin
34,8131,113.3138941807143,28.080841708169977,2,0.2566666666666667,620.5257548488921,2,0.37,0.6266666666666667,0.0033333333333333335,Top150,min_margin
35,8510,112.91674899360504,28.121265895955354,2,0.25999999999999995,354.2207147836665,2,0.35333333333333333,0.6133333333333333,0.03333333333333333,Top150,min_margin
36,2492,112.89411144844524,28.31521216579676,1,0.26,640.8991314979013,1,0.63,0.37,0.0,Top150,min_margin
37,6520,113.34039448159582,28.332998808422325,2,0.26,761.8648835023379,2,0.37,0.63,0.0,Top150,min_margin
38,6643,113.06928292884857,28.38707738852632,2,0.26,895.8056076981595,2,0.37,0.63,0.0,Top150,min_margin
39,8196,113.07611012500786,28.12153539054059,2,0.26,743.2579683519932,2,0.37,0.63,0.0,Top150,min_margin
