PointID,Original_ID,lon,lat,Class,margin,BoundaryScore,RF_Pred,prob_1,prob_2,prob_3,Method,Rule
1,8037,115.96239713288388,28.753769687503908,2,0.15666666666666668,588.5350141439476,2,0.41,0.5666666666666667,0.023333333333333334,Top150,min_margin
2,12833,116.21976446178412,29.144716499152725,3,0.16333333333333327,155.9929619510802,3,0.023333333333333334,0.4066666666666667,0.57,Top150,min_margin
3,5786,116.245905436552,28.82976716054042,2,0.16666666666666669,33.00000128452722,2,0.0,0.5833333333333334,0.4166666666666667,Top150,min_margin
4,9375,115.86510958761372,28.77874285240243,2,0.17999999999999994,1498.1452415818437,2,0.4,0.58,0.02,Top150,min_margin
5,6794,116.2338680117448,29.065125764979737,2,0.19333333333333336,27.395986203722735,2,0.0,0.5966666666666667,0.4033333333333333,Top150,min_margin
6,14421,116.09229352296757,28.616057954448387,3,0.2,642.6570749573887,3,0.39666666666666667,0.006666666666666667,0.5966666666666667,Top150,min_margin
7,6417,116.00731289708986,29.037457654228856,2,0.20666666666666672,558.1087533241667,2,0.0,0.6033333333333334,0.39666666666666667,Top150,min_margin
8,6857,116.04432348679558,28.78089880908432,2,0.20666666666666672,138.405421351847,2,0.39666666666666667,0.6033333333333334,0.0,Top150,min_margin
9,9840,116.11699719328084,29.040601757723273,2,0.20666666666666672,28.217841543274957,2,0.0,0.6033333333333334,0.39666666666666667,Top150,min_margin
10,837,115.68589568843188,28.789792130397103,1,0.21000000000000008,876.9718683243343,1,0.6033333333333334,0.3933333333333333,0.0033333333333333335,Top150,min_margin
11,1164,115.95116819183238,28.449689963829453,1,0.21333333333333337,491.11812531862523,1,0.6066666666666667,0.3933333333333333,0.0,Top150,min_margin
12,8128,116.28525164599644,28.952836354464797,2,0.21333333333333337,21.657773292942572,2,0.0,0.6066666666666667,0.3933333333333333,Top150,min_margin
13,4039,115.49482402749967,28.727808375792858,1,0.21999999999999997,603.640055406039,1,0.61,0.39,0.0,Top150,min_margin
14,4245,115.649064761783,28.83991812325097,1,0.21999999999999997,699.7286133825671,1,0.61,0.39,0.0,Top150,min_margin
15,11133,116.07369839658628,28.325003802393663,3,0.22000000000000003,1214.7756895221535,3,0.36333333333333334,0.05333333333333334,0.5833333333333334,Top150,min_margin
16,2302,116.15733154953782,28.338029374013395,1,0.22333333333333333,793.2007181563406,1,0.61,0.38666666666666666,0.0033333333333333335,Top150,min_margin
17,7169,116.11106831240566,28.745864513003657,2,0.22333333333333333,739.7247202644492,2,0.38666666666666666,0.61,0.0033333333333333335,Top150,min_margin
18,8476,115.91245080308684,28.637258195153606,2,0.22333333333333333,823.3124077465848,2,0.38666666666666666,0.61,0.0033333333333333335,Top150,min_margin
19,9271,116.02204526774942,29.097734609793275,2,0.22333333333333333,338.0509920080715,2,0.0033333333333333335,0.61,0.38666666666666666,Top150,min_margin
20,1039,115.60738293259983,28.49945663056967,1,0.22666666666666663,860.2600169455611,1,0.6133333333333333,0.38666666666666666,0.0,Top150,min_margin
21,2789,116.193353992431,28.319164753046884,1,0.22666666666666663,404.64562056967486,1,0.6133333333333333,0.38666666666666666,0.0,Top150,min_margin
22,8737,116.49437944413944,28.31718845942182,2,0.22666666666666663,1138.562612574939,2,0.38666666666666666,0.6133333333333333,0.0,Top150,min_margin
23,8745,115.83681265616396,28.594857713743167,2,0.22666666666666663,929.3702635393622,2,0.38333333333333336,0.61,0.006666666666666667,Top150,min_margin
24,8947,116.23413750633004,29.08425988053148,2,0.22666666666666663,37.06751860380966,2,0.0,0.6133333333333333,0.38666666666666666,Top150,min_margin
25,9885,115.88047077897218,28.336053080388332,2,0.22999999999999993,860.8848519893406,2,0.38333333333333336,0.6133333333333333,0.0033333333333333335,Top150,min_margin
26,2386,116.36268642348752,28.59225259941922,1,0.23333333333333328,408.1494954236675,1,0.6133333333333333,0.38,0.006666666666666667,Top150,min_margin
27,9273,115.79144773431594,28.50349904934821,2,0.23333333333333328,243.21483558043485,2,0.006666666666666667,0.6133333333333333,0.38,Top150,min_margin
28,5018,116.18940140518087,29.016257413523633,2,0.23333333333333334,39.95875006208304,2,0.0,0.6166666666666667,0.38333333333333336,Top150,min_margin
29,7838,116.19577944369811,28.2305908660327,2,0.23333333333333334,335.43966283699626,2,0.0,0.6166666666666667,0.38333333333333336,Top150,min_margin
30,8185,116.29414496730922,28.964514453158348,2,0.23333333333333334,504.6429131069665,2,0.0,0.6166666666666667,0.38333333333333336,Top150,min_margin
31,9873,116.25102583367148,29.00035723299472,2,0.23333333333333334,38.17732059660834,2,0.0,0.6166666666666667,0.38333333333333336,Top150,min_margin
32,9872,115.879123306046,28.783683586465088,2,0.2333333333333334,673.3027938563455,2,0.36,0.5933333333333334,0.04666666666666667,Top150,min_margin
33,7408,115.7190435224159,28.37710608887259,2,0.2366666666666667,557.9690093666168,2,0.0033333333333333335,0.6166666666666667,0.38,Top150,min_margin
34,4163,115.84283136856756,28.397857171935755,1,0.24,699.8767349165249,1,0.62,0.38,0.0,Top150,min_margin
35,6272,116.19065904657865,28.367763609917752,2,0.24,438.67323067151847,2,0.38,0.62,0.0,Top150,min_margin
36,6667,115.73817763796764,28.567189602992286,2,0.24,576.3124118986484,2,0.38,0.62,0.0,Top150,min_margin
37,9249,116.14475513556016,29.15639459784628,2,0.24,42.22869826112589,2,0.0,0.62,0.38,Top150,min_margin
38,6759,116.3165130178838,28.992362226966055,2,0.24000000000000005,55.4776900975896,2,0.006666666666666667,0.6166666666666667,0.37666666666666665,Top150,min_margin
39,5440,115.90436596552976,28.304342550858912,2,0.24333333333333335,696.9101967246156,2,0.0033333333333333335,0.62,0.37666666666666665,Top150,min_margin
40,5463,115.87948263215964,28.635192070000137,2,0.24333333333333335,373.960491592538,2,0.37333333333333335,0.6166666666666667,0.01,Top150,min_margin
41,1673,115.85765357075556,28.68891132399048,1,0.24666666666666665,655.1750123244955,1,0.62,0.37333333333333335,0.006666666666666667,Top150,min_margin
42,2535,116.32917926338988,28.267062466567953,1,0.24666666666666665,1612.8859672558815,1,0.6233333333333333,0.37666666666666665,0.0,Top150,min_margin
43,4643,115.76395928662188,28.688192671763183,1,0.24666666666666665,1087.8685559661062,1,0.6233333333333333,0.37666666666666665,0.0,Top150,min_margin
44,5181,115.76270164522413,28.600427268504703,2,0.24666666666666665,255.31945665406113,2,0.37666666666666665,0.6233333333333333,0.0,Top150,min_margin
45,7309,116.12517186236632,29.041230578422155,2,0.24666666666666665,390.69872864931926,2,0.0,0.6233333333333333,0.37666666666666665,Top150,min_margin
46,8498,115.75075405194532,28.447893333261213,2,0.24999999999999994,1011.9973775894996,2,0.37333333333333335,0.6233333333333333,0.0033333333333333335,Top150,min_margin
47,9459,116.10747505126918,28.724215114656374,2,0.24999999999999994,777.8729182832737,2,0.37333333333333335,0.6233333333333333,0.0033333333333333335,Top150,min_margin
48,5251,116.26971079158116,28.591533947191923,2,0.25333333333333335,282.23482336587995,2,0.37333333333333335,0.6266666666666667,0.0,Top150,min_margin
49,6756,116.2879465918488,28.86659808718932,2,0.25333333333333335,29.36234869330107,2,0.0,0.6266666666666667,0.37333333333333335,Top150,min_margin
50,6850,116.09642577327452,28.657739783631538,2,0.25333333333333335,199.54585039604666,2,0.37333333333333335,0.6266666666666667,0.0,Top150,min_margin
51,8959,116.23611379995508,28.85599796683671,2,0.25333333333333335,33.11840336491568,2,0.0,0.6266666666666667,0.37333333333333335,Top150,min_margin
52,8344,116.26719550878563,28.45283406732387,2,0.2566666666666667,446.2938189442343,2,0.0033333333333333335,0.6266666666666667,0.37,Top150,min_margin
53,9145,115.56561127188829,28.766795259123644,2,0.2566666666666667,598.9064205166225,2,0.0033333333333333335,0.6266666666666667,0.37,Top150,min_margin
54,12845,116.34939135728256,28.69942161281468,3,0.2566666666666667,636.4088094684182,3,0.023333333333333334,0.36,0.6166666666666667,Top150,min_margin
55,9542,115.76099484618427,28.635012406943307,2,0.25999999999999995,464.4521106000422,2,0.36333333333333334,0.6233333333333333,0.013333333333333334,Top150,min_margin
56,2960,115.5551009830641,28.820694176170814,1,0.26,1066.2157348139358,1,0.63,0.37,0.0,Top150,min_margin
57,4184,116.18383185041934,28.28853220185841,1,0.26,1088.0299235458988,1,0.63,0.37,0.0,Top150,min_margin
58,6769,115.76234231911046,28.462895198506008,2,0.26,362.7379778280032,2,0.0,0.63,0.37,Top150,min_margin
59,6980,116.3683458097775,28.95499231114668,2,0.26,45.5492642657447,2,0.0,0.63,0.37,Top150,min_margin
60,7349,116.31893846915092,28.90297985619616,2,0.26,60.50132961167214,2,0.0,0.63,0.37,Top150,min_margin
