group,group_title,panel_id,Original_ID,City,lon,lat,Conf,margin,expert_c3,wc_c3,dw_c3,esri_c3,wc_raw,dw_raw,esri_raw,caption
A,"C1+C2  WC=DW=Esri=built, expert=non-built (consensus error)",A01,1326,Wuhan,114.1549867812354,30.42095302330133,high,0.56,non-built,built,built,built,built-up,built,built area,Wuhan · WC=built DW=built Esri=built · expert=non-built (high) · id 1326
A,"C1+C2  WC=DW=Esri=built, expert=non-built (consensus error)",A02,4399,Wuhan,113.78128762304168,30.319982385366295,high,0.5533,non-built,built,built,built,built-up,built,built area,Wuhan · WC=built DW=built Esri=built · expert=non-built (high) · id 4399
A,"C1+C2  WC=DW=Esri=built, expert=non-built (consensus error)",A03,2773,Hefei,117.37095549838328,32.45824225615599,high,0.5733,non-built,built,built,built,built-up,built,built area,Hefei · WC=built DW=built Esri=built · expert=non-built (high) · id 2773
A,"C1+C2  WC=DW=Esri=built, expert=non-built (consensus error)",A04,1410,Hefei,117.50624178017168,32.08436343490545,med,0.5667,non-built,built,built,built,built-up,built,built area,Hefei · WC=built DW=built Esri=built · expert=non-built (med) · id 1410
A,"C1+C2  WC=DW=Esri=built, expert=non-built (consensus error)",A05,1412,Nanchang,116.32873010574782,28.26778111879525,high,0.3933,non-built,built,built,built,built-up,built,built area,Nanchang · WC=built DW=built Esri=built · expert=non-built (high) · id 1412
A,"C1+C2  WC=DW=Esri=built, expert=non-built (consensus error)",A06,4546,Nanchang,115.92691367916116,28.413667520936254,high,0.37,non-built,built,built,built,built-up,built,built area,Nanchang · WC=built DW=built Esri=built · expert=non-built (high) · id 4546
A,"C1+C2  WC=DW=Esri=built, expert=non-built (consensus error)",A07,1929,Nanjing,118.63802920663387,32.58724033095555,med,0.52,non-built,built,built,built,built-up,built,built area,Nanjing · WC=built DW=built Esri=built · expert=non-built (med) · id 1929
A,"C1+C2  WC=DW=Esri=built, expert=non-built (consensus error)",A08,2070,Nanjing,118.96645327450796,32.08732787534304,med,0.5,non-built,built,built,built,built-up,built,built area,Nanjing · WC=built DW=built Esri=built · expert=non-built (med) · id 2070
A,"C1+C2  WC=DW=Esri=built, expert=non-built (consensus error)",A09,1452,Changsha,113.10979694816234,28.41968623333986,high,0.57,non-built,built,built,built,built-up,built,built area,Changsha · WC=built DW=built Esri=built · expert=non-built (high) · id 1452
A,"C1+C2  WC=DW=Esri=built, expert=non-built (consensus error)",A10,108,Changsha,113.88082095652211,28.413308194822612,high,0.5167,non-built,built,built,built,built-up,built,built area,Changsha · WC=built DW=built Esri=built · expert=non-built (high) · id 108
A,"C1+C2  WC=DW=Esri=built, expert=non-built (consensus error)",A11,224,Hangzhou,118.93978736,29.46395166,med,0.6933,non-built,built,built,built,built-up,built,built area,Hangzhou · WC=built DW=built Esri=built · expert=non-built (med) · id 224
A,"C1+C2  WC=DW=Esri=built, expert=non-built (consensus error)",A12,530,Hangzhou,119.18556855,29.74368891,high,0.68,non-built,built,built,built,built-up,built,built area,Hangzhou · WC=built DW=built Esri=built · expert=non-built (high) · id 530
B,"C1  DW=Esri=built, expert=non-built, WC dissents correctly (coupled error)",B01,5221,Wuhan,114.8126434007393,30.65990488887712,med,0.5533,non-built,non-built,built,built,grassland,built,built area,Wuhan · WC=non-built DW=built Esri=built · expert=non-built (med) · id 5221
B,"C1  DW=Esri=built, expert=non-built, WC dissents correctly (coupled error)",B02,6115,Hefei,117.17054135849622,31.671138404210467,high,0.5867,non-built,non-built,built,built,tree cover,built,built area,Hefei · WC=non-built DW=built Esri=built · expert=non-built (high) · id 6115
B,"C1  DW=Esri=built, expert=non-built, WC dissents correctly (coupled error)",B03,8454,Nanchang,115.90813888972306,28.74882895344125,med,0.5433,non-built,non-built,built,built,grassland,built,built area,Nanchang · WC=non-built DW=built Esri=built · expert=non-built (med) · id 8454
B,"C1  DW=Esri=built, expert=non-built, WC dissents correctly (coupled error)",B04,5300,Nanjing,119.10066157795542,31.918175107343338,med,0.5267,non-built,non-built,built,built,tree cover,built,built area,Nanjing · WC=non-built DW=built Esri=built · expert=non-built (med) · id 5300
B,"C1  DW=Esri=built, expert=non-built, WC dissents correctly (coupled error)",B05,5561,Changsha,112.48403052124468,28.080931539698387,high,0.5933,non-built,non-built,built,built,cropland,built,built area,Changsha · WC=non-built DW=built Esri=built · expert=non-built (high) · id 5561
B,"C1  DW=Esri=built, expert=non-built, WC dissents correctly (coupled error)",B06,9329,Hangzhou,119.74216246,30.28088127,high,0.6767,non-built,non-built,built,built,tree cover,built,built area,Hangzhou · WC=non-built DW=built Esri=built · expert=non-built (high) · id 9329
C,"counter-example  WC=built, expert=built",C01,442,Wuhan,114.25999983794895,30.615438282313207,med,0.52,built,built,built,built,built-up,built,built area,Wuhan · WC=built DW=built Esri=built · expert=built (med) · id 442
C,"counter-example  WC=built, expert=built",C02,4714,Hefei,117.22542842235592,31.74084767025814,high,0.52,built,built,built,built,built-up,built,built area,Hefei · WC=built DW=built Esri=built · expert=built (high) · id 4714
C,"counter-example  WC=built, expert=built",C03,1708,Nanchang,115.79629863685018,28.563416678798983,med,0.5167,built,built,built,built,built-up,built,built area,Nanchang · WC=built DW=built Esri=built · expert=built (med) · id 1708
C,"counter-example  WC=built, expert=built",C04,3429,Nanjing,118.8811133225166,31.327712471091573,high,0.5067,built,built,built,built,built-up,built,built area,Nanjing · WC=built DW=built Esri=built · expert=built (high) · id 3429
C,"counter-example  WC=built, expert=built",C05,3106,Changsha,112.9118980910708,28.236519746907888,high,0.5133,built,built,built,built,built-up,built,built area,Changsha · WC=built DW=built Esri=built · expert=built (high) · id 3106
C,"counter-example  WC=built, expert=built",C06,4967,Hangzhou,120.24369093,30.51650909,high,0.71,built,built,built,built,built-up,built,built area,Hangzhou · WC=built DW=built Esri=built · expert=built (high) · id 4967
