PointID,Original_ID,Human_Class,Scene,Confidence,Notes
3,9482,1,road,m,WC_Class=2
4,6442,1,建筑,m,WC_Class=2
7,8370,2,veg,h,WC_Class=2
8,14331,2,水体边缘,l,WC_Class=3
11,8955,1,road,h,WC_Class=2
12,9145,1,小区,h,WC_Class=2
13,14831,1,小区,h,WC_Class=3
14,9489,2,裸地,h,WC_Class=2
15,14931,3,水体,m,WC_Class=3
16,355,2,veg,h,WC_Class=1
17,14467,1,城市路面,h,WC_Class=3
18,9895,2,工地,h,WC_Class=2
19,12591,3,水体,m,WC_Class=3
21,9822,2,大棚,l,WC_Class=2
23,9614,1,小区,h,WC_Class=2
24,10079,2,裸地,l,WC_Class=3
25,8346,2,建筑,m,WC_Class=2
27,7027,3,水体,h,WC_Class=2
31,9537,2,veg,h,WC_Class=2
34,8255,2,veg,h,WC_Class=2
36,14361,3,水体,m,WC_Class=3
38,9875,2,veg,h,WC_Class=2
39,9917,1,建筑,m,WC_Class=2
40,438,2,veg,m,WC_Class=1
42,9299,1,high way,h,WC_Class=2
44,6444,1,建筑,l,WC_Class=2
46,9111,2,工地,l,WC_Class=2
47,7148,2,veg,m,WC_Class=2
48,9980,2,水田,m,WC_Class=2
50,8584,2,veg,h,WC_Class=2
51,9637,1,rail way,h,WC_Class=2
52,8055,1,建筑,h,WC_Class=2
55,8466,2,土路,h,WC_Class=2
56,5568,3,水体,h,WC_Class=2
58,8220,2,水体边缘,l,WC_Class=2
59,8838,1,建筑,h,WC_Class=2
64,4475,2,veg,h,WC_Class=1
65,8033,2,废土,l,WC_Class=2
66,6002,2,废土,h,WC_Class=2
67,9152,1,road,h,WC_Class=2
68,8862,2,土路,h,WC_Class=2
71,9064,1,城市路面,h,WC_Class=2
72,8560,2,水体边缘,m,WC_Class=2
75,4262,2,veg,m,WC_Class=1
77,8948,3,水体,h,WC_Class=2
78,3623,2,废土,h,WC_Class=1
79,14054,3,水体边缘,m,WC_Class=3
80,9805,2,工地,h,WC_Class=2
81,9779,3,水体,m,WC_Class=2
84,726,2,田地,h,WC_Class=1
85,7561,2,土路,h,WC_Class=2
86,8340,2,农村建筑,l,WC_Class=2
87,7025,2,veg,h,WC_Class=2
89,9904,2,水体边缘,m,WC_Class=2
90,7075,1,水体,h,WC_Class=2
92,14801,2,水体边缘,m,WC_Class=3
93,9239,2,废土,l,WC_Class=2
95,6978,3,水体,h,WC_Class=2
96,460,1,road,h,WC_Class=1
98,14666,3,水体,l,WC_Class=3
100,2166,3,水体,h,WC_Class=1
101,5786,3,水体,h,WC_Class=2
102,13384,3,水体,m,WC_Class=3
103,9966,2,水田,l,WC_Class=2
104,9398,1,road,m,WC_Class=2
105,57,2,veg,h,WC_Class=1
106,14119,2,水体边缘, m,WC_Class=3
108,861,2,veg,h,WC_Class=1
109,9985,2,水田,m,WC_Class=2
110,7379,3,水体,h,WC_Class=2
111,2991,1,road,h,WC_Class=1
112,85,2,veg,h,WC_Class=1
113,14446,1,road,h,WC_Class=3
114,2531,2,veg,m,WC_Class=1
116,9014,2,veg,m,WC_Class=2
117,825,3,水体,m,WC_Class=1
118,14458,2,veg,m,WC_Class=3
119,8583,2,土路,h,WC_Class=2
120,5713,3,水体,h,WC_Class=2
121,9256,2,田地,m,WC_Class=2
122,220,2,veg,m,WC_Class=1
123,6693,2,veg,h,WC_Class=2
125,9739,3,水体,h,WC_Class=2
126,10614,2,veg,h,WC_Class=3
127,14949,3,水田,l,WC_Class=3
128,7443,2,水体边缘,l,WC_Class=2
130,8042,2,田地,h,WC_Class=2
131,9519,2,工地,l,WC_Class=2
133,8604,2,田地,m,WC_Class=2
134,6645,3,水体,h,WC_Class=2
135,8687,2,工地,l,WC_Class=2
136,9373,2,工地,l,WC_Class=2
137,9932,2,veg,h,WC_Class=2
138,9867,2,空地,h,WC_Class=2
139,9493,1,路面,h,WC_Class=2
140,175,1,水坝,l,WC_Class=1
141,9989,3,水田,l,WC_Class=2
142,8177,2,田地,h,WC_Class=2
143,8198,2,田地,h,WC_Class=2
144,7007,1,road,m,WC_Class=2
147,9187,2,veg,l,WC_Class=2
148,6854,3,水体,m,WC_Class=2
149,8902,2,veg,m,WC_Class=2
150,8622,2,工地,l,WC_Class=2
