PointID,Original_ID,Human_Class,Scene,Confidence,Notes
1,61,2,fe,m,WC_Class=1
2,172,1,br,h,WC_Class=1
3,224,2,re,m,WC_Class=1
4,400,1,be,h,WC_Class=1
5,404,1,be,h,WC_Class=1
6,442,2,veg,h,WC_Class=1
7,467,2,veg,h,WC_Class=1
8,489,2,veg,h,WC_Class=1
9,530,2,veg,h,WC_Class=1
10,583,2,bl,h,WC_Class=1
11,601,1,re,h,WC_Class=1
12,622,1,be,h,WC_Class=1
13,1658,2,veg,h,WC_Class=1
14,1874,2,veg,h,WC_Class=1
15,1978,2,veg,h,WC_Class=1
16,2003,2,veg,h,WC_Class=1
17,2071,2,veg,h,WC_Class=1
18,2088,2,veg,m,WC_Class=1
19,2333,2,veg,h,WC_Class=1
20,2482,1,be,h,WC_Class=1
21,2532,2,ct,h,WC_Class=1
22,2657,1,be,m,WC_Class=1
23,2795,1,be,m,WC_Class=1
24,2972,2,veg,h,WC_Class=1
25,3348,1,be,h,WC_Class=1
26,3506,2,bl,m,WC_Class=1
27,3619,1,be,h,WC_Class=1
28,3669,2,bl,h,WC_Class=1
29,4069,2,veg,m,WC_Class=1
30,4525,2,bl,h,WC_Class=1
31,4961,2,veg,h,WC_Class=1
32,4967,1,be,h,WC_Class=1
33,5759,3,we,l,WC_Class=2
34,5841,3,we,m,WC_Class=2
35,6244,3,we,h,WC_Class=2
36,6800,2,veg,h,WC_Class=2
37,6825,3,tw,l,WC_Class=2
38,6836,2,bl,m,WC_Class=2
39,7416,2,veg,h,WC_Class=2
40,7510,3,we,m,WC_Class=2
41,7518,2,veg,m,WC_Class=2
42,7736,2,fe,l,WC_Class=2
43,7934,2,ct,m,WC_Class=2
44,8078,2,veg,l,WC_Class=2
45,8092,2,bl,h,WC_Class=2
46,8228,2,bl,h,WC_Class=2
47,8262,2,bl,m,WC_Class=2
48,8581,2,fe,l,WC_Class=2
49,8591,2,fe,m,WC_Class=2
50,8627,2,veg,h,WC_Class=2
51,8675,2,re,m,WC_Class=2
52,8967,2,fe,m,WC_Class=2
53,9062,3,tw,l,WC_Class=2
54,9226,3,we,l,WC_Class=2
55,9329,2,veg,h,WC_Class=2
56,9361,2,re,l,WC_Class=2
57,9613,2,bl,m,WC_Class=2
58,9633,2,ct,m,WC_Class=2
59,9650,2,ct,m,WC_Class=2
60,9694,2,veg,h,WC_Class=2
61,9702,2,bl,m,WC_Class=2
62,9791,2,bl,m,WC_Class=2
63,9796,2,veg,m,WC_Class=2
64,9910,2,bl,m,WC_Class=2
65,9946,2,ct,l,WC_Class=2
66,10026,3,we,m,WC_Class=3
67,10077,2,fe,m,WC_Class=3
68,10151,2,bl,m,WC_Class=3
69,10173,3,we,m,WC_Class=3
70,10220,2,fe,m,WC_Class=3
71,10357,2,bl,m,WC_Class=3
72,10379,2,bl,h,WC_Class=3
73,10416,2,veg,h,WC_Class=3
74,10418,3,we,h,WC_Class=3
75,10559,3,we,m,WC_Class=3
76,10599,3,we,m,WC_Class=3
77,10605,3,we,m,WC_Class=3
78,11079,2,veg,l,WC_Class=3
79,11620,2,veg,m,WC_Class=3
80,11702,3,tw,l,WC_Class=3
81,11801,3,we,l,WC_Class=3
82,11873,3,tw,l,WC_Class=3
83,12086,3,we,m,WC_Class=3
84,12221,3,we,m,WC_Class=3
85,12510,3,we,m,WC_Class=3
86,12573,2,bl,m,WC_Class=3
87,12634,3,we,m,WC_Class=3
88,12864,3,we,m,WC_Class=3
89,12936,3,we,m,WC_Class=3
90,12986,2,bl,m,WC_Class=3
91,13138,2,bl,m,WC_Class=3
92,13403,2,bl,m,WC_Class=3
93,13483,3,we,m,WC_Class=3
94,13515,3,we,m,WC_Class=3
95,13644,3,we,m,WC_Class=3
96,13689,3,we,m,WC_Class=3
97,13800,3,we,m,WC_Class=3
98,13801,2,bl,m,WC_Class=3
99,14265,3,we,m,WC_Class=3
100,14525,3,tw,m,WC_Class=3
101,14544,3,we,m,WC_Class=3
102,14549,3,we,m,WC_Class=3
103,14630,3,we,m,WC_Class=3
104,14714,2,veg,h,WC_Class=3
