PointID,Original_ID,WC_Class,scene_old,subclass,note
1,4,1,veg,fe,""
2,61,1,fe,fe,""
3,442,1,veg,ot,""
4,467,1,veg,ot,""
5,489,1,veg,fe,""
6,498,1,veg,fe,""
7,530,1,veg,ot,""
8,1658,1,veg,ug,""
9,1874,1,veg,ug,""
10,1978,1,veg,ug,""
11,2003,1,veg,fe,""
12,2071,1,veg,ot,""
13,2088,1,veg,ug,""
14,2333,1,veg,fe,""
15,2972,1,veg,ug,""
16,4069,1,veg,fe,""
17,4961,1,veg,ot,""
18,6000,2,veg,fe,""
19,6800,2,veg,fe,""
20,6929,2,veg,fe,""
21,7416,2,veg,fe,""
22,7518,2,veg,fe,""
23,7736,2,fe,fe,""
24,8078,2,veg,fe,""
25,8368,2,veg,fe,""
26,8581,2,fe,ot,""
27,8591,2,fe,fe,""
28,8627,2,veg,fe,""
29,8717,2,veg,fe,""
30,8967,2,fe,fe,""
31,8998,2,veg,ug,""
32,9189,2,veg,fe,""
33,9329,2,veg,ug,""
34,9484,2,veg,fe,""
35,9694,2,veg,fe,""
36,9796,2,veg,ug,""
37,9877,2,veg,ug,""
38,10077,3,fe,ug,""
39,10220,3,fe,fe,""
40,10416,3,veg,ot,""
41,11079,3,veg,ot,""
42,11620,3,veg,ot,""
43,14714,3,veg,fe,""
