held_out,method,WC_OA,WC_BE,Human_OA,Human_BE,n_corrected
Changsha,B0_baseline,0.9365763382932661,237.6,0.356,72.0,0.0
Changsha,B1_local_oracle,0.9363602747243055,237.2,0.38133333333333336,69.8,32.0
Changsha,B2_loco_gated,0.9364241043552107,238.4,0.36933333333333335,70.2,35.2
Changsha,B3_loco_ungated,0.9348842144443097,245.4,0.44800000000000006,58.6,87.2
Changsha,B4_random_flip,0.9363232660758616,239.2,0.356,72.2,35.2
Hangzhou,B0_baseline,0.962691163009519,128.2,0.29733333333333334,64.8,0.0
Hangzhou,B1_local_oracle,0.960008692600435,141.4,0.37866666666666665,53.2,101.6
Hangzhou,B2_loco_gated,0.9628100120354606,128.0,0.31466666666666665,62.0,12.6
Hangzhou,B3_loco_ungated,0.9622936530841312,130.2,0.32133333333333336,60.8,16.2
Hangzhou,B4_random_flip,0.9624361581458283,128.2,0.296,65.8,12.6
Hefei,B0_baseline,0.9354021774643284,249.8,0.4,78.4,0.0
Hefei,B1_local_oracle,0.9358335899677069,248.2,0.41466666666666663,76.4,10.6
Hefei,B2_loco_gated,0.9345221494760476,254.4,0.4253333333333334,74.8,46.6
Hefei,B3_loco_ungated,0.9326639136230954,263.6,0.4373333333333333,73.0,96.2
Hefei,B4_random_flip,0.9357212319729495,250.2,0.40800000000000003,77.0,46.6
Nanchang,B0_baseline,0.9036063454196832,208.2,0.27999999999999997,83.0,0.0
Nanchang,B1_local_oracle,0.9044107465304807,205.6,0.316,77.0,40.2
Nanchang,B2_loco_gated,0.9044493893312564,204.6,0.3,80.2,21.0
Nanchang,B3_loco_ungated,0.903864260165135,205.4,0.3066666666666667,78.4,45.2
Nanchang,B4_random_flip,0.9034041574275256,208.4,0.2826666666666667,82.6,21.0
Nanjing,B0_baseline,0.9145509136896219,321.8,0.476,63.2,0.0
Nanjing,B1_local_oracle,0.9096463136110193,346.6,0.58,48.6,121.8
Nanjing,B2_loco_gated,0.9151468269980455,319.6,0.47333333333333333,64.0,9.2
Nanjing,B3_loco_ungated,0.9151567782449161,321.0,0.5066666666666666,59.6,26.4
Nanjing,B4_random_flip,0.9147762003641177,321.2,0.4786666666666667,63.6,9.2
Wuhan,B0_baseline,0.9184072160026597,253.6,0.43866666666666665,66.6,0.0
Wuhan,B1_local_oracle,0.9178379399726104,258.4,0.46266666666666667,63.0,22.2
Wuhan,B2_loco_gated,0.9183941427897011,254.6,0.4533333333333333,64.4,16.2
Wuhan,B3_loco_ungated,0.9172708325691025,259.4,0.4706666666666667,62.4,52.8
Wuhan,B4_random_flip,0.9184951095556835,252.2,0.44666666666666666,66.2,16.2
