held_out,seed,tau,q,n_corrected,Human_OA,Human_BE,WC_OA,WC_BE
Wuhan,0,0.7,0.05,80,0.4666666666666667,63,0.9096319153625744,278
Wuhan,1,0.7,0.05,84,0.46,64,0.9218683651804671,233
Wuhan,2,0.7,0.05,80,0.4666666666666667,62,0.9148156135432391,289
Wuhan,3,0.7,0.05,81,0.44,66,0.9179170344218888,263
Wuhan,4,0.7,0.05,73,0.46,64,0.9142733750809761,267
Wuhan,0,0.7,0.1,168,0.5266666666666666,54,0.9078686356623319,291
Wuhan,1,0.7,0.1,174,0.5133333333333333,57,0.9191082802547771,245
Wuhan,2,0.7,0.1,151,0.5133333333333333,56,0.9130903601466466,299
Wuhan,3,0.7,0.1,161,0.49333333333333335,58,0.9163724624889673,270
Wuhan,4,0.7,0.1,164,0.52,55,0.9116821420859426,280
Wuhan,0,0.7,0.2,352,0.58,45,0.8946440379105135,343
Wuhan,1,0.7,0.2,359,0.5733333333333334,47,0.9159235668789809,262
Wuhan,2,0.7,0.2,306,0.5466666666666666,51,0.9010135863704982,348
Wuhan,3,0.7,0.2,337,0.5733333333333334,48,0.9066637246248896,313
Wuhan,4,0.7,0.2,341,0.5733333333333334,49,0.8991578492766141,333
Wuhan,0,0.8,0.05,17,0.44,66,0.9102931452501654,277
Wuhan,1,0.8,0.05,22,0.43333333333333335,68,0.9227176220806794,224
Wuhan,2,0.8,0.05,23,0.44666666666666666,65,0.9167565236144058,278
Wuhan,3,0.8,0.05,25,0.44,67,0.9212268314210061,252
Wuhan,4,0.8,0.05,17,0.4666666666666667,63,0.9153530554955733,262
Wuhan,0,0.8,0.1,40,0.4666666666666667,62,0.9127176548379987,270
Wuhan,1,0.8,0.1,48,0.4533333333333333,65,0.9205944798301486,233
Wuhan,2,0.8,0.1,40,0.4666666666666667,64,0.9174034936381281,278
Wuhan,3,0.8,0.1,54,0.4666666666666667,64,0.9192409532215358,257
Wuhan,4,0.8,0.1,43,0.4666666666666667,64,0.9151371194126539,263
Wuhan,0,0.8,0.2,105,0.5266666666666666,54,0.9096319153625744,281
Wuhan,1,0.8,0.2,115,0.5066666666666667,58,0.9205944798301486,236
Wuhan,2,0.8,0.2,97,0.49333333333333335,59,0.911580763424628,303
Wuhan,3,0.8,0.2,110,0.5066666666666667,57,0.9179170344218888,263
Wuhan,4,0.8,0.2,104,0.5133333333333333,57,0.9134096307492983,267
Wuhan,0,0.85,0.05,5,0.4666666666666667,62,0.9124972448754683,268
Wuhan,1,0.85,0.05,4,0.42,70,0.9239915074309979,221
Wuhan,2,0.85,0.05,3,0.44666666666666666,65,0.9191287470347207,271
Wuhan,3,0.85,0.05,4,0.46,64,0.9212268314210061,251
Wuhan,4,0.85,0.05,5,0.4533333333333333,65,0.9157849276614122,260
Wuhan,0,0.85,0.1,19,0.4666666666666667,62,0.912938064800529,269
Wuhan,1,0.85,0.1,14,0.4266666666666667,68,0.9237791932059448,222
Wuhan,2,0.85,0.1,14,0.4533333333333333,64,0.9189130903601467,271
Wuhan,3,0.85,0.1,16,0.4533333333333333,65,0.9201235657546337,255
Wuhan,4,0.85,0.1,18,0.4666666666666667,63,0.9162167998272511,256
Wuhan,0,0.85,0.2,42,0.46,63,0.9105135552126956,279
Wuhan,1,0.85,0.2,37,0.44,67,0.9246284501061571,221
Wuhan,2,0.85,0.2,30,0.48,60,0.9195600603838688,270
Wuhan,3,0.85,0.2,37,0.44666666666666666,66,0.9205648720211828,252
Wuhan,4,0.85,0.2,40,0.4666666666666667,63,0.9147052472468149,263
Wuhan,0,0.9,0.05,1,0.4666666666666667,62,0.91359929468812,262
Wuhan,1,0.9,0.05,1,0.42,70,0.924203821656051,222
Wuhan,2,0.9,0.05,1,0.44666666666666666,65,0.9184817770109985,270
Wuhan,3,0.9,0.05,1,0.44,67,0.9212268314210061,253
Wuhan,4,0.9,0.05,1,0.4533333333333333,65,0.9151371194126539,261
Wuhan,0,0.9,0.1,8,0.47333333333333333,61,0.9122768349129381,268
Wuhan,1,0.9,0.1,6,0.44,67,0.9229299363057325,223
Wuhan,2,0.9,0.1,6,0.46,64,0.9186974336855726,271
Wuhan,3,0.9,0.1,5,0.44,66,0.9207855251544572,254
Wuhan,4,0.9,0.1,6,0.46,64,0.9168646080760094,255
Wuhan,0,0.9,0.2,16,0.4666666666666667,63,0.9124972448754683,268
Wuhan,1,0.9,0.2,16,0.44,67,0.9239915074309979,220
Wuhan,2,0.9,0.2,11,0.4666666666666667,63,0.9195600603838688,268
Wuhan,3,0.9,0.2,13,0.44666666666666666,65,0.9196822594880847,257
Wuhan,4,0.9,0.2,12,0.43333333333333335,68,0.9157849276614122,263
Hefei,0,0.7,0.05,147,0.44,74,0.9267805635677835,256
Hefei,1,0.7,0.05,131,0.4266666666666667,74,0.9336542486395981,264
Hefei,2,0.7,0.05,136,0.41333333333333333,77,0.9305201177625123,278
Hefei,3,0.7,0.05,121,0.46,70,0.9255379927632832,324
Hefei,4,0.7,0.05,135,0.4266666666666667,74,0.9350794716812179,243
Hefei,0,0.7,0.1,277,0.47333333333333333,69,0.9238961615265143,271
Hefei,1,0.7,0.1,255,0.46,70,0.9280033486814567,290
Hefei,2,0.7,0.1,268,0.43333333333333335,73,0.9299313052011776,279
Hefei,3,0.7,0.1,231,0.47333333333333333,68,0.9173490763664064,367
Hefei,4,0.7,0.1,265,0.48,68,0.9301544660846206,268
Hefei,0,0.7,0.2,457,0.5466666666666666,57,0.9070335034390947,349
Hefei,1,0.7,0.2,467,0.56,55,0.9123064043532859,360
Hefei,2,0.7,0.2,480,0.5333333333333333,59,0.9226692836113837,310
Hefei,3,0.7,0.2,416,0.52,62,0.904970481812988,432
Hefei,4,0.7,0.2,457,0.5533333333333333,57,0.9131408103872846,340
Hefei,0,0.8,0.05,57,0.42,77,0.929443088528955,249
Hefei,1,0.8,0.05,54,0.4066666666666667,77,0.9393051485977396,237
Hefei,2,0.8,0.05,50,0.3933333333333333,79,0.9338567222767419,263
Hefei,3,0.8,0.05,49,0.44,72,0.9299181108360313,306
Hefei,4,0.8,0.05,61,0.4266666666666667,76,0.9377658383702708,232
Hefei,0,0.8,0.1,119,0.46,71,0.9278899489682716,254
Hefei,1,0.8,0.1,111,0.44,73,0.9334449560485559,265
Hefei,2,0.8,0.1,104,0.4066666666666667,76,0.9336604514229637,264
Hefei,3,0.8,0.1,94,0.4266666666666667,75,0.9264901923443154,320
Hefei,4,0.8,0.1,119,0.44666666666666666,73,0.9375419744795165,234
Hefei,0,0.8,0.2,191,0.4866666666666667,67,0.925893055247393,264
Hefei,1,0.8,0.2,196,0.46,70,0.9303055671829217,279
Hefei,2,0.8,0.2,189,0.4666666666666667,68,0.9297350343473995,282
Hefei,3,0.8,0.2,167,0.5066666666666667,64,0.9219196343553608,345
Hefei,4,0.8,0.2,199,0.48,67,0.9297067383031117,267
Hefei,0,0.85,0.05,28,0.4066666666666667,80,0.9303305968493455,247
Hefei,1,0.85,0.05,22,0.42,75,0.9390958560066973,237
Hefei,2,0.85,0.05,22,0.3933333333333333,78,0.9336604514229637,264
Hefei,3,0.85,0.05,17,0.43333333333333335,73,0.9322033898305084,291
Hefei,4,0.85,0.05,28,0.42,76,0.9384374300425341,229
Hefei,0,0.85,0.1,53,0.4266666666666667,76,0.931218105169736,243
Hefei,1,0.85,0.1,47,0.4066666666666667,76,0.9384679782335705,241
Hefei,2,0.85,0.1,42,0.41333333333333333,76,0.9336604514229637,264
Hefei,3,0.85,0.1,41,0.4533333333333333,71,0.9323938297467149,289
Hefei,4,0.85,0.1,50,0.4266666666666667,75,0.9368703828072532,235
Hefei,0,0.85,0.2,83,0.46,72,0.9327712447304194,236
Hefei,1,0.85,0.2,74,0.44,72,0.9382586856425282,241
Hefei,2,0.85,0.2,70,0.41333333333333333,76,0.9326790971540726,269
Hefei,3,0.85,0.2,66,0.46,70,0.9302989906684441,301
Hefei,4,0.85,0.2,82,0.41333333333333333,77,0.9375419744795165,235
Hefei,0,0.9,0.05,3,0.4066666666666667,79,0.9318837364100289,235
Hefei,1,0.9,0.05,3,0.4,77,0.9386772708246128,238
Hefei,2,0.9,0.05,2,0.4,78,0.9336604514229637,266
Hefei,3,0.9,0.05,1,0.4266666666666667,74,0.9327747095791278,289
Hefei,4,0.9,0.05,3,0.4066666666666667,78,0.9408999328408327,216
Hefei,0,0.9,0.1,12,0.4066666666666667,79,0.9325493676503217,234
Hefei,1,0.9,0.1,11,0.4266666666666667,74,0.940351611552951,230
Hefei,2,0.9,0.1,10,0.4066666666666667,77,0.9332679097154073,264
Hefei,3,0.9,0.1,9,0.4266666666666667,74,0.9327747095791278,290
Hefei,4,0.9,0.1,12,0.4066666666666667,77,0.941571524513096,212
Hefei,0,0.9,0.2,19,0.4066666666666667,77,0.9327712447304194,233
Hefei,1,0.9,0.2,17,0.4266666666666667,73,0.9390958560066973,236
Hefei,2,0.9,0.2,14,0.38666666666666666,80,0.9342492639842983,261
Hefei,3,0.9,0.2,14,0.4266666666666667,74,0.9318225099980956,292
Hefei,4,0.9,0.2,18,0.41333333333333333,78,0.9395567494963063,224
Nanchang,0,0.7,0.05,75,0.2866666666666667,81,0.9051094890510949,197
Nanchang,1,0.7,0.05,67,0.3,80,0.9039110581695453,191
Nanchang,2,0.7,0.05,80,0.29333333333333333,80,0.8834240267894516,192
Nanchang,3,0.7,0.05,62,0.29333333333333333,81,0.9073342116820378,215
Nanchang,4,0.7,0.05,60,0.29333333333333333,81,0.9178626628394789,240
Nanchang,0,0.7,0.1,172,0.30666666666666664,80,0.9028975890289759,205
Nanchang,1,0.7,0.1,174,0.32,77,0.9043081199126464,193
Nanchang,2,0.7,0.1,171,0.32666666666666666,74,0.8786102971954792,213
Nanchang,3,0.7,0.1,156,0.3333333333333333,76,0.9042599912165129,230
Nanchang,4,0.7,0.1,142,0.31333333333333335,78,0.9156546699050563,251
Nanchang,0,0.7,0.2,334,0.37333333333333335,69,0.8958195089581951,237
Nanchang,1,0.7,0.2,337,0.3933333333333333,66,0.8967639467937264,229
Nanchang,2,0.7,0.2,306,0.36666666666666664,69,0.8712850565089996,244
Nanchang,3,0.7,0.2,287,0.38666666666666666,68,0.8935002195871761,279
Nanchang,4,0.7,0.2,299,0.38,69,0.9059395009935968,298
