[     0s] loading cities ...
[     0s]   Wuhan     n=15000 n_bams=150 conf={'h': 81, 'm': 65, 'l': 4} wc_vs_human_disagree=0.587
[     0s]   Hefei     n=15000 n_bams=150 conf={'h': 81, 'm': 64, 'l': 5} wc_vs_human_disagree=0.493
[     0s]   Nanchang  n=15000 n_bams=150 conf={'m': 108, 'h': 42} wc_vs_human_disagree=0.540
[     0s]   Nanjing   n=15000 n_bams=150 conf={'m': 60, 'h': 73, 'l': 17} wc_vs_human_disagree=0.680
[     0s]   Changsha  n=15000 n_bams=150 conf={'l': 41, 'h': 78, 'm': 31} wc_vs_human_disagree=0.493
[     0s]   Hangzhou  n=15000 n_bams=150 conf={'h': 64, 'm': 66, 'l': 20} wc_vs_human_disagree=0.407
[     0s] ========================================================================
[     0s] PHASE 1  corrector transfer (leave-one-city-out)
[     0s] ========================================================================
[     1s] [P1|all27] held=Wuhan     WC=0.413 MAJ=0.533 OP=0.713 HYB=0.480 fires= 18 fire_prec=0.778
[     1s] [P1|all27] held=Hefei     WC=0.507 MAJ=0.627 OP=0.673 HYB=0.573 fires= 28 fire_prec=0.679
[     1s] [P1|all27] held=Nanchang  WC=0.460 MAJ=0.647 OP=0.727 HYB=0.507 fires= 11 fire_prec=0.818
[     1s] [P1|all27] held=Nanjing   WC=0.320 MAJ=0.547 OP=0.740 HYB=0.407 fires= 15 fire_prec=0.933
[     2s] [P1|all27] held=Changsha  WC=0.507 MAJ=0.553 OP=0.747 HYB=0.593 fires= 18 fire_prec=0.833
[     2s] [P1|all27] held=Hangzhou  WC=0.593 MAJ=0.533 OP=0.753 HYB=0.653 fires= 11 fire_prec=0.909
[     2s] [P1|transfer15] held=Wuhan     WC=0.413 MAJ=0.533 OP=0.673 HYB=0.493 fires= 18 fire_prec=0.833
[     2s] [P1|transfer15] held=Hefei     WC=0.507 MAJ=0.627 OP=0.620 HYB=0.607 fires= 25 fire_prec=0.800
[     2s] [P1|transfer15] held=Nanchang  WC=0.460 MAJ=0.647 OP=0.687 HYB=0.520 fires= 15 fire_prec=0.800
[     3s] [P1|transfer15] held=Nanjing   WC=0.320 MAJ=0.547 OP=0.720 HYB=0.387 fires= 14 fire_prec=0.857
[     3s] [P1|transfer15] held=Changsha  WC=0.507 MAJ=0.553 OP=0.707 HYB=0.580 fires= 14 fire_prec=0.857
[     3s] [P1|transfer15] held=Hangzhou  WC=0.593 MAJ=0.533 OP=0.727 HYB=0.640 fires=  9 fire_prec=0.889
[     3s] ========================================================================
[     3s] PHASE 2  downstream (TIGHTENED: tau=0.85, q=0.1)
[     3s] ========================================================================
[     4s] [P2|Wuhan    |s0] B0_baseline       n_corr=   0 WC_OA=0.9136 WC_BE=263 Hum_OA=0.4533 Hum_BE= 64
[     5s] [P2|Wuhan    |s0] B1_local_oracle   n_corr=  15 WC_OA=0.9127 WC_BE=271 Hum_OA=0.4667 Hum_BE= 62
[     6s] [P2|Wuhan    |s0] B2_loco_gated     n_corr=  19 WC_OA=0.9129 WC_BE=269 Hum_OA=0.4667 Hum_BE= 62
[     7s] [P2|Wuhan    |s0] B3_loco_ungated   n_corr=  52 WC_OA=0.9118 WC_BE=272 Hum_OA=0.4867 Hum_BE= 61
[     7s] [P2|Wuhan    |s0] B4_random_flip    n_corr=  19 WC_OA=0.9140 WC_BE=263 Hum_OA=0.4733 Hum_BE= 63
[     8s] [P2|Wuhan    |s1] B0_baseline       n_corr=   0 WC_OA=0.9229 WC_BE=222 Hum_OA=0.4267 Hum_BE= 69
[     9s] [P2|Wuhan    |s1] B1_local_oracle   n_corr=  28 WC_OA=0.9223 WC_BE=231 Hum_OA=0.4400 Hum_BE= 67
[    10s] [P2|Wuhan    |s1] B2_loco_gated     n_corr=  14 WC_OA=0.9238 WC_BE=222 Hum_OA=0.4267 Hum_BE= 68
[    11s] [P2|Wuhan    |s1] B3_loco_ungated   n_corr=  58 WC_OA=0.9212 WC_BE=233 Hum_OA=0.4600 Hum_BE= 64
[    12s] [P2|Wuhan    |s1] B4_random_flip    n_corr=  14 WC_OA=0.9225 WC_BE=224 Hum_OA=0.4400 Hum_BE= 67
[    13s] [P2|Wuhan    |s2] B0_baseline       n_corr=   0 WC_OA=0.9191 WC_BE=267 Hum_OA=0.4267 Hum_BE= 68
[    14s] [P2|Wuhan    |s2] B1_local_oracle   n_corr=  22 WC_OA=0.9185 WC_BE=274 Hum_OA=0.4800 Hum_BE= 60
[    14s] [P2|Wuhan    |s2] B2_loco_gated     n_corr=  14 WC_OA=0.9189 WC_BE=271 Hum_OA=0.4533 Hum_BE= 64
[    15s] [P2|Wuhan    |s2] B3_loco_ungated   n_corr=  46 WC_OA=0.9187 WC_BE=272 Hum_OA=0.4733 Hum_BE= 61
[    16s] [P2|Wuhan    |s2] B4_random_flip    n_corr=  14 WC_OA=0.9185 WC_BE=268 Hum_OA=0.4333 Hum_BE= 67
[    17s] [P2|Wuhan    |s3] B0_baseline       n_corr=   0 WC_OA=0.9219 WC_BE=251 Hum_OA=0.4333 Hum_BE= 67
[    18s] [P2|Wuhan    |s3] B1_local_oracle   n_corr=  27 WC_OA=0.9203 WC_BE=255 Hum_OA=0.4600 Hum_BE= 63
[    19s] [P2|Wuhan    |s3] B2_loco_gated     n_corr=  16 WC_OA=0.9201 WC_BE=255 Hum_OA=0.4533 Hum_BE= 65
[    20s] [P2|Wuhan    |s3] B3_loco_ungated   n_corr=  53 WC_OA=0.9190 WC_BE=258 Hum_OA=0.4467 Hum_BE= 65
[    20s] [P2|Wuhan    |s3] B4_random_flip    n_corr=  16 WC_OA=0.9214 WC_BE=250 Hum_OA=0.4333 Hum_BE= 68
[    21s] [P2|Wuhan    |s4] B0_baseline       n_corr=   0 WC_OA=0.9145 WC_BE=265 Hum_OA=0.4533 Hum_BE= 65
[    22s] [P2|Wuhan    |s4] B1_local_oracle   n_corr=  19 WC_OA=0.9154 WC_BE=261 Hum_OA=0.4667 Hum_BE= 63
[    23s] [P2|Wuhan    |s4] B2_loco_gated     n_corr=  18 WC_OA=0.9162 WC_BE=256 Hum_OA=0.4667 Hum_BE= 63
[    24s] [P2|Wuhan    |s4] B3_loco_ungated   n_corr=  55 WC_OA=0.9156 WC_BE=262 Hum_OA=0.4867 Hum_BE= 61
[    25s] [P2|Wuhan    |s4] B4_random_flip    n_corr=  18 WC_OA=0.9160 WC_BE=256 Hum_OA=0.4533 Hum_BE= 66
[    26s] [P2|Hefei    |s0] B0_baseline       n_corr=   0 WC_OA=0.9312 WC_BE=241 Hum_OA=0.3933 Hum_BE= 81
[    27s] [P2|Hefei    |s0] B1_local_oracle   n_corr=  13 WC_OA=0.9312 WC_BE=241 Hum_OA=0.4000 Hum_BE= 80
[    27s] [P2|Hefei    |s0] B2_loco_gated     n_corr=  53 WC_OA=0.9312 WC_BE=243 Hum_OA=0.4267 Hum_BE= 76
[    28s] [P2|Hefei    |s0] B3_loco_ungated   n_corr= 104 WC_OA=0.9283 WC_BE=255 Hum_OA=0.4533 Hum_BE= 73
[    29s] [P2|Hefei    |s0] B4_random_flip    n_corr=  53 WC_OA=0.9321 WC_BE=236 Hum_OA=0.4000 Hum_BE= 78
[    30s] [P2|Hefei    |s1] B0_baseline       n_corr=   0 WC_OA=0.9391 WC_BE=237 Hum_OA=0.4000 Hum_BE= 77
[    31s] [P2|Hefei    |s1] B1_local_oracle   n_corr=  11 WC_OA=0.9412 WC_BE=227 Hum_OA=0.4133 Hum_BE= 76
[    31s] [P2|Hefei    |s1] B2_loco_gated     n_corr=  47 WC_OA=0.9385 WC_BE=241 Hum_OA=0.4067 Hum_BE= 76
[    32s] [P2|Hefei    |s1] B3_loco_ungated   n_corr=  95 WC_OA=0.9378 WC_BE=244 Hum_OA=0.4400 Hum_BE= 73
[    33s] [P2|Hefei    |s1] B4_random_flip    n_corr=  47 WC_OA=0.9408 WC_BE=232 Hum_OA=0.4133 Hum_BE= 76
[    34s] [P2|Hefei    |s2] B0_baseline       n_corr=   0 WC_OA=0.9337 WC_BE=263 Hum_OA=0.3733 Hum_BE= 81
[    35s] [P2|Hefei    |s2] B1_local_oracle   n_corr=   8 WC_OA=0.9350 WC_BE=258 Hum_OA=0.3933 Hum_BE= 78
[    36s] [P2|Hefei    |s2] B2_loco_gated     n_corr=  42 WC_OA=0.9337 WC_BE=264 Hum_OA=0.4133 Hum_BE= 76
[    36s] [P2|Hefei    |s2] B3_loco_ungated   n_corr=  94 WC_OA=0.9303 WC_BE=281 Hum_OA=0.4067 Hum_BE= 77
[    37s] [P2|Hefei    |s2] B4_random_flip    n_corr=  42 WC_OA=0.9339 WC_BE=266 Hum_OA=0.3867 Hum_BE= 79
[    38s] [P2|Hefei    |s3] B0_baseline       n_corr=   0 WC_OA=0.9326 WC_BE=289 Hum_OA=0.4267 Hum_BE= 74
[    39s] [P2|Hefei    |s3] B1_local_oracle   n_corr=  10 WC_OA=0.9324 WC_BE=291 Hum_OA=0.4400 Hum_BE= 73
[    39s] [P2|Hefei    |s3] B2_loco_gated     n_corr=  41 WC_OA=0.9324 WC_BE=289 Hum_OA=0.4533 Hum_BE= 71
[    40s] [P2|Hefei    |s3] B3_loco_ungated   n_corr=  85 WC_OA=0.9297 WC_BE=303 Hum_OA=0.4467 Hum_BE= 70
[    41s] [P2|Hefei    |s3] B4_random_flip    n_corr=  41 WC_OA=0.9341 WC_BE=285 Hum_OA=0.4267 Hum_BE= 75
[    42s] [P2|Hefei    |s4] B0_baseline       n_corr=   0 WC_OA=0.9405 WC_BE=219 Hum_OA=0.4067 Hum_BE= 79
[    43s] [P2|Hefei    |s4] B1_local_oracle   n_corr=  11 WC_OA=0.9393 WC_BE=224 Hum_OA=0.4267 Hum_BE= 75
[    44s] [P2|Hefei    |s4] B2_loco_gated     n_corr=  50 WC_OA=0.9369 WC_BE=235 Hum_OA=0.4267 Hum_BE= 75
[    44s] [P2|Hefei    |s4] B3_loco_ungated   n_corr= 103 WC_OA=0.9371 WC_BE=235 Hum_OA=0.4400 Hum_BE= 72
[    45s] [P2|Hefei    |s4] B4_random_flip    n_corr=  50 WC_OA=0.9378 WC_BE=232 Hum_OA=0.4133 Hum_BE= 77
[    46s] [P2|Nanchang |s0] B0_baseline       n_corr=   0 WC_OA=0.9018 WC_BE=204 Hum_OA=0.2933 Hum_BE= 81
[    47s] [P2|Nanchang |s0] B1_local_oracle   n_corr=  43 WC_OA=0.9044 WC_BE=198 Hum_OA=0.3133 Hum_BE= 77
[    48s] [P2|Nanchang |s0] B2_loco_gated     n_corr=  22 WC_OA=0.9047 WC_BE=194 Hum_OA=0.3067 Hum_BE= 79
[    49s] [P2|Nanchang |s0] B3_loco_ungated   n_corr=  45 WC_OA=0.9029 WC_BE=197 Hum_OA=0.2867 Hum_BE= 81
[    50s] [P2|Nanchang |s0] B4_random_flip    n_corr=  22 WC_OA=0.9029 WC_BE=201 Hum_OA=0.2867 Hum_BE= 83
[    51s] [P2|Nanchang |s1] B0_baseline       n_corr=   0 WC_OA=0.9009 WC_BE=206 Hum_OA=0.3000 Hum_BE= 80
[    52s] [P2|Nanchang |s1] B1_local_oracle   n_corr=  41 WC_OA=0.9029 WC_BE=199 Hum_OA=0.3200 Hum_BE= 77
[    53s] [P2|Nanchang |s1] B2_loco_gated     n_corr=  22 WC_OA=0.9015 WC_BE=203 Hum_OA=0.3133 Hum_BE= 78
[    54s] [P2|Nanchang |s1] B3_loco_ungated   n_corr=  50 WC_OA=0.9023 WC_BE=198 Hum_OA=0.3133 Hum_BE= 77
[    55s] [P2|Nanchang |s1] B4_random_flip    n_corr=  22 WC_OA=0.9025 WC_BE=199 Hum_OA=0.3000 Hum_BE= 80
[    56s] [P2|Nanchang |s2] B0_baseline       n_corr=   0 WC_OA=0.8859 WC_BE=181 Hum_OA=0.2733 Hum_BE= 84
[    57s] [P2|Nanchang |s2] B1_local_oracle   n_corr=  42 WC_OA=0.8851 WC_BE=183 Hum_OA=0.3267 Hum_BE= 75
[    58s] [P2|Nanchang |s2] B2_loco_gated     n_corr=  23 WC_OA=0.8845 WC_BE=186 Hum_OA=0.3000 Hum_BE= 80
[    59s] [P2|Nanchang |s2] B3_loco_ungated   n_corr=  48 WC_OA=0.8838 WC_BE=187 Hum_OA=0.3133 Hum_BE= 77
[    60s] [P2|Nanchang |s2] B4_random_flip    n_corr=  23 WC_OA=0.8851 WC_BE=183 Hum_OA=0.2667 Hum_BE= 84
[    61s] [P2|Nanchang |s3] B0_baseline       n_corr=   0 WC_OA=0.9111 WC_BE=210 Hum_OA=0.2800 Hum_BE= 83
[    62s] [P2|Nanchang |s3] B1_local_oracle   n_corr=  36 WC_OA=0.9113 WC_BE=204 Hum_OA=0.3200 Hum_BE= 77
[    63s] [P2|Nanchang |s3] B2_loco_gated     n_corr=  20 WC_OA=0.9108 WC_BE=205 Hum_OA=0.3067 Hum_BE= 80
