Original_ID,system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,lat,lon,.geo
0,0,1395.0,1295.0,891.0,1032.0,1130.0,1236.0,1,-0.14956737,0.060433295,0.04480135,28.177410601212824,113.03676391556344,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.03676391556343,28.177410601212824]}"
1,1,2024.0,2116.0,1130.0,1352.0,1422.0,2141.0,1,-0.19905214,-0.028091237,0.20179623,28.40863695534519,112.71660434830322,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.71660434830322,28.40863695534519]}"
2,2,1622.75,1192.3333333333333,795.2727272727273,927.0,923.3636363636364,1947.25,1,-0.27286988,-0.09089636,0.35667858,27.995322093121796,113.2396035067176,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.23960350671761,27.995322093121796]}"
3,3,1602.5,1289.5,698.5,867.0,945.0,1802.0,1,-0.29783356,-0.058598913,0.3119767,28.18028521012201,112.6885769114387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.6885769114387,28.18028521012201]}"
4,4,1792.5,1539.5,728.0,912.0,929.5,1994.5,1,-0.3255685,-0.053340375,0.3642271,28.276225282465973,113.30994159346416,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.30994159346417,28.276225282465973]}"
5,5,2487.5,1967.5,1368.0,1502.0,1515.0,2313.0,1,-0.24702343,0.03635038,0.20846395,28.091441828522587,112.98735657493684,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.98735657493685,28.091441828522587]}"
6,6,1990.0,1653.5,799.5,889.0,922.5,1790.0,1,-0.38242444,0.052910052,0.31981567,28.394623236912924,113.38791536012576,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.38791536012575,28.394623236912924]}"
7,7,1612.0,1267.0,469.0,581.0,600.0,1415.0,1,-0.47013223,0.06508094,0.4044665,28.333897123706446,112.74166734473016,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.74166734473016,28.333897123706446]}"
8,8,2003.0,1515.0,527.0,624.0,614.0,1992.0,1,-0.5249334,0.0027534417,0.52877975,28.361565234457327,113.90579412142064,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.90579412142064,28.361565234457327]}"
9,9,1970.0,1651.0,778.0,938.0,973.0,2106.0,1,-0.35488307,-0.033366047,0.3679766,28.379801034724952,112.7568488730318,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.75684887303179,28.379801034724952]}"
