PointID,Original_ID,Human_Class,Scene,,Notes
1,9358,2,裸地,h,WC_Class=2
2,7015,1,城市建筑和路面,h,WC_Class=2
3,8825,1,建筑,h,WC_Class=2
4,6953,2,工地,l,WC_Class=2
5,8352,2,农田,m,WC_Class=2
6,12379,1,城市路面,m,WC_Class=3
7,7845,3,水体,l,WC_Class=2
8,5675,1,高反地面,h,WC_Class=2
9,2399,2,建筑和veg,m,WC_Class=1
10,4129,2,veg,m,WC_Class=1
11,9399,2,veg,h,WC_Class=2
12,13669,3,水体,l,WC_Class=3
13,7646,2,veg,h,WC_Class=2
14,7754,1,城市小区,h,WC_Class=2
15,6066,3,水体边缘,l,WC_Class=2
16,7204,1,城市路面,h,WC_Class=2
17,2217,2,水体边缘,m,WC_Class=1
18,6490,3,we,h,WC_Class=2
19,7958,1,城市路面,h,WC_Class=2
20,10962,2,水体边缘,l,WC_Class=3
21,13421,3,水体边缘,m,WC_Class=3
22,1975,1,城市路面,m,WC_Class=1
23,9697,1,建筑,h,WC_Class=2
24,8854,3,水体,m,WC_Class=2
25,464,2,veg,h,WC_Class=1
26,5561,2,veg,h,WC_Class=2
27,8414,1,土路,l,WC_Class=2
28,4050,1,小区路面,h,WC_Class=1
29,5441,2,veg边缘,m,WC_Class=2
30,9532,2,veg,m,WC_Class=2
31,6003,1,小区路面,h,WC_Class=2
32,6236,3,水体,h,WC_Class=2
33,5268,1,城市路面,h,WC_Class=2
34,9493,2,工地,l,WC_Class=2
35,2540,2,veg,m,WC_Class=1
36,3273,2,veg,h,WC_Class=1
37,9938,1,农村房子,h,WC_Class=2
38,5080,2,veg,h,WC_Class=2
39,4047,2,veg,h,WC_Class=1
40,7153,2,veg,h,WC_Class=2
41,11906,3,水体,m,WC_Class=3
42,1926,2,veg,h,WC_Class=1
43,11141,3,水体,l,WC_Class=3
44,1452,2,农村土路,h,WC_Class=1
45,1537,2,农村土路,h,WC_Class=1
46,5654,2,工地,l,WC_Class=2
47,8050,2,fe,l,WC_Class=2
48,10234,3,水体,m,WC_Class=3
49,5127,3,水体,h,WC_Class=2
50,7719,1,农村建筑,h,WC_Class=2
51,7241,2,bl,m,WC_Class=2
52,6705,2,bl,m,WC_Class=2
53,10171,3,tw,m,WC_Class=3
54,4048,2,re,h,WC_Class=1
55,282,2,ub,h,WC_Class=1
56,9893,1,be,h,WC_Class=2
57,6515,3,we,m,WC_Class=2
58,7626,2,fe,m,WC_Class=2
59,10360,2,fe,m,WC_Class=3
60,9661,2,fe,m,WC_Class=2
61,1013,2,ub,h,WC_Class=1
62,6178,2,mx,m,WC_Class=2
63,13792,3,we,m,WC_Class=3
64,12454,3,tw,m,WC_Class=3
65,2504,2,re,h,WC_Class=1
66,6407,1,be,h,WC_Class=2
67,5804,2,fe,m,WC_Class=2
68,8239,2,fe,m,WC_Class=2
69,737,2,re,h,WC_Class=1
70,5000,2,mx,m,WC_Class=2
71,4271,2,ub,h,WC_Class=1
72,1335,2,re,h,WC_Class=1
73,34,2,fe,h,WC_Class=1
74,3487,2,ub,h,WC_Class=1
75,7355,2,mx,m,WC_Class=2
76,4053,2,re,h,WC_Class=1
77,9271,1,be,h,WC_Class=2
78,10273,2,we,m,WC_Class=3
79,4401,2,fe,h,WC_Class=1
80,1254,1,be,m,WC_Class=1
81,4370,1,be,m,WC_Class=1
82,6997,2,mx,m,WC_Class=2
83,9408,2,mx,m,WC_Class=2
84,1743,3,we,m,WC_Class=1
85,3382,2,fe,h,WC_Class=1
86,10976,3,we,m,WC_Class=3
87,9321,1,be,h,WC_Class=2
88,6932,2,ub,m,WC_Class=2
89,5774,3,we,m,WC_Class=2
90,901,2,sb,h,WC_Class=1
91,6934,2,road,m,WC_Class=2
92,9579,2,fe,m,WC_Class=2
93,12868,2,we,m,WC_Class=3
94,8258,2,bl,m,WC_Class=2
95,6223,2,fe,m,WC_Class=2
96,7827,2,fe,m,WC_Class=2
97,9432,2,fe,m,WC_Class=2
98,2609,2,fe,h,WC_Class=1
99,14914,2,bridge,m,WC_Class=3
100,12286,2,we,m,WC_Class=3
101,13352,2,we,m,WC_Class=3
102,5889,2,re,m,WC_Class=2
103,5768,2,bl,m,WC_Class=2
104,6204,2,bl,m,WC_Class=2
105,8426,1,be,h,WC_Class=2
106,5216,2,fe,m,WC_Class=2
107,5225,3,tw,m,WC_Class=2
108,9574,2,fe,m,WC_Class=2
109,8708,3,we,m,WC_Class=2
110,5852,3,we,m,WC_Class=2
111,2357,2,re,h,WC_Class=1
112,393,2,fe,h,WC_Class=1
113,6907,3,tw,m,WC_Class=2
114,1475,2,fe,h,WC_Class=1
115,5365,2,re,m,WC_Class=2
116,3806,2,re,h,WC_Class=1
117,6599,2,ct,m,WC_Class=2
118,2658,2,ub,h,WC_Class=1
119,1831,2,ub,h,WC_Class=1
120,6177,3,tw,m,WC_Class=2
121,10994,3,tw,m,WC_Class=3
122,7871,2,we,m,WC_Class=2
123,7469,3,tw,m,WC_Class=2
124,4886,1,be,m,WC_Class=1
125,1346,2,re,h,WC_Class=1
126,10031,2,we,m,WC_Class=3
127,3354,2,ub,h,WC_Class=1
128,853,2,fe,h,WC_Class=1
129,48,2,mx,h,WC_Class=1
130,5978,2,mx,m,WC_Class=2
131,4826,2,mx,h,WC_Class=1
132,108,2,fe,h,WC_Class=1
133,14590,3,we,m,WC_Class=3
134,7514,2,bs,m,WC_Class=2
135,8812,2,fe,m,WC_Class=2
136,1212,3,tw,m,WC_Class=1
137,12456,2,bridge,m,WC_Class=3
138,5393,2,we,m,WC_Class=2
139,3068,2,fe,h,WC_Class=1
140,13673,2,we,m,WC_Class=3
141,9368,2,fe,m,WC_Class=2
142,6642,2,bl,m,WC_Class=2
143,3106,1,be,m,WC_Class=1
144,8589,2,bl,m,WC_Class=2
145,9373,3,we,m,WC_Class=2
146,13875,3,tw,m,WC_Class=3
147,3156,1,sb,m,WC_Class=1
148,309,2,re,h,WC_Class=1
149,5410,2,sb,m,WC_Class=2
150,6618,1,be,h,WC_Class=2
