PointID,Original_ID,Human_Class,Scene,Notes
1,6245,2,,WC_Class=2
2,6679,2,,WC_Class=2
3,9929,2,,WC_Class=2
4,8642,2,,WC_Class=2
5,7029,1,,WC_Class=2
6,21,1,,WC_Class=1
7,4220,1,,WC_Class=1
8,8774,2,,WC_Class=2
9,9271,1,,WC_Class=2
10,3510,1,,WC_Class=1
11,13068,3,,WC_Class=3
12,9710,1,,WC_Class=2
13,8654,2,,WC_Class=2
14,8685,2,,WC_Class=2
15,5284,2,,WC_Class=2
16,7853,2,,WC_Class=2
17,9620,1,,WC_Class=2
18,6997,2,,WC_Class=2
19,9165,1,,WC_Class=2
20,7795,2,,WC_Class=2
21,13792,3,,WC_Class=3
22,5654,2,,WC_Class=2
23,8812,2,,WC_Class=2
24,9424,1,,WC_Class=2
25,11297,3,,WC_Class=3
26,13133,3,,WC_Class=3
27,9346,2,,WC_Class=2
28,5642,2,,WC_Class=2
29,3061,1,,WC_Class=1
30,9149,1,,WC_Class=2
31,9478,2,,WC_Class=2
32,13661,3,,WC_Class=3
33,6407,1,,WC_Class=2
34,8131,1,,WC_Class=2
35,8510,2,,WC_Class=2
36,2492,1,,WC_Class=1
37,6520,2,,WC_Class=2
38,6643,1,,WC_Class=2
39,8196,1,,WC_Class=2
40,8641,2,,WC_Class=2
41,9344,1,,WC_Class=2
42,7372,1,,WC_Class=2
43,8100,2,,WC_Class=2
44,9894,1,,WC_Class=2
45,7490,2,,WC_Class=2
46,1499,1,,WC_Class=1
47,1771,1,,WC_Class=1
48,8822,2,,WC_Class=2
49,9588,1,,WC_Class=2
50,7887,2,,WC_Class=2
51,1854,1,,WC_Class=1
52,7178,1,,WC_Class=2
53,7701,1,,WC_Class=2
54,7763,2,,WC_Class=2
55,7153,1,,WC_Class=2
56,6743,1,,WC_Class=2
57,12119,3,,WC_Class=3
58,2460,2,,WC_Class=1
59,3068,1,,WC_Class=1
60,3291,1,,WC_Class=1
61,7661,2,,WC_Class=2
62,9203,2,,WC_Class=2
63,1212,1,,WC_Class=1
64,6016,2,,WC_Class=2
65,8466,1,,WC_Class=2
66,2043,2,,WC_Class=1
67,5465,2,,WC_Class=2
68,7950,2,,WC_Class=2
69,9590,2,,WC_Class=2
70,9611,2,,WC_Class=2
71,7015,2,,WC_Class=2
72,8662,2,,WC_Class=2
73,9549,2,,WC_Class=2
74,9805,1,,WC_Class=2
75,12684,3,,WC_Class=3
76,3456,2,,WC_Class=1
77,3852,1,,WC_Class=1
78,6266,1,,WC_Class=2
79,7079,2,,WC_Class=2
80,8760,2,,WC_Class=2
81,7788,1,,WC_Class=2
82,8555,1,,WC_Class=2
83,7712,1,,WC_Class=2
84,9932,1,,WC_Class=2
85,174,1,,WC_Class=1
86,2652,1,,WC_Class=1
87,3818,1,,WC_Class=1
88,5127,2,,WC_Class=2
89,6326,2,,WC_Class=2
90,6704,2,,WC_Class=2
91,8414,1,,WC_Class=2
92,9711,1,,WC_Class=2
93,9884,1,,WC_Class=2
94,5437,2,,WC_Class=2
95,7561,2,,WC_Class=2
96,11393,3,,WC_Class=3
97,13902,3,,WC_Class=3
98,5219,1,,WC_Class=2
99,2034,1,,WC_Class=1
100,5250,1,,WC_Class=2
101,5700,2,,WC_Class=2
102,7499,2,,WC_Class=2
103,6738,1,,WC_Class=2
104,5443,1,,WC_Class=2
105,10735,3,,WC_Class=3
106,11456,3,,WC_Class=3
107,635,1,,WC_Class=1
108,1441,2,,WC_Class=1
109,5930,1,,WC_Class=2
110,6672,1,,WC_Class=2
111,9908,2,,WC_Class=2
112,2783,1,,WC_Class=1
113,10422,3,,WC_Class=3
114,12387,3,,WC_Class=3
115,5410,2,,WC_Class=2
116,5475,1,,WC_Class=2
117,6618,2,,WC_Class=2
118,7078,2,,WC_Class=2
119,7623,2,,WC_Class=2
120,5929,2,,WC_Class=2
121,7277,1,,WC_Class=2
122,505,2,,WC_Class=1
123,3213,1,,WC_Class=1
124,3651,1,,WC_Class=1
125,4044,2,,WC_Class=1
126,4685,2,,WC_Class=1
127,5100,2,,WC_Class=2
128,5408,1,,WC_Class=2
129,6636,2,,WC_Class=2
130,6645,2,,WC_Class=2
131,6741,2,,WC_Class=2
132,9529,2,,WC_Class=2
133,9755,2,,WC_Class=2
134,9296,2,,WC_Class=2
135,9381,2,,WC_Class=2
136,10137,3,,WC_Class=3
137,12098,3,,WC_Class=3
138,9988,1,,WC_Class=2
139,1399,1,,WC_Class=1
140,3055,2,,WC_Class=1
141,4129,1,,WC_Class=1
142,5629,1,,WC_Class=2
143,6945,1,,WC_Class=2
144,8239,1,,WC_Class=2
145,8758,2,,WC_Class=2
146,13428,3,,WC_Class=3
147,1813,2,,WC_Class=1
148,2195,1,,WC_Class=1
149,7741,2,,WC_Class=2
150,8291,1,,WC_Class=2
