system:index,Original_ID,B11_mean,B11_stdDev,B12_mean,B12_stdDev,B2_mean,B2_stdDev,B3_mean,B3_stdDev,B4_mean,B4_stdDev,B8_mean,B8_stdDev,Class,MNDWI_mean,MNDWI_stdDev,NDBI_mean,NDBI_stdDev,NDVI_mean,NDVI_stdDev,.geo
0000000000000000091d_0,2333,876.8888888888886,52.69713136709625,773.333333333333,64.78339979415165,316.2222222222222,162.12257213312932,357.1111111111111,165.10430672385698,385.6666666666665,171.7407607089502,747.111111111111,303.53050165032636,1,-0.44326448,0.1824240323778548,0.116443805,0.1951545924872277,0.31260362,0.1563151623499583,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000382_0,898,536.8888888888887,55.498637509691264,564.9999999999998,32.59175083088084,285.33333333333326,96.0647929495736,323.8888888888888,102.29417757346748,270.8888888888888,107.65835307886852,701.7777777777776,206.03493650769144,1,-0.26135424,0.1538422618346683,-0.109397754,0.1405516490268803,0.4423525,0.1243879445622071,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001212_0,4626,1319.5555555555554,126.69483117678304,1052.9999999999998,157.81001235663092,227.22222222222217,50.47502743993042,356.4444444444444,106.6146864086965,385.11111111111103,95.65963324254793,1116.7777777777774,413.4926514939609,1,-0.5821898,0.0852900464502855,0.11149342,0.1509647162006828,0.46477258,0.1326247165721342,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005f4_0,1524,689.6666666666665,227.81034997461276,540.4444444444443,137.40055887894667,203.66666666666657,25.5516905289824,229.22222222222217,44.89191408948035,210.8888888888888,55.308115628006945,531.6666666666665,175.49232335220694,1,-0.48112425,0.1197250281009418,0.12699221,0.0848986099830294,0.4212917,0.1045373175430077,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000dea_0,3562,627.5555555555554,194.4371427200466,490.9999999999999,153.62508475723183,292.7777777777777,115.90396194721612,315.99999999999994,133.11815970950187,330.6666666666666,153.99062020496933,500.6666666666666,306.13577234800755,1,-0.3279882,0.1437773022089744,0.15327176,0.1929491613450926,0.17391679,0.0692140420304934,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000554_0,1364,654.7777777777776,183.05601922045471,526.6666666666665,171.50574982262904,314.44444444444434,111.81344692647772,376.2222222222221,172.37799406973664,365.7777777777777,173.5234712127682,710.9999999999999,349.4106148613373,1,-0.28110588,0.1508356839093007,-0.010666907,0.1424849441964072,0.3148906,0.07131783458975,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008eb_0,2283,739.9444444444442,167.60808195251937,654.3888888888887,152.09861161207553,267.83333333333326,81.04045628916187,332.33333333333326,122.18769714391598,345.7222222222221,122.32813592753782,612.1666666666666,239.9730308921308,1,-0.39050043,0.0736300756966662,0.11580102,0.0967783755190027,0.26918396,0.0661602124751097,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012b6_0,4790,1094.333333333333,187.56969075223452,761.9999999999998,147.83098457360012,356.8333333333333,116.30993078838968,465.9999999999999,148.03528108003323,473.4444444444443,152.33523785177883,1053.7777777777774,320.25719795112525,1,-0.41413808,0.0851856681842472,0.033524524,0.0694389327122239,0.37929535,0.0864624408396284,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c29_0,3113,558.9999999999999,116.52372195299024,412.9999999999999,132.14133847261172,277.66666666666663,119.39570064844602,312.66666666666663,136.24079989326088,351.33333333333326,171.2626313265357,540.8888888888888,226.7335413330637,1,-0.31096888,0.1285628772366648,0.04979639,0.1479527972646533,0.22795413,0.078907828024626,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009a0_0,2464,618.5555555555553,112.1743297145722,449.55555555555543,108.8940474968532,319.38888888888874,89.02988817051451,372.72222222222223,106.8727465288381,329.5555555555555,99.69660766669504,585.3888888888887,201.0342394521361,1,-0.2551197,0.10476885942774,0.045736227,0.1179401642869655,0.2714074,0.0769968398417068,"{""type"":""MultiPoint"",""coordinates"":[]}"
