PointID,Original_ID,lon,lat,Class,margin,RF_Pred,prob_1,prob_2,prob_3
1,9482,120.19509565024,30.317263075639552,2,0.11333333333333329,2,0.44333333333333336,0.5566666666666666,0.0
2,6442,119.58504603511805,29.658528995216095,2,0.13999999999999996,2,0.43,0.57,0.0
3,8370,120.06933116412861,30.076516209764,2,0.16666666666666669,2,0.4166666666666667,0.5833333333333334,0.0
4,12546,118.99161994872337,29.593488547250537,3,0.16666666666666669,3,0.4166666666666667,0.0,0.5833333333333334
5,14331,120.14389179284328,30.14568578530506,3,0.17000000000000004,3,0.41333333333333333,0.0033333333333333335,0.5833333333333334
6,8955,120.20138298272536,30.19733555280712,2,0.18,2,0.41,0.59,0.0
7,14831,120.17523927324896,30.422725274654596,3,0.18,3,0.41,0.0,0.59
8,7027,119.08405711356129,29.798214794816342,2,0.1866666666666667,2,0.0,0.5933333333333334,0.4066666666666667
9,9489,120.03411764310954,30.318970911343015,2,0.1866666666666667,2,0.4066666666666667,0.5933333333333334,0.0
10,9145,119.73156317753218,30.23668266050273,2,0.19333333333333336,2,0.4033333333333333,0.5966666666666667,0.0
11,6929,119.70784967812993,29.776565859201863,2,0.19666666666666666,2,0.4,0.5966666666666667,0.0033333333333333335
12,8848,120.17137769173674,30.177666458060376,2,0.19999999999999996,2,0.4,0.6,0.0
13,9895,120.07408902495261,30.44482457947548,2,0.2033333333333333,2,0.39666666666666667,0.6,0.0033333333333333335
14,14733,120.16913476390684,30.308099622974716,3,0.20666666666666672,3,0.39666666666666667,0.0,0.6033333333333334
15,9822,120.11882718582183,30.414101373217232,2,0.21333333333333337,2,0.3933333333333333,0.6066666666666667,0.0
16,14931,120.27342867844587,30.49800381863887,3,0.21333333333333337,3,0.38,0.02666666666666667,0.5933333333333334
17,9614,119.98965148740457,30.35031839174874,2,0.21666666666666667,2,0.39,0.6066666666666667,0.0033333333333333335
18,8346,119.96898801312291,30.069595684929062,2,0.21999999999999997,2,0.39,0.61,0.0
19,9118,119.95713126342179,30.230845697223767,2,0.21999999999999997,2,0.39,0.61,0.0
20,9537,120.03411764310954,30.331813122376946,2,0.21999999999999997,2,0.39,0.61,0.0
21,14361,120.1320305840411,30.157899263090446,3,0.21999999999999997,3,0.39,0.0,0.61
22,10079,119.10462694672084,29.3828361543847,3,0.22000000000000003,3,0.38666666666666666,0.006666666666666667,0.6066666666666667
23,355,119.22823768702341,29.560522413162406,1,0.22666666666666663,1,0.6133333333333333,0.38666666666666666,0.0
24,8255,120.29471642687504,30.046778464838578,2,0.22666666666666663,2,0.38666666666666666,0.6133333333333333,0.0
25,9875,120.23758642417829,30.436200678038112,2,0.22666666666666663,2,0.38333333333333336,0.61,0.006666666666666667
26,14467,120.2003930622915,30.21575164015786,3,0.22666666666666663,3,0.38333333333333336,0.006666666666666667,0.61
27,12591,119.05100179745212,29.598518413238825,3,0.22999999999999993,3,0.0033333333333333335,0.38333333333333336,0.6133333333333333
28,8057,120.20533374625869,30.006802623894437,2,0.2366666666666667,2,0.37,0.6066666666666667,0.023333333333333334
