PointID,Original_ID,Human_Class,Scene,Confidence,Notes
1,8848,1,建筑,h,WC_Class=2
2,12546,3,水体,m,WC_Class=3
3,9482,1,road,m,WC_Class=2
4,6442,1,建筑,m,WC_Class=2
5,9118,2,土路,m,WC_Class=2
6,6929,2,veg,h,WC_Class=2
7,8370,2,veg,h,WC_Class=2
8,14331,2,水体边缘,l,WC_Class=3
9,14733,3,水体,h,WC_Class=3
10,8057,3,水体,h,WC_Class=2
11,8955,1,road,h,WC_Class=2
12,9145,1,小区,h,WC_Class=2
13,14831,1,小区,h,WC_Class=3
14,9489,2,裸地,h,WC_Class=2
15,14931,3,水体,m,WC_Class=3
16,355,2,veg,h,WC_Class=1
17,14467,1,城市路面,h,WC_Class=3
18,9895,2,工地,h,WC_Class=2
19,12591,3,水体,m,WC_Class=3
20,9058,1,road,h,WC_Class=2
21,9822,2,大棚,l,WC_Class=2
22,719,2,土地,h,WC_Class=1
23,9614,1,小区,h,WC_Class=2
24,10079,2,裸地,l,WC_Class=3
25,8346,2,建筑,m,WC_Class=2
26,10523,2,水体边缘,m,WC_Class=3
27,7027,3,水体,h,WC_Class=2
28,9607,1,建筑,h,WC_Class=2
29,7863,1,建筑,h,WC_Class=2
30,8998,2,veg,m,WC_Class=2
31,9537,2,veg,h,WC_Class=2
32,9787,2,田地,h,WC_Class=2
33,6591,1,road,h,WC_Class=2
34,8255,2,veg,h,WC_Class=2
35,12515,3,水体,l,WC_Class=3
36,14361,3,水体,m,WC_Class=3
37,9484,2,veg,m,WC_Class=2
38,9875,2,veg,h,WC_Class=2
39,9917,1,建筑,m,WC_Class=2
40,438,2,veg,m,WC_Class=1
41,8387,2,mix,l,WC_Class=2
42,9299,1,high way,h,WC_Class=2
43,10510,3,水体,h,WC_Class=3
44,6444,1,建筑,l,WC_Class=2
45,9811,1,建筑,h,WC_Class=2
46,9111,2,工地,l,WC_Class=2
47,7148,2,veg,m,WC_Class=2
48,9980,2,水田,m,WC_Class=2
49,6042,1,建筑,h,WC_Class=2
50,8584,2,veg,h,WC_Class=2
51,9637,1,rail way,h,WC_Class=2
52,8055,1,建筑,h,WC_Class=2
53,6251,3,水体,h,WC_Class=2
54,8717,2,veg,m,WC_Class=2
55,8466,2,土路,h,WC_Class=2
56,5568,3,水体,h,WC_Class=2
57,13655,2,水体边缘,l,WC_Class=3
58,8220,2,水体边缘,l,WC_Class=2
59,8838,1,建筑,h,WC_Class=2
60,12575,3,水体,h,WC_Class=3
61,9405,2,土路,l,WC_Class=2
62,6443,1,路面,m,WC_Class=2
63,12060,3,水体,m,WC_Class=3
64,4475,2,veg,h,WC_Class=1
65,8033,2,废土,l,WC_Class=2
66,6002,2,废土,h,WC_Class=2
67,9152,1,road,h,WC_Class=2
68,8862,2,土路,h,WC_Class=2
69,13727,3,水体,h,WC_Class=3
70,10074,3,水体,l,WC_Class=3
71,9064,1,城市路面,h,WC_Class=2
72,8560,2,水体边缘,m,WC_Class=2
73,7713,1,农村路面,m,WC_Class=2
74,9378,1,car park,h,WC_Class=2
75,4262,2,veg,m,WC_Class=1
76,8368,2,veg,h,WC_Class=2
77,8948,3,水体,h,WC_Class=2
78,3623,2,废土,h,WC_Class=1
79,14054,3,水体边缘,m,WC_Class=3
80,9805,2,工地,h,WC_Class=2
81,9779,3,水体,m,WC_Class=2
82,7896,2,废土,l,WC_Class=2
83,13199,3,水体边缘,m,WC_Class=3
84,726,2,田地,h,WC_Class=1
85,7561,2,土路,h,WC_Class=2
86,8340,2,农村建筑,l,WC_Class=2
87,7025,2,veg,h,WC_Class=2
88,9189,2,veg,h,WC_Class=2
89,9904,2,水体边缘,m,WC_Class=2
90,7075,1,水体,h,WC_Class=2
91,9877,2,veg,m,WC_Class=2
92,14801,2,水体边缘,m,WC_Class=3
93,9239,2,废土,l,WC_Class=2
94,6000,2,veg,m,WC_Class=2
95,6978,3,水体,h,WC_Class=2
96,460,1,road,h,WC_Class=1
97,10287,3,水体,l,WC_Class=3
98,14666,3,水体,l,WC_Class=3
99,13813,3,水体,h,WC_Class=3
100,2166,3,水体,h,WC_Class=1
