PointID,Original_ID,Human_Class,Scene,Confidence,Notes
1,9811,1,建筑,h,WC_Class=2
2,8848,1,建筑,h,WC_Class=2
3,8387,2,mix,l,WC_Class=2
4,10287,3,水体,l,WC_Class=3
5,489,2,veg,h,WC_Class=1
6,11873,3,tw,l,WC_Class=3
7,12575,3,水体,h,WC_Class=3
8,2071,2,veg,h,WC_Class=1
9,12610,3,水体,h,WC_Class=3
10,5155,2,荒地,h,WC_Class=2
11,3619,1,be,h,WC_Class=1
12,6042,1,建筑,h,WC_Class=2
13,4967,1,be,h,WC_Class=1
14,8078,2,veg,l,WC_Class=2
15,9118,2,土路,m,WC_Class=2
16,1874,2,veg,h,WC_Class=1
17,9877,2,veg,m,WC_Class=2
18,2088,2,veg,m,WC_Class=1
19,10510,3,水体,h,WC_Class=3
20,2482,1,be,h,WC_Class=1
21,12510,3,we,m,WC_Class=3
22,12546,3,水体,m,WC_Class=3
23,61,2,fe,m,WC_Class=1
24,12221,3,we,m,WC_Class=3
25,13483,3,we,m,WC_Class=3
26,9607,1,建筑,h,WC_Class=2
27,8717,2,veg,m,WC_Class=2
28,10220,2,fe,m,WC_Class=3
29,9946,2,ct,l,WC_Class=2
30,10523,2,水体边缘,m,WC_Class=3
31,12515,3,水体,l,WC_Class=3
32,14265,3,we,m,WC_Class=3
33,172,1,br,h,WC_Class=1
34,10605,3,we,m,WC_Class=3
35,8057,3,水体,h,WC_Class=2
36,13727,3,水体,h,WC_Class=3
37,11702,3,tw,l,WC_Class=3
38,6443,1,路面,m,WC_Class=2
39,13689,3,we,m,WC_Class=3
40,14525,3,tw,m,WC_Class=3
41,8591,2,fe,m,WC_Class=2
42,11962,3,水体,h,WC_Class=3
43,9226,3,we,l,WC_Class=2
44,6825,3,tw,l,WC_Class=2
45,10074,3,水体,l,WC_Class=3
46,12573,2,bl,m,WC_Class=3
47,9536,1,高铁站,h,WC_Class=2
48,13800,3,we,m,WC_Class=3
49,8675,2,re,m,WC_Class=2
50,400,1,be,h,WC_Class=1
51,530,2,veg,h,WC_Class=1
52,7518,2,veg,m,WC_Class=2
53,467,2,veg,h,WC_Class=1
54,12936,3,we,m,WC_Class=3
55,9694,2,veg,h,WC_Class=2
56,3506,2,bl,m,WC_Class=1
57,13199,3,水体边缘,m,WC_Class=3
58,13138,2,bl,m,WC_Class=3
59,10173,3,we,m,WC_Class=3
60,12060,3,水体,m,WC_Class=3
61,7713,1,农村路面,m,WC_Class=2
62,13801,2,bl,m,WC_Class=3
63,9484,2,veg,m,WC_Class=2
64,1658,2,veg,h,WC_Class=1
65,14630,3,we,m,WC_Class=3
66,11620,2,veg,m,WC_Class=3
67,12864,3,we,m,WC_Class=3
68,6591,1,road,h,WC_Class=2
69,8581,2,fe,l,WC_Class=2
70,404,1,be,h,WC_Class=1
71,9702,2,bl,m,WC_Class=2
72,10599,3,we,m,WC_Class=3
73,12086,3,we,m,WC_Class=3
74,7416,2,veg,h,WC_Class=2
75,2003,2,veg,h,WC_Class=1
76,8967,2,fe,m,WC_Class=2
77,11801,3,we,l,WC_Class=3
78,6244,3,we,h,WC_Class=2
79,10418,3,we,h,WC_Class=3
80,13515,3,we,m,WC_Class=3
81,6929,2,veg,h,WC_Class=2
82,3348,1,be,h,WC_Class=1
83,2972,2,veg,h,WC_Class=1
84,8228,2,bl,h,WC_Class=2
85,11079,2,veg,l,WC_Class=3
86,14733,3,水体,h,WC_Class=3
87,13644,3,we,m,WC_Class=3
88,5759,3,we,l,WC_Class=2
89,719,2,土地,h,WC_Class=1
90,6836,2,bl,m,WC_Class=2
91,6251,3,水体,h,WC_Class=2
92,9910,2,bl,m,WC_Class=2
93,2532,2,ct,h,WC_Class=1
94,9633,2,ct,m,WC_Class=2
95,601,1,re,h,WC_Class=1
96,10379,2,bl,h,WC_Class=3
97,2657,1,be,m,WC_Class=1
98,2795,1,be,m,WC_Class=1
99,4,2,veg,h,WC_Class=1
100,622,1,be,h,WC_Class=1
101,10026,3,we,m,WC_Class=3
102,8262,2,bl,m,WC_Class=2
103,2333,2,veg,h,WC_Class=1
104,7863,1,建筑,h,WC_Class=2
105,442,2,veg,h,WC_Class=1
106,13655,2,水体边缘,l,WC_Class=3
107,7510,3,we,m,WC_Class=2
108,12634,3,we,m,WC_Class=3
109,9189,2,veg,h,WC_Class=2
110,10077,2,fe,m,WC_Class=3
111,8092,2,bl,h,WC_Class=2
112,3669,2,bl,h,WC_Class=1
113,9062,3,tw,l,WC_Class=2
114,9791,2,bl,m,WC_Class=2
115,9787,2,田地,h,WC_Class=2
116,9796,2,veg,m,WC_Class=2
117,10416,2,veg,h,WC_Class=3
118,6000,2,veg,m,WC_Class=2
119,498,2,veg,h,WC_Class=1
120,14714,2,veg,h,WC_Class=3
121,9058,1,road,h,WC_Class=2
122,9613,2,bl,m,WC_Class=2
123,9405,2,土路,l,WC_Class=2
124,5841,3,we,m,WC_Class=2
125,4961,2,veg,h,WC_Class=1
126,10559,3,we,m,WC_Class=3
127,4069,2,veg,m,WC_Class=1
128,7896,2,废土,l,WC_Class=2
129,8998,2,veg,m,WC_Class=2
130,9650,2,ct,m,WC_Class=2
131,9378,1,car park,h,WC_Class=2
132,14544,3,we,m,WC_Class=3
133,7934,2,ct,m,WC_Class=2
134,13813,3,水体,h,WC_Class=3
135,9361,2,re,l,WC_Class=2
136,9329,2,veg,h,WC_Class=2
137,6800,2,veg,h,WC_Class=2
138,8368,2,veg,h,WC_Class=2
139,10151,2,bl,m,WC_Class=3
140,12986,2,bl,m,WC_Class=3
141,4525,2,bl,h,WC_Class=1
142,10357,2,bl,m,WC_Class=3
143,13403,2,bl,m,WC_Class=3
144,7400,1,路面,h,WC_Class=2
145,8627,2,veg,h,WC_Class=2
146,583,2,bl,h,WC_Class=1
147,1978,2,veg,h,WC_Class=1
148,14549,3,we,m,WC_Class=3
149,224,2,re,m,WC_Class=1
150,7736,2,fe,l,WC_Class=2
