PointID,Original_ID,lon,lat,Class,margin,BoundaryScore,RF_Pred,prob_1,prob_2,prob_3,Method
1,6209,117.30133606386404,32.325291594106304,2,0.5566666666666666,3539.091455534878,2,0.22,0.7766666666666666,0.0033333333333333335,BAMS150
2,6315,116.830529023457,31.938836358878085,2,0.34,3197.5127341682473,2,0.33,0.67,0.0,BAMS150
3,899,116.8177729464225,31.75396307340629,1,0.36000000000000004,2967.2307661473396,1,0.68,0.32,0.0,BAMS150
4,9364,117.23989129843024,32.165121978947795,2,0.2733333333333334,2650.29617973533,2,0.36333333333333334,0.6366666666666667,0.0,BAMS150
5,6192,117.60388865155548,32.02148136501708,2,0.4266666666666667,2230.878511346664,2,0.2866666666666667,0.7133333333333334,0.0,BAMS150
6,6699,117.42943582337946,31.81522817578324,2,0.3366666666666666,2179.207043531016,2,0.33,0.6666666666666666,0.0033333333333333335,BAMS150
7,5203,117.23737601563472,31.71030495059808,2,0.40333333333333327,2161.565725595947,2,0.2966666666666667,0.7,0.0033333333333333335,BAMS150
8,6556,116.98665621983696,31.727283109467937,2,0.3133333333333333,1938.8930952168378,2,0.3433333333333333,0.6566666666666666,0.0,BAMS150
9,8014,117.25704912035694,32.335352725288445,2,0.43333333333333335,1790.8062407874272,2,0.2833333333333333,0.7166666666666667,0.0,BAMS150
10,7227,117.4507258956131,32.155599836936126,2,0.2866666666666666,1784.8446367109773,2,0.3566666666666667,0.6433333333333333,0.0,BAMS150
11,9047,117.15733612381966,31.764473362230486,2,0.35333333333333333,1680.2895172801113,2,0.3233333333333333,0.6766666666666666,0.0,BAMS150
12,12037,117.45566662967576,31.81936042609019,3,0.39666666666666667,1655.4571472357961,3,0.2866666666666667,0.03,0.6833333333333333,BAMS150
13,6943,116.99860381311576,32.52363960883989,2,0.2733333333333334,1593.7514152484628,2,0.36333333333333334,0.6366666666666667,0.0,BAMS150
14,9516,117.4371613348229,32.10709081159367,2,0.32666666666666666,1553.313649615075,2,0.33666666666666667,0.6633333333333333,0.0,BAMS150
15,6115,117.17054135849622,31.671138404210467,2,0.5866666666666667,1544.1216776477238,2,0.17666666666666667,0.7633333333333333,0.06,BAMS150
16,7266,117.00758696595696,31.83993184609653,2,0.3866666666666667,1515.6313848259974,2,0.30666666666666664,0.6933333333333334,0.0,BAMS150
17,92,117.2892088075284,31.728989908507764,1,0.5333333333333333,1500.3287523927777,1,0.7633333333333333,0.23,0.006666666666666667,BAMS150
18,8713,116.99159695389962,31.821606214300488,2,0.26,1498.7607516216763,2,0.37,0.63,0.0,BAMS150
19,2551,117.75489545081597,32.20339021005128,1,0.48,1448.5081281296693,1,0.74,0.26,0.0,BAMS150
20,9196,117.77250243038472,32.19431722568168,2,0.40333333333333327,1422.6363239243228,2,0.2866666666666667,0.69,0.023333333333333334,BAMS150
21,2418,117.02995501653152,32.49381554140712,1,0.45000000000000007,1386.7458295143797,1,0.7233333333333334,0.2733333333333333,0.0033333333333333335,BAMS150
22,5348,117.20288070872452,32.50800892289622,2,0.34,1363.7375539823888,2,0.32,0.66,0.02,BAMS150
23,4182,116.96716277817156,31.57726445701998,1,0.4733333333333334,1356.8905778114927,1,0.7366666666666667,0.2633333333333333,0.0,BAMS150
24,5698,117.4830652458414,31.90029863318936,2,0.37999999999999995,1355.789988920533,2,0.31,0.69,0.0,BAMS150
25,4251,117.3139124778417,31.927787080883416,1,0.5800000000000001,1342.2328816326715,1,0.79,0.21,0.0,BAMS150
26,8877,116.809598277337,31.89338160550164,2,0.36000000000000004,1327.6444809902487,2,0.32,0.68,0.0,BAMS150
27,9506,117.52348943362678,31.94970597381593,2,0.32,1294.4953052559028,2,0.34,0.66,0.0,BAMS150
28,5836,117.4529716838234,31.77893623830481,2,0.5066666666666666,1262.4060603315463,2,0.24666666666666667,0.7533333333333333,0.0,BAMS150
29,3100,117.40086939734448,31.80408906626016,1,0.5766666666666667,1254.4909400677836,1,0.75,0.17333333333333334,0.07666666666666666,BAMS150
30,5675,117.45180387395403,31.80004664748162,2,0.3866666666666667,1253.7823163775931,2,0.30666666666666664,0.6933333333333334,0.0,BAMS150
31,7725,117.2117740300373,31.791153326168835,2,0.32,1241.8001916806973,2,0.34,0.66,0.0,BAMS150
32,5186,117.70962036049634,32.21147504760836,2,0.5466666666666666,1235.7150864909888,2,0.21666666666666667,0.7633333333333333,0.02,BAMS150
33,1341,117.03112282640087,31.623797188737367,1,0.32,1232.7465025360352,1,0.66,0.34,0.0,BAMS150
34,13148,117.40994238171407,31.79591439717467,3,0.5166666666666666,1215.7996026832234,3,0.2,0.08333333333333333,0.7166666666666667,BAMS150
35,3493,117.38631668974172,31.935332929270015,1,0.3733333333333333,1213.6059186491625,1,0.6866666666666666,0.31333333333333335,0.0,BAMS150
36,8820,117.13308161114844,32.16602029423191,2,0.3833333333333333,1210.616869597504,2,0.03,0.6766666666666666,0.29333333333333333,BAMS150
37,7009,117.39350321201468,31.904251220439484,2,0.4733333333333334,1210.2784191966853,2,0.2633333333333333,0.7366666666666667,0.0,BAMS150
38,8282,116.99195628001326,32.568465541517455,2,0.5766666666666667,1202.0197659848943,2,0.2,0.7766666666666666,0.023333333333333334,BAMS150
39,160,117.2252487592991,31.712999896450437,1,0.3866666666666667,1198.889652207208,1,0.6933333333333334,0.30666666666666664,0.0,BAMS150
40,4794,117.07783522117508,32.06469033018323,1,0.5266666666666666,1189.5745621118454,1,0.7633333333333333,0.23666666666666666,0.0,BAMS150
41,3140,117.38919129865091,31.993543759680964,1,0.45666666666666667,1182.0719986520314,1,0.72,0.2633333333333333,0.016666666666666666,BAMS150
42,11597,116.88918901150998,31.56855079876402,3,0.52,1179.459991416406,3,0.02666666666666667,0.22666666666666666,0.7466666666666667,BAMS150
43,4496,117.60568528212372,31.820528235959543,1,0.4733333333333334,1175.3752236476641,1,0.7366666666666667,0.2633333333333333,0.0,BAMS150
44,3600,117.83664214167084,32.24390422936507,1,0.56,1175.0927436130314,1,0.78,0.22,0.0,BAMS150
45,3827,116.98342228481413,32.59002510833633,1,0.3666666666666667,1174.866563493408,1,0.6833333333333333,0.31666666666666665,0.0,BAMS150
46,4335,117.02375664107107,32.55535013836931,1,0.43999999999999995,1173.5297460403622,1,0.72,0.28,0.0,BAMS150
47,8584,116.86709045552064,31.906497008649783,2,0.22666666666666663,1170.0409358670645,2,0.38666666666666666,0.6133333333333333,0.0,BAMS150
48,103,117.64224671418738,31.957790811373005,1,0.5666666666666667,1169.2924256426616,1,0.7833333333333333,0.21666666666666667,0.0,BAMS150
49,7092,117.38191494484954,31.99282510745367,2,0.5733333333333334,1163.7604387731385,2,0.21,0.7833333333333333,0.006666666666666667,BAMS150
