PointID,Original_ID,Human_Class,Scene,Confidence,Notes
1,6209,2,高亮大棚旁边的绿地,m,WC_Class=2
2,6315,2,高亮大棚旁边的土地,m,WC_Class=2
3,899,2,高亮大棚旁边的土地,h,WC_Class=1
4,9364,1,city road,h,WC_Class=2
5,6192,2,大棚,h,WC_Class=2
6,6699,1,城市路面,h,WC_Class=2
7,5203,2,城市绿地,h,WC_Class=2
8,6556,1,建筑,h,WC_Class=2
9,8014,2,大棚,h,WC_Class=2
10,7227,2,农村地面,m,WC_Class=2
11,9047,1,建筑边缘,h,WC_Class=2
12,12037,3,水体边缘,h,WC_Class=3
13,6943,1,特殊建筑,h,WC_Class=2
14,9516,2,大棚,h,WC_Class=2
15,6115,2,veg,h,WC_Class=2
16,7266,2,工地,h,WC_Class=2
17,92,2,公园绿地,m,WC_Class=1
18,8713,1,特殊建筑,h,WC_Class=2
19,2551,1,建筑,m,WC_Class=1
20,9196,3,水体边缘,h,WC_Class=2
21,2418,3,水体,m,WC_Class=1
22,5348,2,水体边缘,m,WC_Class=2
23,4182,2,城市绿植,h,WC_Class=1
24,5698,2,工地,m,WC_Class=2
25,4251,2,城市绿地,h,WC_Class=1
26,8877,1,农村房屋,m,WC_Class=2
27,9506,2,大棚,h,WC_Class=2
28,5836,1,工厂,h,WC_Class=2
29,3100,2,水体边缘,m,WC_Class=1
30,5675,2,农村建筑,m,WC_Class=2
31,7725,2,城市绿地,m,WC_Class=2
32,5186,2,水体边缘,m,WC_Class=2
33,1341,2,路边veg,h,WC_Class=1
34,13148,3,水体边缘,h,WC_Class=3
35,3493,1,城市建筑绿植,m,WC_Class=1
36,8820,2,水体边缘,m,WC_Class=2
37,7009,2,road边缘veg,h,WC_Class=2
38,8282,2,城市建筑阴影,m,WC_Class=2
39,160,1,car park 和 veg交界,m,WC_Class=1
40,4794,2,veg,h,WC_Class=1
41,3140,1,high way,h,WC_Class=1
42,11597,3,水体,h,WC_Class=3
43,4496,2,农田,h,WC_Class=1
44,3600,2,veg,h,WC_Class=1
45,3827,2,路边veg,m,WC_Class=1
46,4335,2,水体边缘,m,WC_Class=1
47,8584,2,田地,h,WC_Class=2
48,103,1,农村地面,l,WC_Class=1
49,7092,2,水体边缘,m,WC_Class=2
50,6014,2,veg,h,WC_Class=2
51,558,2,veg,h,WC_Class=1
52,4095,1,农村孤立房子,m,WC_Class=1
53,3067,2,road veg,m,WC_Class=1
54,9835,2,水体边缘,m,WC_Class=2
55,9013,1,城市广场地面,h,WC_Class=2
56,4410,2,土路 田地,h,WC_Class=1
57,2023,2,乱地,h,WC_Class=1
58,9274,1,小区路面,m,WC_Class=2
59,6428,1,公路 veg,m,WC_Class=2
60,14901,1,水体边缘,m,WC_Class=3
61,4968,2,小区veg,h,WC_Class=1
62,4714,1,城市路面,h,WC_Class=1
63,1857,2,土路 田地,h,WC_Class=1
64,5887,2,田地,h,WC_Class=2
65,3230,1,城市小区,m,WC_Class=1
66,1693,2,裸土,m,WC_Class=1
67,5902,2,农村孤立房子,m,WC_Class=2
68,7767,2,veg,m,WC_Class=2
69,6469,1,工厂,h,WC_Class=2
70,4740,2,veg,m,WC_Class=1
