PointID,Original_ID,Human_Class,Scene,Notes
1,6209,2,fe,WC_Class=2
2,6315,2,re,WC_Class=2
3,899,2,gh,WC_Class=1
4,9364,1,sb,WC_Class=2
5,6192,2,gh,WC_Class=2
6,6699,1,,WC_Class=2
7,5203,1,,WC_Class=2
8,6556,1,,WC_Class=2
9,8014,1,,WC_Class=2
10,7227,1,,WC_Class=2
11,9047,1,be,WC_Class=2
12,12037,3,we,WC_Class=3
13,6943,1,be,WC_Class=2
14,9516,2,ce,WC_Class=2
15,6115,2,sb,WC_Class=2
16,7266,1,,WC_Class=2
17,92,2,,WC_Class=1
18,8713,1,,WC_Class=2
19,2551,2,,WC_Class=1
20,9196,1,,WC_Class=2
21,2418,3,we,WC_Class=1
22,5348,3,we,WC_Class=2
23,4182,2,be,WC_Class=1
24,5698,1,be,WC_Class=2
25,4251,2,bl,WC_Class=1
26,8877,1,,WC_Class=2
27,9506,1,,WC_Class=2
28,5836,1,,WC_Class=2
29,3100,2,,WC_Class=1
30,5675,1,,WC_Class=2
31,7725,1,be,WC_Class=2
32,5186,3,we,WC_Class=2
33,1341,2,re,WC_Class=1
34,13148,2,ce,WC_Class=3
35,3493,1,ub,WC_Class=1
36,8820,1,,WC_Class=2
37,7009,1,,WC_Class=2
38,8282,1,,WC_Class=2
39,160,2,,WC_Class=1
40,4794,2,,WC_Class=1
41,3140,2,re,WC_Class=1
42,11597,3,tw,WC_Class=3
43,4496,2,fe,WC_Class=1
44,3600,2,ub,WC_Class=1
45,3827,2,ub,WC_Class=1
46,4335,2,,WC_Class=1
47,8584,1,,WC_Class=2
48,103,2,,WC_Class=1
49,7092,1,,WC_Class=2
50,6014,1,,WC_Class=2
51,558,2,ub,WC_Class=1
52,4095,2,fe,WC_Class=1
53,3067,2,re,WC_Class=1
54,9835,2,re,WC_Class=2
55,9013,1,be,WC_Class=2
56,4410,2,,WC_Class=1
57,2023,2,,WC_Class=1
58,9274,1,,WC_Class=2
59,6428,1,,WC_Class=2
60,14901,3,,WC_Class=3
61,4968,2,ub,WC_Class=1
62,4714,2,mx,WC_Class=1
63,1857,2,rs,WC_Class=1
64,5887,2,ce,WC_Class=2
65,3230,1,br,WC_Class=1
66,1693,2,,WC_Class=1
67,5902,1,,WC_Class=2
68,7767,1,,WC_Class=2
69,6469,1,,WC_Class=2
70,4740,2,,WC_Class=1
71,6305,3,we,WC_Class=2
72,8482,1,be,WC_Class=2
73,10588,3,we,WC_Class=3
74,3019,2,sb,WC_Class=1
75,9197,1,be,WC_Class=2
76,2910,2,,WC_Class=1
77,1410,2,,WC_Class=1
78,8505,1,,WC_Class=2
79,545,2,,WC_Class=1
80,487,2,,WC_Class=1
81,8602,2,fe,WC_Class=2
82,5015,2,ce,WC_Class=2
83,17,1,ub,WC_Class=1
84,2666,2,bl,WC_Class=1
85,9688,3,we,WC_Class=2
86,1869,2,,WC_Class=1
87,7925,1,,WC_Class=2
88,2717,2,,WC_Class=1
89,13362,3,,WC_Class=3
90,1381,2,,WC_Class=1
91,1631,2,mx,WC_Class=1
92,6480,3,we,WC_Class=2
93,8345,2,re,WC_Class=2
94,7918,2,fe,WC_Class=2
95,4487,2,ub,WC_Class=1
96,4572,2,,WC_Class=1
97,7643,1,,WC_Class=2
98,5579,1,,WC_Class=2
99,6730,1,,WC_Class=2
100,7413,1,,WC_Class=2
101,7131,2,re,WC_Class=2
102,9019,1,sb,WC_Class=2
103,4380,2,rs,WC_Class=1
104,10509,3,we,WC_Class=3
105,6173,1,be,WC_Class=2
106,8537,1,,WC_Class=2
107,2458,2,,WC_Class=1
108,1063,2,,WC_Class=1
109,1414,2,,WC_Class=1
110,5922,1,,WC_Class=2
111,3319,2,rs,WC_Class=1
112,5441,2,gh,WC_Class=2
113,5923,3,we,WC_Class=2
114,5220,1,be,WC_Class=2
115,8981,2,cs,WC_Class=2
116,1061,2,,WC_Class=1
117,8979,1,,WC_Class=2
118,7059,1,,WC_Class=2
119,10608,3,,WC_Class=3
120,11720,3,,WC_Class=3
121,4808,2,ub,WC_Class=1
122,7866,3,we,WC_Class=2
123,9246,1,be,WC_Class=2
124,1586,2,bs,WC_Class=1
125,927,1,be,WC_Class=1
126,5062,1,,WC_Class=2
127,3617,2,,WC_Class=1
128,3886,2,,WC_Class=1
129,824,2,,WC_Class=1
130,5973,1,,WC_Class=2
131,2773,2,rs,WC_Class=1
132,2604,2,fe,WC_Class=1
133,4512,2,re,WC_Class=1
134,7358,1,urban road,WC_Class=2
135,3118,2,ub,WC_Class=1
136,2862,2,,WC_Class=1
137,2938,2,,WC_Class=1
138,5623,1,,WC_Class=2
139,2745,2,,WC_Class=1
140,5379,1,,WC_Class=2
141,630,3,we,WC_Class=1
142,9306,2,ub,WC_Class=2
143,10405,3,tw,WC_Class=3
144,3557,2,ub,WC_Class=1
145,1905,2,ub,WC_Class=1
146,6180,1,,WC_Class=2
147,8624,1,,WC_Class=2
148,8013,1,,WC_Class=2
149,6535,1,,WC_Class=2
150,7218,1,,WC_Class=2
