PointID,Original_ID,Human_Class,Scene,Notes
1,1134,1,be,WC_Class=1
2,978,2,ub,WC_Class=1
3,8761,3,tw,WC_Class=2
4,7336,2,ct,WC_Class=2
5,14488,3,tw,WC_Class=3
6,6156,3,tw,WC_Class=2
7,1657,2,ub,WC_Class=1
8,6011,3,wl,WC_Class=2
9,13606,3,we,WC_Class=3
10,7408,3,we,WC_Class=2
11,5785,3,we,WC_Class=2
12,5320,1,be,WC_Class=2
13,8607,3,tw,WC_Class=2
14,1174,2,ub,WC_Class=1
15,8248,2,ct,WC_Class=2
16,8589,1,re,WC_Class=2
17,4543,2,bl,WC_Class=1
18,5062,1,br,WC_Class=2
19,5809,2,ct,WC_Class=2
20,8584,2,ct,WC_Class=2
21,9106,2,bl,WC_Class=2
22,10070,3,tw,WC_Class=3
23,5808,2,te,WC_Class=2
24,2222,2,ub,WC_Class=1
25,6028,2,sb,WC_Class=2
26,7324,1,road,WC_Class=2
27,8144,3,pf,WC_Class=2
28,5624,2,be,WC_Class=2
29,3264,2,bl,WC_Class=1
30,7643,1,be,WC_Class=2
31,8767,1,sb,WC_Class=2
32,9140,2,sb,WC_Class=2
33,5623,2,ub,WC_Class=2
34,5229,2,ct,WC_Class=2
35,8070,1,be,WC_Class=2
36,7013,1,be,WC_Class=2
37,241,2,ub,WC_Class=1
38,4104,2,sb,WC_Class=1
39,4380,2,rs,WC_Class=1
40,7327,3,we,WC_Class=2
41,8713,1,sb,WC_Class=2
42,9343,2,ct,WC_Class=2
43,46,1,be,WC_Class=1
44,8112,3,tw,WC_Class=2
45,8328,1,be,WC_Class=2
46,8669,3,tw,WC_Class=2
47,14493,3,we,WC_Class=3
48,5854,1,urban road,WC_Class=2
49,9637,2,bl,WC_Class=2
50,1487,2,ct,WC_Class=1
51,1887,1,,WC_Class=1
52,5428,2,,WC_Class=2
53,6943,2,,WC_Class=2
54,9364,2,,WC_Class=2
55,9706,2,,WC_Class=2
56,1346,1,,WC_Class=1
57,2709,1,,WC_Class=1
58,3468,1,,WC_Class=1
59,4988,1,,WC_Class=1
60,6325,2,,WC_Class=2
61,7123,2,ce,WC_Class=2
62,7413,1,be,WC_Class=2
63,7968,2,bl,WC_Class=2
64,8032,1,be,WC_Class=2
65,8602,2,ce,WC_Class=2
66,9527,2,,WC_Class=2
67,4161,1,,WC_Class=1
68,2917,1,,WC_Class=1
69,4649,1,,WC_Class=1
70,4921,1,,WC_Class=1
71,7227,1,be,WC_Class=2
72,8396,2,road,WC_Class=2
73,8421,1,urban road,WC_Class=2
74,9152,2,mx,WC_Class=2
75,9777,3,tw,WC_Class=2
76,11495,3,we,WC_Class=3
77,6957,2,,WC_Class=2
78,7952,2,,WC_Class=2
79,5570,2,,WC_Class=2
80,928,1,,WC_Class=1
81,2715,2,rs,WC_Class=1
82,4372,2,rs,WC_Class=1
83,4779,2,ub,WC_Class=1
84,5220,1,be,WC_Class=2
85,6469,1,be,WC_Class=2
86,6753,2,sb,WC_Class=2
87,8162,2,,WC_Class=2
88,7766,2,,WC_Class=2
89,7109,2,,WC_Class=2
90,916,1,,WC_Class=1
91,2275,1,,WC_Class=1
92,4709,2,ub,WC_Class=1
93,6677,3,tw,WC_Class=2
94,7564,3,tw,WC_Class=2
95,8060,2,ct,WC_Class=2
96,8355,2,,WC_Class=2
97,9197,2,,WC_Class=2
98,9240,2,,WC_Class=2
99,9357,2,,WC_Class=2
100,3064,1,,WC_Class=1
101,3186,1,re,WC_Class=1
102,3822,2,fe,WC_Class=1
103,5210,2,ct,WC_Class=2
104,6428,2,re,WC_Class=2
105,7452,3,tw,WC_Class=2
106,9386,2,,WC_Class=2
107,335,1,,WC_Class=1
108,490,1,,WC_Class=1
109,649,1,,WC_Class=1
110,1650,1,,WC_Class=1
111,1730,2,ub,WC_Class=1
112,2414,1,urban road,WC_Class=1
113,5271,2,re,WC_Class=2
114,5941,2,re,WC_Class=2
115,6556,1,sb,WC_Class=2
116,6742,2,,WC_Class=2
117,8343,2,,WC_Class=2
118,9013,2,,WC_Class=2
119,9498,2,,WC_Class=2
120,5011,2,,WC_Class=2
121,11341,3,tw,WC_Class=3
122,759,1,be,WC_Class=1
123,1341,2,re,WC_Class=1
124,1748,1,sb,WC_Class=1
125,4690,2,rs,WC_Class=1
126,5838,2,,WC_Class=2
127,7218,2,,WC_Class=2
128,7725,2,,WC_Class=2
129,8753,2,,WC_Class=2
130,8793,2,,WC_Class=2
131,9506,2,sb,WC_Class=2
132,6581,2,ub,WC_Class=2
133,67,2,ub,WC_Class=1
134,10487,3,we,WC_Class=3
135,11533,2,ct,WC_Class=3
136,925,1,,WC_Class=1
137,2655,1,,WC_Class=1
138,4090,1,,WC_Class=1
139,4732,1,,WC_Class=1
140,6379,1,be,WC_Class=2
141,6675,1,sb,WC_Class=2
142,6900,1,be,WC_Class=2
143,8503,1,re,WC_Class=2
144,9251,1,be,WC_Class=2
145,9516,1,sb,WC_Class=2
146,10588,3,we,WC_Class=3
147,7059,2,re,WC_Class=2
148,896,2,fe,WC_Class=1
149,2781,1,be,WC_Class=1
150,5559,2,ub,WC_Class=2
