Original_ID,system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,lat,lon,.geo
0,0,2141.0,1673.5,513.0,594.5,652.5,1671.0,1,-0.5653446,0.12329486,0.4383473,28.432891468016415,116.47201139356488,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.47201139356488,28.432891468016415]}"
1,1,1918.0,1791.5,965.5,1190.0,1314.0,1800.0,1,-0.23423423,0.03173749,0.15606937,28.426872755612816,115.96428359498051,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.96428359498053,28.426872755612816]}"
2,2,1857.0,1297.0,683.0,923.0,937.5,2546.0,1,-0.33597124,-0.15648422,0.46174824,28.54868430813942,115.87256560447192,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.87256560447193,28.54868430813942]}"
3,3,2108.0,1886.0,792.0,1040.0,1257.0,1819.5,1,-0.33926302,0.0734564,0.18283764,28.643995559784504,115.9565580835371,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.9565580835371,28.643995559784504]}"
4,4,2500.5,2389.0,1408.0,1669.0,1884.0,2324.0,1,-0.19942439,0.0365841,0.10456274,28.68612654660971,115.8550484564316,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.85504845643159,28.68612654660971]}"
5,5,1136.0,973.0,617.0,810.0,872.0,1788.0,1,-0.16752313,-0.22298221,0.3443609,28.637887015852492,115.74186073063254,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.74186073063254,28.637887015852492]}"
6,6,1799.5,1660.75,705.3783783783783,829.1081081081081,1053.8666666666666,1308.5,1,-0.3691657,0.15797941,0.107787386,28.66780091481367,115.98180074302086,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.98180074302086,28.66780091481367]}"
7,7,2413.0,2017.0,830.0,1114.0,1252.0,2061.0,1,-0.36830166,0.0786768,0.24418956,28.61219519872667,115.66954635026092,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.66954635026092,28.612195198726674]}"
8,8,850.5,693.0,534.5,559.5,598.0,669.5,1,-0.20638297,0.11907895,0.056410257,28.581113489896136,115.79054941903182,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.79054941903182,28.581113489896136]}"
9,9,2213.0,1993.5,1321.0,1494.0,1665.0,1899.0,1,-0.19395737,0.076361865,0.065656565,28.664926305904487,115.95018004501983,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.95018004501985,28.664926305904487]}"
10,10,1526.0,1013.0,542.0,651.0,620.0,1700.0,1,-0.40192926,-0.053936765,0.46551725,28.790600614152808,115.84121440105616,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.84121440105615,28.790600614152808]}"
11,11,2495.0,2299.0,769.0,961.0,1570.0,2108.0,1,-0.44386575,0.0840756,0.14627515,28.48481409143853,115.6581377461526,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.65813774615259,28.484814091438526]}"
12,12,1746.0,1430.0,631.0,862.0,809.0,1988.0,1,-0.33895704,-0.06480986,0.42152306,28.290777990068708,116.12481253625268,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.12481253625269,28.290777990068708]}"
13,13,1733.0,1357.0,586.0,756.0,833.0,1852.0,1,-0.39252713,-0.033193864,0.37951583,28.60644598090831,115.89017258404068,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.89017258404067,28.60644598090831]}"
14,14,1869.5,1642.5,578.5,725.0,909.0,1571.0,1,-0.44112545,0.08676065,0.2669355,28.354917701354843,115.9737159054638,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.97371590546379,28.354917701354843]}"
15,15,1905.0,1589.0,874.0,1058.0,1050.0,1662.0,1,-0.28585893,0.06812447,0.22566372,28.353300733843422,116.1188836553775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.1188836553775,28.353300733843426]}"
16,16,1697.0,1587.0,578.0,688.0,757.0,1228.0,1,-0.4230608,0.16034187,0.2372796,28.42193202155016,115.59013527914476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.59013527914475,28.42193202155016]}"
17,17,1957.0,1739.0,664.0,809.0,990.0,1395.0,1,-0.41503978,0.1676611,0.16981132,28.861298027013017,115.72048082687049,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.72048082687049,28.861298027013017]}"
18,18,2551.0,2272.5,861.5,1038.0,1092.0,2232.0,1,-0.4215659,0.06669454,0.3429603,28.383124801276196,116.28839574949086,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.28839574949086,28.383124801276196]}"
19,19,2564.0,2266.0,1412.0,1824.0,2006.0,2481.0,1,-0.16864175,0.016451932,0.10586138,28.66771108328526,115.69981957533574,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.69981957533574,28.66771108328526]}"
20,20,1877.0,1718.0,603.5,724.0,1107.0,1341.5,1,-0.44329104,0.16638185,0.09577292,28.66762125175685,115.76988816749709,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.76988816749707,28.66762125175685]}"
21,21,1508.2,1300.0,1126.1818181818182,1239.090909090909,1319.6363636363635,1581.6666666666667,1,-0.09795435,-0.023776647,0.090314694,28.71810657072437,115.9828787213618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.9828787213618,28.718106570724366]}"
22,22,1546.0,1338.0,771.0,860.0,950.0,1333.0,1,-0.28512055,0.07398402,0.16776171,28.632946281789835,115.93365104379204,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.93365104379205,28.632946281789835]}"
23,23,2251.0,1967.0,732.0,909.0,973.0,1948.0,1,-0.42468354,0.072160035,0.3337898,28.45049844758516,116.08115441344448,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.08115441344448,28.450498447585158]}"
24,24,1538.0,1211.0,987.0,1094.0,1094.0,1475.0,1,-0.168693,0.020909393,0.14830673,28.34198196126352,116.1437669887476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.14376698874761,28.34198196126352]}"
25,25,2335.5,2017.5,1145.0,1382.0,1574.0,2203.5,1,-0.25648957,0.029081296,0.1666446,28.611835872613025,115.8498382277837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.8498382277837,28.611835872613025]}"
26,26,2401.5,2134.5,700.5,1033.0,1235.0,2019.0,1,-0.39845684,0.086528674,0.24093424,28.478885210563337,115.68409905786363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.68409905786365,28.478885210563337]}"
27,27,1507.571428571429,1399.25,614.0625,720.4,816.1818181818181,1280.1666666666663,1,-0.35331306,0.08157322,0.22133002,28.75942907379386,116.01701470215836,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.01701470215835,28.75942907379386]}"
28,28,1682.0,1242.0,539.0,667.0,626.5,1888.0,1,-0.43209878,-0.05770308,0.5016902,28.813417822369445,115.87526055032428,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.87526055032428,28.813417822369445]}"
29,29,2103.5,1750.571428571429,1329.428571428571,1686.0,1796.8,2571.0,1,-0.110172845,-0.10001069,0.17725171,28.651002419000637,116.0722610921317,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.0722610921317,28.651002419000637]}"
30,30,2450.0,1916.5,755.0,922.3333333333334,1011.0,1737.0,1,-0.4529999,0.170289,0.26419213,28.961550012720753,116.05240832435264,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.05240832435265,28.961550012720753]}"
31,31,1890.8333333333333,1756.2,749.0,837.0,1162.0,1454.0,1,-0.38632613,0.13059944,0.1116208,28.521734849615836,116.02635718111318,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.02635718111318,28.521734849615836]}"
32,32,2732.0,2164.0,1024.0,1258.0,1580.0,2390.0,1,-0.36942357,0.06677079,0.20403023,28.26957774936349,116.16514689250964,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.16514689250965,28.26957774936349]}"
33,33,2645.0,2334.5,1304.0,1760.0,1927.0,2373.0,1,-0.20090806,0.054204863,0.10372093,28.635371733056957,115.92547637470656,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.92547637470656,28.635371733056957]}"
34,34,1897.0,1608.0,670.0,834.5,960.5,2167.0,1,-0.38898042,-0.066437006,0.3857714,29.000177569937893,116.07854929912054,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.07854929912054,29.000177569937893]}"
35,35,2382.5,2221.5,926.5,1079.0,1173.0,1579.0,1,-0.37657085,0.20282722,0.14752907,28.63222762956254,115.91541524352442,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.91541524352442,28.63222762956254]}"
36,36,1530.5,1097.5,1094.0,1218.0,1261.0,1717.5,1,-0.11369838,-0.057573892,0.15326506,28.63833617349455,115.81067168139607,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.81067168139609,28.63833617349455]}"
37,37,1632.0,1487.5,1368.0,1356.0,1425.0,1495.0,1,-0.092369474,0.043811962,0.023972603,28.66771108328526,115.89960489452392,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.89960489452392,28.66771108328526]}"
38,38,1382.0,981.5,791.0,807.0,737.0,1618.0,1,-0.262677,-0.078666665,0.37409768,28.61551896527791,116.27572950398476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.27572950398476,28.615518965277914]}"
39,39,2081.0,2006.0,1164.0,1366.0,1986.0,2414.0,1,-0.20742674,-0.074082315,0.097272724,28.480053020432692,116.09238335449598,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.09238335449598,28.480053020432692]}"
40,40,2134.0,1821.5,859.0,1080.0,1123.0,1924.5,1,-0.32794026,0.051620055,0.26300246,28.268589602550957,116.22740014169914,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.22740014169914,28.268589602550957]}"
41,41,1785.5,1569.0,1165.0,1326.0,1481.0,1807.0,1,-0.14767797,-0.0059846905,0.099148415,28.734725403480574,115.73566235517212,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.73566235517211,28.734725403480574]}"
42,42,1655.0,1381.0,663.5,755.0,716.0,1238.0,1,-0.373444,0.14414103,0.26714432,28.561260722117098,115.87696734936412,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.87696734936411,28.561260722117098]}"
43,43,1940.0,1618.0,1214.0,1374.0,1498.0,1946.0,1,-0.17079058,-0.0015440041,0.1300813,28.426423597970757,116.08115441344448,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.08115441344448,28.426423597970757]}"
44,44,1980.0,1669.0,1172.0,1392.0,1460.0,2004.0,1,-0.17437722,-0.006024096,0.15704387,28.588210180640683,116.00003654328847,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.00003654328849,28.588210180640683]}"
45,45,2151.75,2054.0,1238.2857142857142,1331.0,1461.6,1830.6666666666667,1,-0.23566148,0.08062525,0.112101085,28.629892009823827,116.02842330626666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.02842330626666,28.629892009823827]}"
46,46,2590.5,2429.0,896.0,714.0,725.0,1203.0,1,-0.56786203,0.36575723,0.24792531,28.866777750246147,115.60154388325309,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.60154388325307,28.866777750246147]}"
47,47,1680.5,1305.5,715.5,951.0,1002.0,1707.0,1,-0.2772183,-0.007822879,0.26024362,28.65711096293265,115.69748395559704,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.69748395559704,28.65711096293265]}"
48,48,1744.0,1467.5,990.5,1178.0,1206.0,1854.0,1,-0.19370294,-0.030572541,0.21176471,28.72116084269037,115.794951163924,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.794951163924,28.72116084269037]}"
49,49,2098.0,1870.5,785.4,948.6,1141.142857142857,1621.25,1,-0.37727302,0.12818445,0.17380118,28.631508977335244,116.04180820400003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.04180820400005,28.631508977335244]}"
50,50,2025.0,1749.0,1136.0,1312.0,1354.0,1863.0,1,-0.21366496,0.041666668,0.15822195,28.6101290735732,115.7919867234864,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.7919867234864,28.610129073573198]}"
51,51,1460.5,971.0,518.0,720.0,666.5,1910.0,1,-0.339601,-0.13336301,0.48263147,28.719903201292603,115.84741277651658,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.84741277651658,28.719903201292603]}"
52,52,1076.0,897.0,641.0,852.5,933.0,1333.5,1,-0.11589318,-0.10686865,0.17670417,28.5364672202754,115.92206277662692,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.92206277662692,28.536467220275398]}"
53,53,2600.0,1913.0,980.0,1292.0,1460.0,2458.0,1,-0.336074,0.028074337,0.2547218,28.65890759350089,116.15939767469128,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.15939767469129,28.65890759350089]}"
54,54,3664.0,3690.5,2620.0,2908.0,3026.0,2928.0,1,-0.11503348,0.11165048,-0.016459523,28.52793322507626,115.91712204256426,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.91712204256426,28.52793322507626]}"
55,55,2080.0,1933.0,874.0,1112.0,1588.0,2082.0,1,-0.30325815,-0.0004805382,0.1346049,28.85168605347294,115.60387950299176,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.60387950299177,28.85168605347294]}"
56,56,1901.0,1757.0,737.5,864.5,974.0,1370.0,1,-0.3747966,0.16233568,0.16894197,28.644804043540212,115.96221746982704,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.96221746982705,28.644804043540212]}"
57,57,2541.5,2123.0,1264.0,1638.0,1974.0,2552.0,1,-0.21617419,-0.0020614509,0.12770659,28.60967991593114,115.7536286608545,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.7536286608545,28.60967991593114]}"
