PointID,Original_ID,Human_Class,Scene,Notes
1,8037,2,rs,WC_Class=2
2,12833,3,tw,WC_Class=3
3,5786,3,tw,WC_Class=2
4,9375,2,ub,WC_Class=2
5,6794,3,tw,WC_Class=2
6,14421,3,,WC_Class=3
7,6417,2,,WC_Class=2
8,6857,2,,WC_Class=2
9,9840,2,,WC_Class=2
10,837,1,,WC_Class=1
11,1164,1,sb,WC_Class=1
12,8128,3,tw,WC_Class=2
13,4039,1,be,WC_Class=1
14,4245,2,fe,WC_Class=1
15,11133,2,bl,WC_Class=3
16,2302,1,,WC_Class=1
17,7169,2,,WC_Class=2
18,8476,2,,WC_Class=2
19,9271,2,,WC_Class=2
20,1039,1,,WC_Class=1
21,2789,2,rs,WC_Class=1
22,8737,2,rs,WC_Class=2
23,8745,2,ub,WC_Class=2
24,8947,3,tw,WC_Class=2
25,9885,2,re,WC_Class=2
26,2386,1,,WC_Class=1
27,9273,2,,WC_Class=2
28,5018,2,,WC_Class=2
29,7838,2,,WC_Class=2
30,8185,2,,WC_Class=2
31,9873,3,tw,WC_Class=2
32,9872,1,be,WC_Class=2
33,7408,3,pf,WC_Class=2
34,4163,2,re,WC_Class=1
35,6272,1,be,WC_Class=2
36,6667,2,,WC_Class=2
37,9249,2,,WC_Class=2
38,6759,2,,WC_Class=2
39,5440,2,,WC_Class=2
40,5463,2,,WC_Class=2
41,1673,2,ub,WC_Class=1
42,2535,2,fe,WC_Class=1
43,4643,2,sb,WC_Class=1
44,5181,2,rs,WC_Class=2
45,7309,3,pf,WC_Class=2
46,8498,2,,WC_Class=2
47,9459,2,,WC_Class=2
48,5251,2,,WC_Class=2
49,6756,2,,WC_Class=2
50,6850,2,,WC_Class=2
51,8959,3,tw,WC_Class=2
52,8344,3,we,WC_Class=2
53,9145,3,we,WC_Class=2
54,12845,2,we,WC_Class=3
55,9542,2,road,WC_Class=2
56,2960,1,,WC_Class=1
57,4184,1,,WC_Class=1
58,6769,2,,WC_Class=2
59,6980,2,,WC_Class=2
60,7349,2,,WC_Class=2
61,7414,3,tw,WC_Class=2
62,7619,3,we,WC_Class=2
63,9893,1,sb,WC_Class=2
64,5626,1,be,WC_Class=2
65,9736,2,re,WC_Class=2
66,5057,2,,WC_Class=2
67,7779,2,,WC_Class=2
68,9099,2,,WC_Class=2
69,7930,2,,WC_Class=2
70,1138,1,,WC_Class=1
71,6702,2,ub,WC_Class=2
72,9325,3,tw,WC_Class=2
73,9906,2,re,WC_Class=2
74,14410,3,tw,WC_Class=3
75,2503,2,ub,WC_Class=1
76,7603,2,,WC_Class=2
77,5637,2,,WC_Class=2
78,8008,2,,WC_Class=2
79,5570,2,,WC_Class=2
80,10487,3,,WC_Class=3
81,131,2,re,WC_Class=1
82,5369,1,mx,WC_Class=2
83,5961,3,tw,WC_Class=2
84,8568,3,tw,WC_Class=2
85,1311,2,ub,WC_Class=1
86,5681,2,,WC_Class=2
87,3174,1,,WC_Class=1
88,5294,2,,WC_Class=2
89,5745,2,,WC_Class=2
90,6111,2,,WC_Class=2
91,7519,3,tw,WC_Class=2
92,7866,3,tw,WC_Class=2
93,9300,3,tw,WC_Class=2
94,9505,3,tw,WC_Class=2
95,9554,2,tw,WC_Class=2
96,2738,1,be,WC_Class=1
97,10929,3,,WC_Class=3
98,334,1,,WC_Class=1
99,2681,1,,WC_Class=1
100,3944,1,,WC_Class=1
101,5494,3,tw,WC_Class=2
102,5523,3,tw,WC_Class=2
103,5808,3,we,WC_Class=2
104,8736,2,fe,WC_Class=2
105,3550,2,ub,WC_Class=1
106,7022,2,,WC_Class=2
107,12480,3,,WC_Class=3
108,2915,1,,WC_Class=1
109,14189,3,,WC_Class=3
110,5307,2,,WC_Class=2
111,6127,2,fe,WC_Class=2
112,8090,3,tw,WC_Class=2
113,9268,2,re,WC_Class=2
114,9708,3,tw,WC_Class=2
115,9718,1,be,WC_Class=2
116,12526,3,,WC_Class=3
117,7856,2,,WC_Class=2
118,5905,2,,WC_Class=2
119,7255,2,,WC_Class=2
120,9150,2,,WC_Class=2
121,1255,2,ub,WC_Class=1
122,4336,2,ub,WC_Class=1
123,6979,3,tw,WC_Class=2
124,7418,2,bl,WC_Class=2
125,7550,3,tw,WC_Class=2
126,8096,2,,WC_Class=2
127,8619,2,,WC_Class=2
128,9753,2,,WC_Class=2
129,13575,3,,WC_Class=3
130,11389,3,,WC_Class=3
131,7508,3,tw,WC_Class=2
132,8946,2,re,WC_Class=2
133,6044,3,tw,WC_Class=2
134,8272,2,re,WC_Class=2
135,14343,3,we,WC_Class=3
136,2615,1,,WC_Class=1
137,3389,1,,WC_Class=1
138,4515,1,,WC_Class=1
139,6568,2,,WC_Class=2
140,6947,2,,WC_Class=2
141,6977,2,,WC_Class=2
142,8630,2,,WC_Class=2
143,8938,2,,WC_Class=2
144,8993,2,,WC_Class=2
145,4504,1,,WC_Class=1
146,7086,2,,WC_Class=2
147,9488,2,,WC_Class=2
148,14551,3,,WC_Class=3
149,3883,1,,WC_Class=1
150,5654,2,,WC_Class=2
