system:index,Original_ID,B11_mean,B11_stdDev,B12_mean,B12_stdDev,B2_mean,B2_stdDev,B3_mean,B3_stdDev,B4_mean,B4_stdDev,B8_mean,B8_stdDev,Class,MNDWI_mean,MNDWI_stdDev,NDBI_mean,NDBI_stdDev,NDVI_mean,NDVI_stdDev,.geo
00000000000000000d3d_0,3389,1154.7777777777774,139.996648989878,683.6666666666665,137.4392795221059,338.1111111111111,113.52967741661644,464.5555555555554,107.9177784870512,388.44444444444434,129.30851231850397,1728.555555555555,301.75159434766573,1,-0.4306012,0.0607437368557938,-0.19155125,0.1250075303748632,0.6261136,0.1274566767227123,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000de5_0,3557,1218.8888888888885,268.32999767882995,861.222222222222,214.624104361182,381.8888888888888,123.42108989997932,532.5555555555554,179.0177589645545,506.3333333333332,192.1157058765484,1453.444444444444,571.0394248135221,1,-0.4020882,0.06718153935592,-0.05625315,0.1484947513587919,0.4719324,0.0833008228053525,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000580_0,1408,1299.9999999999995,138.10020516518674,1039.4999999999998,115.13687506615769,457.4444444444443,145.0912441734596,586.4999999999999,170.56491107167645,612.2777777777776,205.1234196379112,1138.6666666666663,306.19411054645275,1,-0.38687134,0.126213797901524,0.08070392,0.1262782120287735,0.30570912,0.0682659409371871,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000040f_0,1039,1663.5555555555552,184.22758335584817,1152.8888888888885,273.5070360437406,447.6666666666665,188.2179587605816,635.111111111111,211.21944588741744,620.4444444444443,278.16905775329866,2142.888888888888,182.65355454426347,1,-0.46086526,0.0905031853609286,-0.12602954,0.0934641108503062,0.5580155,0.1777519017327012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014e_0,334,1428.9999999999995,144.2497833620557,826.3333333333329,52.797306328595546,324.7777777777777,21.765302549280648,480.3333333333332,44.73129652591001,389.44444444444423,50.28830460700496,2168.1111111111104,281.6137798255871,1,-0.4940619,0.0615385664999827,-0.20268665,0.0602433795464305,0.6894116,0.0698972067305257,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ccf_0,3279,1409.6111111111109,228.60783715760152,1155.222222222222,226.4749325239516,469.55555555555543,115.00542123561068,585.0555555555554,139.51472332586025,625.4444444444443,178.1817805320741,1243.444444444444,218.872419008127,1,-0.41699502,0.0745891815185408,0.06320345,0.1040891321085096,0.33849797,0.1081831282973698,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000943_0,2371,779.2222222222221,166.7405021634769,655.8888888888888,147.58891440186488,437.44444444444434,78.0037194428162,474.99999999999994,98.25788065652094,487.6666666666665,125.42948439484056,635.6111111111109,180.5897403536194,1,-0.23985726,0.0761462202735429,0.109003544,0.056968907920769,0.12534912,0.0883287501738721,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d53_0,3411,1211.333333333333,78.88528943275095,902.0555555555552,37.913970193089064,502.3333333333332,87.03830574331434,613.5555555555555,109.63181929745174,614.3333333333333,109.0180922803387,1235.7222222222222,273.7454323425235,1,-0.33193797,0.0826716387667976,0.0010851584,0.0989031730721076,0.3299905,0.099380140648203,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000488_0,1160,1257.1666666666663,82.70026199071762,870.6666666666663,55.20919810643473,456.27777777777766,141.09356846337252,556.8333333333331,111.71342304704878,475.27777777777766,117.6888815458205,1650.1111111111104,376.90624960015487,1,-0.38907105,0.1003481899160338,-0.12086784,0.1022462414418136,0.53239197,0.1752648103736055,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a30_0,2608,1958.7777777777771,84.70967120147121,1495.2222222222215,168.38433404155307,397.5555555555554,36.89357399967017,602.2222222222222,69.61605462627416,768.7777777777775,292.0063841683291,2014.7777777777776,203.4310026507902,1,-0.5304259,0.0413920651601571,-0.011921096,0.0681352920016358,0.45851773,0.1555490570391346,"{""type"":""MultiPoint"",""coordinates"":[]}"
