PointID,Original_ID,Human_Class,Scene,Confidence,Notes
1,6972,1,高亮反射建筑边缘,H,WC_Class=2
2,9022,1,高亮反射建筑边缘,M,WC_Class=2
3,6276,1,高亮反射建筑边缘,H,WC_Class=2
4,7873,1,高亮反射建筑边缘,H,WC_Class=2
5,710,2,建筑旁边的树木,M,WC_Class=1
6,9032,1,建筑边缘阴影,M,WC_Class=2
7,2365,2,高反射空地旁边的树木,H,WC_Class=1
8,6813,2,复杂地物高反射,h,WC_Class=2
9,7567,1,建筑缝隙,h,WC_Class=2
10,7450,1,建筑边缘,h,WC_Class=2
11,9425,1,建筑工地,h,WC_Class=2
12,8323,1,特殊建筑,h,WC_Class=2
13,6442,1,城市路面,h,WC_Class=2
14,7784,2,建筑旁边数据,m,WC_Class=2
15,9505,2,建筑旁边数据,h,WC_Class=2
16,9339,1,car park,h,WC_Class=2
17,8200,3,水体中暴露的地面,l,WC_Class=2
18,4317,2,树木,h,WC_Class=1
19,9240,1,建筑,h,WC_Class=2
20,4930,2,水体边缘,l,WC_Class=1
21,5323,2,农村土路,h,WC_Class=2
22,5300,2,水体旁边的树木,m,WC_Class=2
23,7847,2,水体旁边的树木,m,WC_Class=2
24,6318,3,浑浊水体,m,WC_Class=2
25,9773,1,浑浊水体旁边的建筑,m,WC_Class=2
26,9678,2,农村土路,h,WC_Class=2
27,5577,3,水体和 城市路面边缘,m,WC_Class=2
28,8328,2,城市road旁边的树木,m,WC_Class=2
29,9754,3,浑浊水体边缘,l,WC_Class=2
30,9205,1,城市建筑地面,m,WC_Class=2
31,8055,3,水体边缘,m,WC_Class=2
32,6104,3,水体边缘,m,WC_Class=2
33,8466,2,空地旁边的数据,m,WC_Class=2
34,8083,2,建筑旁边的树木,h,WC_Class=2
35,12430,1,水体旁边的公园地面,m,WC_Class=3
36,11670,3,水体边缘,h,WC_Class=3
37,2484,1,小区路面 + 建筑阴影,m,WC_Class=1
38,6891,1,水体旁边的建筑,m,WC_Class=2
39,9562,2,road旁边水田,h,WC_Class=2
40,5090,1,特殊建筑还有阴影,h,WC_Class=2
41,9406,1,城市广场地面,h,WC_Class=2
42,10207,1,水面上的桥梁,h,WC_Class=3
43,4273,2,水体边缘,l,WC_Class=1
44,3740,2,建筑旁边的树木,m,WC_Class=1
45,10471,1,公园水体旁边的公园路面,m,WC_Class=3
46,5184,1,工厂的路面,h,WC_Class=2
47,3446,2,树木,h,WC_Class=1
48,1979,2,工地土面旁边的树木,h,WC_Class=1
49,7510,3,水体边缘,m,WC_Class=2
50,6159,1,公园路面,h,WC_Class=2
51,6631,2,农村房子旁边的菜地,m,WC_Class=2
52,2835,2,农村的房子,m,WC_Class=1
53,5721,1,小区的地面,h,WC_Class=2
54,9424,2,农村房子旁边的菜地,m,WC_Class=2
55,17,2,工厂地面旁边树木,m,WC_Class=1
56,5140,2,绿色房子旁边的树木,m,WC_Class=2
57,13529,2,水体的边缘,m,WC_Class=3
58,9146,3,水体的边缘,m,WC_Class=2
59,14192,2,水体的边缘,m,WC_Class=3
60,2139,2,树木中间的城市路面,m,WC_Class=1
61,9477,1,城市road,m,WC_Class=2
62,5445,2,建筑旁边的树木,h,WC_Class=2
63,9241,2,水体旁边的路,m,WC_Class=2
64,6402,3,树木旁边的水体,m,WC_Class=2
65,7097,1,白色屋顶,h,WC_Class=2
66,6777,2,水体的边缘,m,WC_Class=2
67,5658,2,水体的边缘，有雾,l,WC_Class=2
68,7972,1,建筑白色屋顶,h,WC_Class=2
69,1740,2,建筑旁边的树木,m,WC_Class=1
70,9359,2,农村菜地,h,WC_Class=2
71,1529,1,小区建筑和地面,h,WC_Class=1
72,1796,3,水体,l,WC_Class=1
73,6467,2,建筑工地,h,WC_Class=2
74,5262,1,小区路面和树木中间,m,WC_Class=2
75,11134,3,公园水体边缘,l,WC_Class=3
76,1525,2,农村空地和田地边缘,m,WC_Class=1
77,6255,2,裸地和土路,h,WC_Class=2
78,1785,2,建筑工地,h,WC_Class=1
79,5291,1,小区建筑边缘,m,WC_Class=2
80,8532,1,城市小区,h,WC_Class=2
81,3712,2,土路和树木边缘,h,WC_Class=1
