PointID,Original_ID,Human_Class,Scene,Notes
1,6972,1,be,WC_Class=2
2,9022,1,be,WC_Class=2
3,6276,1,be,WC_Class=2
4,7873,1,be,WC_Class=2
5,710,2,ub,WC_Class=1
6,9032,1,be,WC_Class=2
7,2365,2,ub,WC_Class=1
8,6813,2,rs,WC_Class=2
9,7567,1,be,WC_Class=2
10,7450,1,be,WC_Class=2
11,9425,1,sb,WC_Class=2
12,8323,1,sb,WC_Class=2
13,6442,2,sb,WC_Class=2
14,7784,2,ub,WC_Class=2
15,9505,2,ub,WC_Class=2
16,9339,1,car park,WC_Class=2
17,8200,3,we,WC_Class=2
18,4317,2,ub,WC_Class=1
19,9240,1,be,WC_Class=2
20,4930,2,ub,WC_Class=1
21,5323,2,re,WC_Class=2
22,5300,2,ub,WC_Class=2
23,7847,2,bl,WC_Class=2
24,6318,3,we,WC_Class=2
25,9773,1,be,WC_Class=2
26,9678,2,bl,WC_Class=2
27,5577,2,ub,WC_Class=2
28,8328,2,ub,WC_Class=2
29,9754,2,we,WC_Class=2
30,9205,1,be,WC_Class=2
31,8055,3,we,WC_Class=2
32,6104,3,we,WC_Class=2
33,8466,2,ub,WC_Class=2
34,8083,2,ub,WC_Class=2
35,12430,2,ub,WC_Class=3
36,11670,3,we,WC_Class=3
37,2484,2,ub,WC_Class=1
38,6891,1,br,WC_Class=2
39,9562,2,re,WC_Class=2
40,5090,1,be,WC_Class=2
41,9406,1,sb,WC_Class=2
42,10207,2,brigde,WC_Class=3
43,4273,2,we,WC_Class=1
44,3740,2,sb,WC_Class=1
45,10471,1,mx,WC_Class=3
46,5184,1,be,WC_Class=2
47,3446,2,ub,WC_Class=1
48,1979,2,ub,WC_Class=1
49,7510,3,tw,WC_Class=2
50,6159,1,sb,WC_Class=2
51,6631,1,be,WC_Class=2
52,2835,2,ub,WC_Class=1
53,5721,1,be,WC_Class=2
54,9424,2,ct,WC_Class=2
55,17,2,ub,WC_Class=1
56,5140,1,be,WC_Class=2
57,13529,2,we,WC_Class=3
58,9146,2,ct,WC_Class=2
59,14192,2,we,WC_Class=3
60,2139,2,ub,WC_Class=1
61,9477,1,be,WC_Class=2
62,5445,2,ub,WC_Class=2
63,9241,2,re,WC_Class=2
64,6402,3,tw,WC_Class=2
65,7097,1,be,WC_Class=2
66,6777,2,we,WC_Class=2
67,5658,3,we,WC_Class=2
68,7972,1,be,WC_Class=2
69,1740,2,ub,WC_Class=1
70,9359,2,ub,WC_Class=2
71,1529,2,ub,WC_Class=1
72,1796,2,ub,WC_Class=1
73,6467,2,bl,WC_Class=2
74,5262,2,ub,WC_Class=2
75,11134,3,tw,WC_Class=3
76,1525,2,ct,WC_Class=1
77,6255,2,re,WC_Class=2
78,1785,2,re,WC_Class=1
79,5291,1,be,WC_Class=2
80,8532,1,be,WC_Class=2
81,3712,2,ub,WC_Class=1
82,4904,2,re,WC_Class=1
83,5194,1,sb,WC_Class=2
84,5775,1,be,WC_Class=2
85,11081,2,we,WC_Class=3
86,3900,2,re,WC_Class=1
87,7639,3,tw,WC_Class=2
88,4058,1,sb,WC_Class=1
89,3830,2,bl,WC_Class=1
90,9175,2,bl,WC_Class=2
91,108,2,ub,WC_Class=1
92,1243,3,we,WC_Class=1
93,11928,3,we,WC_Class=3
94,6424,2,sb,WC_Class=2
95,3109,2,sb,WC_Class=1
96,4898,2,ct,WC_Class=1
97,868,2,re,WC_Class=1
98,6192,2,fe,WC_Class=2
99,3184,1,be,WC_Class=1
100,2929,2,ub,WC_Class=1
101,7332,1,be,WC_Class=2
102,4589,2,ub,WC_Class=1
103,8872,2,ub,WC_Class=2
104,1929,2,re,WC_Class=1
105,11775,3,we,WC_Class=3
106,981,2,fe,WC_Class=1
107,2158,2,we,WC_Class=1
108,8049,2,ub,WC_Class=2
109,4658,2,ub,WC_Class=1
110,3144,2,ub,WC_Class=1
111,8703,2,we,WC_Class=2
112,6691,2,bl,WC_Class=2
113,2070,2,fe,WC_Class=1
114,4905,1,be,WC_Class=1
115,1719,2,ub,WC_Class=1
116,6074,3,we,WC_Class=2
117,5812,1,be,WC_Class=2
118,4179,2,ub,WC_Class=1
119,14565,3,tw,WC_Class=3
120,6389,2,ub,WC_Class=2
121,10576,2,bl,WC_Class=3
122,8995,3,tw,WC_Class=2
123,8265,1,sb,WC_Class=2
124,10624,2,we,WC_Class=3
125,9750,2,re,WC_Class=2
126,3429,2,mx,WC_Class=1
127,7644,2,ub,WC_Class=2
128,2051,2,ub,WC_Class=1
129,11832,3,tw,WC_Class=3
130,5255,2,road,WC_Class=2
131,4496,2,re,WC_Class=1
132,7007,2,re,WC_Class=2
133,2888,1,be,WC_Class=1
134,1116,2,ub,WC_Class=1
135,9455,2,ub,WC_Class=2
136,3449,2,ub,WC_Class=1
137,161,2,ub,WC_Class=1
138,13112,2,we,WC_Class=3
139,4916,1,be,WC_Class=1
140,5166,2,ct,WC_Class=2
141,13425,2,we,WC_Class=3
142,888,2,ub,WC_Class=1
143,3121,1,ct,WC_Class=1
144,1422,1,be,WC_Class=1
145,4511,1,mx,WC_Class=1
146,6602,2,ub,WC_Class=2
147,8628,2,ub,WC_Class=2
148,11303,2,we,WC_Class=3
149,9681,2,re,WC_Class=2
150,4500,2,ub,WC_Class=1
