PointID,Original_ID,lon,lat,Human_Class,Confidence,Scene,Notes,WC_Class,RF_Pred,error_type,margin,prob_1,prob_2,prob_3,NDVI_mean,NDBI_mean,MNDWI_mean
1,541,118.5855675940413,32.2298006794044,1,h,蓝色建筑,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.0,0.5,0.5,0.0,0.37323326,0.08747325,-0.39564526
2,3132,118.870513202164,31.936590570667786,1,h,小区,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.005025125628140725,0.4623115577889447,0.46733668341708545,0.07035175879396985,0.44616517,-0.17678496,-0.27310234
3,4283,118.6261714448835,31.84145898207953,2,l,大棚,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.005464480874316946,0.43169398907103823,0.4371584699453552,0.13114754098360656,0.30018812,-0.19510473,-0.0909166
4,46,118.84706717324848,32.403085697711056,2,l,veg road,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.005586592178770999,0.4972067039106145,0.5027932960893855,0.0,0.45258516,-0.068002954,-0.39926276
5,446,118.65276157729345,32.09110079953634,2,m,城市绿化,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.005649717514124297,0.4971751412429379,0.5028248587570622,0.0,0.3800919,-0.053532995,-0.33378655
6,2359,119.1545604950026,32.21955988516544,2,l,大棚,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.01010101010101011,0.41414141414141414,0.42424242424242425,0.16161616161616163,0.2203419,-0.035885353,-0.20288783
7,2863,118.7336997843926,31.316214035454845,2,m,veg,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.010810810810810811,0.4648648648648649,0.4756756756756757,0.05945945945945946,0.41801593,-0.17086647,-0.2084263
8,1788,118.7982886533208,32.32789670843025,1,m,小区,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.011428571428571455,0.4857142857142857,0.49714285714285716,0.017142857142857144,0.3715424,0.031532522,-0.4166184
9,1686,119.10353618686462,31.945304228923742,1,h,建筑,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.01273885350318471,0.49044585987261147,0.5031847133757962,0.006369426751592357,0.3789249,-0.002393444,-0.41612157
10,2321,118.83224497106052,32.1463471895097,2,l,荒地,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.018433179723502335,0.48847926267281105,0.5069124423963134,0.004608294930875576,0.29776895,0.0026884256,-0.32057416
11,4825,118.69857565678352,31.993184433567315,2,h,veg,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.02061855670103091,0.4845360824742268,0.5051546391752577,0.010309278350515464,0.39276636,-0.08111196,-0.3106364
12,1163,118.82514828031596,31.90721566087708,2,m,veg,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.02173913043478265,0.483695652173913,0.5054347826086957,0.010869565217391304,0.4443786,-0.1961506,-0.2466416
13,4836,118.802690398213,32.2824419550538,1,l,孤立建筑,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.02173913043478265,0.4891304347826087,0.5108695652173914,0.0,0.42371526,-0.07297905,-0.36324224
14,337,118.71690128857956,32.121553687668,2,h,veg,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.02617801047120416,0.4869109947643979,0.5130890052356021,0.0,0.52739954,-0.16401424,-0.33454055
