PointID,Original_ID,Human_Class,Scene,Notes
1,8037,2,ct,WC_Class=2
2,5515,1,be,WC_Class=2
3,5775,1,be,WC_Class=2
4,759,2,bl,WC_Class=1
5,4684,2,ub,WC_Class=1
6,9434,2,ct,WC_Class=2
7,9131,1,be,WC_Class=2
8,2862,2,ub,WC_Class=1
9,7582,3,ct,WC_Class=2
10,8855,2,re,WC_Class=2
11,6212,3,pf,WC_Class=2
12,3628,2,re,WC_Class=1
13,4831,2,re,WC_Class=1
14,5863,2,ce,WC_Class=2
15,14580,2,ct,WC_Class=3
16,9351,2,re,WC_Class=2
17,6134,3,tw,WC_Class=2
18,6972,1,be,WC_Class=2
19,9299,1,sb,WC_Class=2
20,5619,2,ub,WC_Class=2
21,5808,1,sb,WC_Class=2
22,7324,3,pf,WC_Class=2
23,9205,1,be,WC_Class=2
24,9424,2,ub,WC_Class=2
25,9477,2,ub,WC_Class=2
26,5620,2,road,WC_Class=2
27,3917,2,ub,WC_Class=1
28,4671,2,re,WC_Class=1
29,8419,2,bl,WC_Class=2
30,6008,2,bl,WC_Class=2
31,602,2,re,WC_Class=1
32,5889,3,tw,WC_Class=2
33,6625,2,ub,WC_Class=2
34,7500,1,be,WC_Class=2
35,8818,2,bl,WC_Class=2
36,9046,1,sb,WC_Class=2
37,9505,2,ub,WC_Class=2
38,1141,1,sb,WC_Class=1
39,722,2,ub,WC_Class=1
40,2835,2,bl,WC_Class=1
41,7295,1,railway,WC_Class=2
42,8231,3,pf,WC_Class=2
43,8664,3,tw,WC_Class=2
44,5237,3,tw,WC_Class=2
45,8635,1,be,WC_Class=2
46,11114,2,re,WC_Class=3
47,258,2,ub,WC_Class=1
48,4082,2,mx,WC_Class=1
49,4896,2,mx,WC_Class=1
50,5135,1,sb,WC_Class=2
51,7011,2,ub,WC_Class=2
52,7270,3,pf,WC_Class=2
53,8185,1,be,WC_Class=2
54,8210,2,mx,WC_Class=2
55,8704,2,fe,WC_Class=2
56,9142,3,tw,WC_Class=2
57,13515,2,re,WC_Class=3
58,8628,2,ub,WC_Class=2
59,7671,2,bl,WC_Class=2
60,298,2,re,WC_Class=1
61,1116,1,sb,WC_Class=1
62,8100,1,sb,WC_Class=2
63,8160,1,sb,WC_Class=2
64,8466,2,mx,WC_Class=2
65,8988,3,pf,WC_Class=2
66,8278,1,sb,WC_Class=2
67,4658,2,bl,WC_Class=1
68,4915,2,ub,WC_Class=1
69,5380,2,ct,WC_Class=2
70,6398,1,be,WC_Class=2
71,7645,3,tw,WC_Class=2
72,8277,2,gh,WC_Class=2
73,9905,3,we,WC_Class=2
74,9750,2,re,WC_Class=2
75,6487,3,wt,WC_Class=2
76,8530,1,sb,WC_Class=2
77,738,2,mx,WC_Class=1
78,2820,2,ub,WC_Class=1
79,2977,2,mx,WC_Class=1
80,5028,3,pf,WC_Class=2
81,5812,1,be,WC_Class=2
82,5958,3,tw,WC_Class=2
83,6132,2,ce,WC_Class=2
84,7159,1,city road,WC_Class=2
85,7366,1,be,WC_Class=2
86,7780,2,ub,WC_Class=2
87,6407,2,ub,WC_Class=2
88,1920,2,ub,WC_Class=1
89,2173,2,bl,WC_Class=1
90,2325,2,ub,WC_Class=1
91,4713,2,ub,WC_Class=1
92,5153,3,tw,WC_Class=2
93,5255,2,sb,WC_Class=2
94,7567,1,sb,WC_Class=2
95,9297,2,ct,WC_Class=2
96,9602,3,tw,WC_Class=2
97,6342,3,pf,WC_Class=2
98,10615,2,we,WC_Class=3
99,5463,1,sb,WC_Class=2
100,6777,2,re,WC_Class=2
101,6819,2,,WC_Class=2
102,13492,3,,WC_Class=3
103,1268,1,,WC_Class=1
104,2904,1,,WC_Class=1
105,4898,1,,WC_Class=1
106,5105,2,,WC_Class=2
107,6975,2,,WC_Class=2
108,8288,2,,WC_Class=2
109,8524,2,,WC_Class=2
110,8876,2,,WC_Class=2
111,8918,2,,WC_Class=2
112,9240,2,,WC_Class=2
113,7069,2,,WC_Class=2
114,6447,2,,WC_Class=2
115,8784,2,,WC_Class=2
116,2365,1,,WC_Class=1
117,3322,1,,WC_Class=1
118,5107,2,,WC_Class=2
119,6602,2,,WC_Class=2
120,6603,2,,WC_Class=2
121,6608,2,,WC_Class=2
122,7890,2,,WC_Class=2
123,7985,2,,WC_Class=2
124,9249,2,,WC_Class=2
125,9288,2,,WC_Class=2
126,2089,1,,WC_Class=1
127,5140,2,,WC_Class=2
128,8012,2,,WC_Class=2
129,8627,2,,WC_Class=2
130,1243,1,,WC_Class=1
131,3178,1,,WC_Class=1
132,4724,1,,WC_Class=1
133,5445,2,,WC_Class=2
134,6978,2,,WC_Class=2
135,7450,2,,WC_Class=2
136,8106,2,,WC_Class=2
137,9488,2,,WC_Class=2
138,11273,3,,WC_Class=3
139,12716,3,,WC_Class=3
140,5342,2,,WC_Class=2
141,7540,2,,WC_Class=2
142,3226,1,,WC_Class=1
143,4343,1,,WC_Class=1
144,6150,2,,WC_Class=2
145,6259,2,,WC_Class=2
146,6442,2,,WC_Class=2
147,6878,2,,WC_Class=2
148,7873,2,,WC_Class=2
149,8319,2,,WC_Class=2
150,8393,2,,WC_Class=2
