system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,Original_ID,lat,lon,.geo,Error_Probability
5782,1901.0,1026.0,592.0,828.0,747.0,3174.0,2,-0.3931843,-0.25083745,0.61897475,5782,32.4793526653328,118.92513077143848,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.92513077143848,32.4793526653328]}",0.996
5799,2102.0,1250.0,696.0,984.0,987.0,3665.0,2,-0.36228126,-0.2710248,0.57566637,5799,31.897154529694937,119.10982439385344,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.10982439385344,31.897154529694937]}",0.996
7294,2078.0,1111.0,613.0,883.0,839.0,3874.0,2,-0.40357986,-0.30174732,0.6439635,7294,32.47018984943478,118.93492240803538,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.93492240803538,32.47018984943478]}",0.996
8131,2030.5,1304.0,638.5,840.0,833.0,2984.5,2,-0.41473612,-0.19022931,0.56358874,8131,32.24839580578567,118.82856187839562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.82856187839562,32.24839580578567]}",0.994
6195,1899.5,1299.0,642.5,882.0,729.5,3077.5,2,-0.36580983,-0.23668876,0.6167586,6195,32.28612504771869,118.67486013328278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.67486013328278,32.28612504771869]}",0.994
7514,1980.0,1116.0,630.0,910.0,865.5,3670.5,2,-0.3702422,-0.29917705,0.61838627,7514,32.35879875420396,118.73091500701184,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.73091500701183,32.35879875420396]}",0.994
7808,2117.0,1405.0,615.0,965.0,996.0,3094.0,2,-0.37378326,-0.187488,0.5129584,7808,32.58957595069427,118.71735044622164,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.71735044622163,32.58957595069427]}",0.994
5635,2008.0,1199.0,706.5,990.5,987.5,2970.5,2,-0.33933634,-0.19333133,0.5010106,5635,32.40048058338711,118.73702355094385,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.73702355094385,32.40048058338711]}",0.994
6138,2082.0,1453.0,706.0,996.0,971.0,2964.0,2,-0.3528265,-0.17479192,0.5064803,6138,31.931380342019892,119.0846715658981,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.0846715658981,31.931380342019892]}",0.994
8956,2106.0,1083.0,622.0,894.0,800.0,3294.0,2,-0.404,-0.22,0.60918415,8956,32.48132895895786,118.79119196257624,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.79119196257625,32.48132895895786]}",0.994
5423,1926.5,1206.0,609.5,869.5,946.0,2860.0,2,-0.37804005,-0.19502768,0.50289017,5423,32.391138104432265,118.76882391200168,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.76882391200168,32.391138104432265]}",0.994
8535,2104.0,1307.5,684.5,959.0,934.0,3240.5,2,-0.37381652,-0.21264851,0.5525213,8535,32.29322173846324,118.93168847301254,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.93168847301254,32.29322173846324]}",0.994
6941,1614.0,961.5,497.5,697.0,673.0,2696.0,2,-0.39679793,-0.2510441,0.6004749,6941,31.990938645357016,118.59670670356438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.59670670356438,31.990938645357016]}",0.994
5341,1965.0,1001.0,582.0,832.0,725.0,3296.0,2,-0.40507686,-0.25299373,0.6393932,5341,32.48591036690687,118.9290833586886,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.9290833586886,32.48591036690687]}",0.994
5529,1989.0,1292.0,670.0,874.0,972.0,3147.0,2,-0.38945162,-0.2254673,0.52804077,5529,31.558399836053468,118.90168474252296,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.90168474252296,31.558399836053468]}",0.994
5855,2021.0,1205.0,567.6666666666666,861.0,806.0,2906.0,2,-0.40249828,-0.17962249,0.5657328,5855,31.70392691208083,119.1155736116718,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.1155736116718,31.70392691208083]}",0.994
9521,2010.5,1126.0,627.5,831.0,780.5,3120.5,2,-0.41509765,-0.2163321,0.5998462,9521,32.33301710554973,118.95522433345648,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.95522433345647,32.33301710554973]}",0.992
9158,2111.0,1414.0,648.0,856.5,841.5,3011.5,2,-0.42274642,-0.17579307,0.5631975,9158,32.20931909092647,118.62895622226426,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.62895622226426,32.20931909092647]}",0.992
5399,1783.0,1006.0,602.0,836.0,796.0,3296.0,2,-0.3615884,-0.2978933,0.6109482,5399,32.49597149808901,119.0178369087596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.0178369087596,32.49597149808901]}",0.992
