system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,Original_ID,lat,lon,.geo,Pred_Class,Confidence
5775,3046.0,2760.5,2507.0,3004.0,3450.0,3601.5,2,-0.006942149,-0.08356525,0.02148479,5775,31.826007959192673,118.56310971193832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.56310971193831,31.826007959192673]}",1,0.996
3830,2073.5,1561.5,754.0,985.0,998.3333333333334,2662.0,1,-0.3558934,-0.1242741,0.45451233,3830,31.373346887524846,119.19480501973116,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.19480501973115,31.373346887524846]}",2,0.99
7873,3469.0,3089.0,2670.0,3152.0,3484.0,3948.0,2,-0.047877964,-0.064581364,0.062432725,7873,31.66368238735227,119.05960856947117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.05960856947117,31.663682387352274]}",1,0.988
1979,1869.5,1272.0,652.0,851.0,792.5,2541.0,1,-0.37437972,-0.1522503,0.5245238,1979,31.827984252817735,118.8314364873048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.83143648730481,31.827984252817735]}",2,0.988
2563,2104.0,1596.0,732.5,935.5,950.5,2211.5,1,-0.38443822,-0.024910208,0.39879823,2563,32.07582943970631,118.66488883362904,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.66488883362905,32.07582943970631]}",2,0.986
4179,1908.0,1506.5,388.5,532.5,474.0,2514.5,1,-0.563614,-0.13713963,0.682784,4179,31.80193310957827,118.73783203469957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.73783203469955,31.80193310957827]}",2,0.986
2322,2005.0,1607.0,626.0,871.0,932.0,2157.0,1,-0.39429763,-0.036520902,0.39656848,2322,32.519866684646594,118.95639214332584,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.95639214332583,32.519866684646594]}",2,0.986
7567,2759.5,2694.5,2159.0,2493.0,2729.0,2925.0,2,-0.050737742,-0.029114258,0.034665722,7567,32.199886780443215,118.67180586131676,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.67180586131677,32.199886780443215]}",1,0.984
1785,2366.5,1766.0,598.0,865.0,913.0,2423.0,1,-0.4646449,-0.011796638,0.45263788,1785,31.729528897678236,118.9367190386036,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.93671903860361,31.729528897678236]}",2,0.982
4496,2091.5,1634.5,589.0,794.5,842.0,2117.5,1,-0.44941095,-0.006177239,0.43098497,4496,32.39913311046093,119.00391302185577,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.00391302185575,32.39913311046093]}",2,0.982
2632,2387.0,1771.0,725.0,1056.0,1180.0,2643.0,1,-0.38658148,-0.050894633,0.38268375,2632,32.53028714194238,118.7683747543596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.76837475435961,32.53028714194238]}",2,0.98
2823,2050.0,1568.0,640.0,896.0,841.0,2787.0,1,-0.39171758,-0.15236717,0.5363837,2823,31.616700497992824,118.94363606629132,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.94363606629133,31.616700497992824]}",2,0.98
3238,1951.0,1450.0,690.5,832.0,842.5,2800.5,1,-0.40208408,-0.17878565,0.53746915,3238,31.95114327827052,118.9314189784273,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.9314189784273,31.95114327827052]}",2,0.98
1832,2180.0,1715.0,766.0,1000.0,1164.0,2728.0,1,-0.3710692,-0.11165444,0.40184996,1832,32.217314096955135,119.19606266112892,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.19606266112892,32.217314096955135]}",2,0.978
3144,1856.0,1394.0,621.0,864.0,791.0,2706.5,1,-0.3647059,-0.18641096,0.5476769,3144,32.15137775510076,118.74259310570538,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.74259310570538,32.15137775510076]}",2,0.978
3208,2116.0,1756.0,743.5,1051.0,1010.5,2328.5,1,-0.3362804,-0.047811903,0.39472896,3208,31.93524309774161,118.91911205903487,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.91911205903487,31.93524309774161]}",2,0.978
2244,1890.0,1495.5,630.5,838.0,828.5,2790.5,1,-0.3856305,-0.19239397,0.5421387,2244,31.76564117209984,118.63793937510546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.63793937510546,31.76564117209984]}",2,0.978
727,2096.0,1534.5,624.0,848.0,889.0,2270.0,1,-0.42391303,-0.039853413,0.43716365,727,31.95599418080477,118.97363979678092,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.97363979678093,31.95599418080477]}",2,0.978
4898,1703.0,1102.5,408.0,624.5,545.5,2659.5,1,-0.4633727,-0.21925502,0.65959436,4898,31.906317345592957,118.98711452604272,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.98711452604272,31.906317345592957]}",2,0.978
4658,2484.5,1905.5,653.0,942.0,1006.0,2649.5,1,-0.4501678,-0.032138683,0.4495965,4658,32.06927173813224,119.05071524815838,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.05071524815838,32.06927173813224]}",2,0.978
104,2162.0,1719.0,657.0,879.5,937.0,2372.5,1,-0.42166695,-0.046421878,0.4337513,104,32.3808973101933,118.99717565722486,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.99717565722486,32.3808973101933]}",2,0.978
