Original_ID,system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,lat,lon,.geo,prob_1,prob_2,margin
0,0,2143.75,2064.0,1438.0,1500.3333333333337,1608.0,2201.0,1,-0.17656475,-0.013176823,0.1556839,30.566659762385516,114.1639699340766,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.16396993407659,30.566659762385516]}",0.9833333333333333,0.016666666666666666,0.9666666666666666
1,1,2095.0,2041.0,822.0,886.0,1216.0,1592.0,1,-0.4055686,0.13642527,0.13390313,30.605736477244715,114.33357185971836,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.33357185971836,30.605736477244715]}",0.9966666666666667,0.0033333333333333335,0.9933333333333334
2,2,2648.0,2261.5,780.5,1003.0,1096.0,2199.0,1,-0.4505615,0.09263462,0.3347496,30.47988250593957,113.82782035475908,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.82782035475907,30.47988250593957]}",0.9033333333333333,0.09666666666666666,0.8066666666666666
3,3,1526.0,1379.0,930.0,1140.0,1256.0,1704.0,1,-0.1447862,-0.05510836,0.15135135,30.76976884812494,114.27428305096647,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.27428305096647,30.76976884812494]}",0.98,0.013333333333333334,0.9666666666666667
4,4,2255.5,1930.5,732.5,995.0,1414.0,2376.0,1,-0.3877865,-0.026017489,0.25382584,30.841903565439736,114.93472444785117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.93472444785115,30.841903565439736]}",0.8233333333333334,0.17666666666666667,0.6466666666666667
5,5,1772.7777777777778,1326.1666666666667,667.8571428571429,819.6666666666666,780.1666666666666,1968.5,1,-0.36764959,-0.05231427,0.43233082,30.76240266279516,114.03452270163496,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.03452270163497,30.76240266279516]}",0.85,0.15,0.7
6,6,2478.8,2211.0,835.5,1002.0,1179.3333333333333,1836.0,1,-0.42427027,0.14897563,0.2177758,30.586332867107732,114.12471355616056,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.12471355616057,30.586332867107732]}",0.99,0.01,0.98
7,7,1715.5,1605.0,1058.0,1248.0,1411.0,1628.0,1,-0.15775266,0.026170181,0.07140507,30.724763252390552,114.38666229300982,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.38666229300982,30.724763252390552]}",0.9533333333333334,0.03666666666666667,0.9166666666666667
8,8,1227.0,924.5,698.2,821.5,800.5,1696.0,1,-0.19794972,-0.16045159,0.35870218,30.502160724985735,114.14780025896243,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.14780025896245,30.502160724985735]}",0.93,0.04,0.89
9,9,2608.0,2319.0,603.0,809.5,1013.5,1976.0,1,-0.52626187,0.13787085,0.32196018,30.782345262102613,114.60037149910184,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.60037149910185,30.782345262102613]}",0.88,0.12,0.76
10,10,1734.6666666666667,1335.1666666666667,942.5714285714286,1067.3333333333333,1168.6,1574.7,1,-0.23816322,0.048337545,0.1480334,30.897149955413088,114.2000822084982,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.2000822084982,30.897149955413088]}",0.99,0.006666666666666667,0.9833333333333333
11,11,1820.0,1555.0,929.8,1092.0,1252.0,1548.2,1,-0.25,0.08069592,0.10577816,30.616695923710974,114.23439785235156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.23439785235156,30.616695923710974]}",0.9933333333333333,0.0033333333333333335,0.99
12,12,2181.0,1763.5,933.5,1208.0,1345.0,2435.0,1,-0.28710535,-0.055025995,0.2883598,30.799503084029297,114.60944448347146,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.60944448347146,30.799503084029297]}",0.86,0.14,0.72
13,13,1857.0,1562.0,632.0,801.0,847.0,1858.0,1,-0.39729118,-0.000269179,0.3737523,30.84109508168403,114.74706638499858,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.74706638499858,30.84109508168403]}",0.9066666666666666,0.09333333333333334,0.8133333333333332
14,14,2513.5,2511.6666666666665,1359.578947368421,1325.764705882353,1324.0,1984.81875,1,-0.3093653,0.11752863,0.19971439,30.615707776898443,114.15336981372398,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.15336981372398,30.615707776898443]}",0.9966666666666667,0.0033333333333333335,0.9933333333333334
15,15,2358.5,1884.5,851.0,1041.0,1139.0,2216.0,1,-0.387557,0.031150945,0.32101342,30.43379893186424,113.72442426555692,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.72442426555692,30.43379893186424]}",0.8966666666666666,0.10333333333333333,0.7933333333333332
16,16,2355.2,1843.4,985.6,1246.5,1374.909090909091,2531.5,1,-0.30782685,-0.036077518,0.29607522,30.314412830604756,114.08401987378996,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.08401987378996,30.314412830604756]}",0.8766666666666667,0.12333333333333334,0.7533333333333334
17,17,1213.5,910.0,514.0,647.0,626.0,1953.5,1,-0.30448803,-0.23365961,0.5146346,30.626397728779462,114.3555805841793,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.3555805841793,30.626397728779462]}",0.7966666666666666,0.2,0.5966666666666667
18,18,1568.25,1347.3333333333337,991.4,1062.0,1086.0,1298.5,1,-0.1924722,0.0940961,0.089117214,30.55947324011256,114.1813074190601,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.1813074190601,30.55947324011256]}",0.9966666666666667,0.0033333333333333335,0.9933333333333334
19,19,2062.625,1988.7666666666669,977.3333333333334,1024.2142857142858,1034.3636363636365,1196.8,1,-0.33639935,0.26563734,0.07280343,30.620019690262215,114.06605356810756,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.06605356810756,30.620019690262215]}",0.9833333333333333,0.016666666666666666,0.9666666666666666
20,20,2271.5,1957.0,1603.0,1913.0,2136.0,2714.0,1,-0.08567332,-0.088757396,0.119175255,31.105020112158343,114.34830423037792,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.34830423037792,31.105020112158346]}",0.9866666666666667,0.013333333333333334,0.9733333333333334
21,21,827.0,753.0,634.0,694.0,842.0,1168.0,1,-0.08744247,-0.17092732,0.16218905,30.47889435912704,114.40929983816964,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.40929983816964,30.47889435912704]}",0.9233333333333333,0.04,0.8833333333333333
22,22,2240.25,2042.5,1350.0,1738.0,2106.6666666666665,2435.5,1,-0.12624899,-0.04175801,0.0723957,30.563066501249036,114.1639699340766,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.16396993407659,30.563066501249036]}",0.92,0.08,0.8400000000000001
23,23,2889.0,2558.5,1492.6666666666667,1655.5,1886.0,2589.0,1,-0.271427,0.054764513,0.15709497,30.334804587554267,114.09174538523338,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.09174538523338,30.334804587554267]}",0.9733333333333334,0.02666666666666667,0.9466666666666668
