PointID,Original_ID,Human_Class,Scene,Confidence,Notes
1,9847,1,城市建筑,h,
2,5089,1,城市建筑,h,
3,9948,2,水体边缘,l,
4,5474,1,城市路面,h,
5,9953,2,大棚边缘,m,
6,6412,1,城市路面,h,
7,9192,1,城市建筑,h,
8,4001,2,veg,h,
9,12096,3,水体,m,
10,9912,1,农田孤立建筑,l,
11,1409,2,veg 和建筑,m,
12,7604,1,城市路面,h,
13,9476,3,水体,h,
14,5282,1,城市建筑和路面,h,
15,4708,2,工地,l,
16,7342,1,城市路面,h,
17,14813,2,水体边缘,m,
18,5800,2,工地或者veg,h,
19,9546,1,城市建筑,h,
20,6321,2,car parking,m,
21,7863,1,工厂,h,
22,8554,2,水田,h,
23,6530,1,小区地面,h,
24,11090,3,水体边缘,m,
25,6553,1,高速休息区,m,
26,6212,1,工厂高反地物,h,
27,9165,1,air port land,h,
28,6773,1,城市地面,h,
29,3996,1,城市地面,h,
30,7889,1,城市地面,h,
31,11040,3,水田边缘,m,
32,2351,2,veg边缘,m,
33,1217,2,地面旁边的veg,m,
34,2484,2,土路,h,
35,9041,1,城市停车场,m,
36,5586,2,veg边缘,m,
37,5765,1,road,h,
38,5265,3,水体,h,
39,13936,2,bl,l,
40,1148,1,农村建筑和veg,m,
41,5418,1,城市小区,h,
42,6636,2,农村道路,m,
43,9666,2,工地,h,
44,8241,2,土路,h,
45,9684,1,高反建筑,h,
46,8894,3,水体,h,
47,7984,2,田地,h,
48,7445,3,水体,h,
49,3173,1,road,h,
50,9637,2,veg,h,
51,4587,2,re,h,
52,8367,2,cs,m,
53,10636,2,re,m,
54,5450,1,be,h,
55,7582,2,re,m,
56,4596,1,square,m,
57,10175,3,wr,m,
58,5054,1,be,h,
59,7452,1,re,h,
60,1804,2,ub,h,
61,9869,2,cs,m,
62,3934,2,ub,h,
63,10479,3,we,m,
64,5286,3,we,m,
65,8465,2,ce,m,
66,14403,2,ce,m,
67,2697,2,cs,h,
68,2501,2,ub,h,
69,7809,2,ce,m,
70,1871,2,rs,h,
71,8722,2,ub,m,
72,6186,1,sb,h,
73,4549,2,mx,h,
74,7668,2,bl,m,
75,7159,1,be,h,
76,9537,2,fe,m,
77,9488,1,be,h,
78,2961,1,sb,m,
79,2025,2,ce,h,
80,6382,2,ub,m,
81,2695,2,fe,h,
82,13903,3,we,m,
83,865,2,ub,h,
84,6614,2,ub,m,
85,9548,2,re,m,
86,2602,2,mx,h,
87,6224,2,fe,m,
88,6076,2,mx,m,
89,1793,2,re,h,
90,11166,3,we,m,
91,7768,2,sb,m,
92,442,1,bs,m,
93,3595,1,be,m,
94,3828,2,ub,h,
95,194,2,sb,h,
96,2183,1,be,m,
97,7451,2,re,m,
98,12076,3,we,m,
99,3950,2,ub,h,
100,11211,3,pf,m,
101,8213,1,sb,h,
102,6621,1,be,h,
103,236,2,re,h,
104,5045,2,re,m,
105,11100,3,we,m,
106,7271,1,be,h,
107,7119,1,re,h,
108,1326,2,fe,h,
109,6347,2,re,m,
110,13501,3,we,m,
111,1627,2,ub,h,
112,378,1,be,m,
113,4440,1,be,m,
114,2208,2,re,h,
115,4374,2,re,h,
116,7214,1,be,h,
117,9225,1,be,h,
118,7484,2,re,m,
119,5907,1,br,h,
120,11768,2,wl,m,
121,13807,3,we,m,
122,7793,1,sb,h,
123,8123,1,spuare,h,
124,4607,2,ub,h,
125,6580,1,be,h,
126,7877,2,bl,m,
127,1158,2,re,h,
128,8387,1,be,h,
129,4399,2,re,h,
130,11931,3,we,m,
131,6266,2,re,m,
132,1032,2,re,h,
133,3152,2,re,h,
134,5609,2,ct,m,
135,4119,2,ct,h,
136,7264,1,be,h,
137,5221,2,re,m,
138,13415,2,we,m,
139,356,2,fe,h,
140,1228,1,ub,m,
141,8164,2,fe,m,
142,6480,1,sb,h,
143,11377,2,re,m,
144,12890,2,we,m,
145,5182,2,sb,m,
146,7368,2,fe,m,
147,8289,2,veg,h,
148,2742,2,veg,h,
149,9555,2,veg,h,
150,6997,1,veg周围建筑,m,
