PointID,Original_ID,Human_Class,Scene,Notes
1,9847,1,sb,
2,5089,1,be,
3,9948,3,tw,
4,5474,1,be,
5,9953,2,ct,
6,6412,1,be,
7,9192,1,be,
8,4001,2,ub,
9,12096,3,we,
10,9912,2,re,
11,1409,2,ub,
12,7604,1,be,
13,9476,3,we,
14,5282,1,be,
15,4708,2,ub,
16,7342,1,be,
17,14813,2,re,
18,5800,2,fe,
19,9546,1,be,
20,6321,1,car parking,
21,7863,1,sb,
22,8554,2,ce,
23,6530,1,be,
24,11090,3,we,
25,6553,2,re,
26,6212,1,sb,
27,9165,1,air port land,
28,6773,1,be,
29,3996,1,be,
30,7889,1,mx,
31,11040,3,we,
32,2351,2,cs,
33,1217,1,ub,
34,2484,2,cs,
35,9041,2,cs,
36,5586,1,sb,
37,5765,1,re,
38,5265,3,we,
39,13936,2,bl,
40,1148,1,be,
41,5418,1,be,
42,6636,2,bl,
43,9666,2,cs,
44,8241,2,re,
45,9684,1,br,
46,8894,3,we,
47,7984,2,ce,
48,7445,3,we,
49,3173,1,re,
50,9637,2,re,
51,4587,2,re,
52,8367,2,cs,
53,10636,2,re,
54,5450,1,be,
55,7582,2,re,
56,4596,1,square,
57,10175,3,wr,
58,5054,1,be,
59,7452,1,re,
60,1804,2,ub,
61,9869,2,cs,
62,3934,2,ub,
63,10479,3,we,
64,5286,3,we,
65,8465,2,ce,
66,14403,2,ce,
67,2697,2,cs,
68,2501,2,ub,
69,7809,2,ce,
70,1871,2,rs,
71,8722,2,ub,
72,6186,1,sb,
73,4549,2,mx,
74,7668,2,bl,
75,7159,1,be,
76,9537,2,fe,
77,9488,1,be,
78,2961,1,sb,
79,2025,2,ce,
80,6382,2,ub,
81,2695,2,fe,
82,13903,3,we,
83,865,2,ub,
84,6614,2,ub,
85,9548,2,re,
86,2602,2,mx,
87,6224,2,fe,
88,6076,2,mx,
89,1793,2,re,
90,11166,3,we,
91,7768,2,sb,
92,442,1,bs,
93,3595,1,be,
94,3828,2,ub,
95,194,2,sb,
96,2183,1,be,
97,7451,2,re,
98,12076,3,we,
99,3950,2,ub,
100,11211,3,pf,
101,8213,1,sb,
102,6621,1,be,
103,236,2,re,
104,5045,2,re,
105,11100,3,we,
106,7271,1,be,
107,7119,1,re,
108,1326,2,fe,
109,6347,2,re,
110,13501,3,we,
111,1627,2,ub,
112,378,1,be,
113,4440,1,be,
114,2208,2,re,
115,4374,2,re,
116,7214,1,be,
117,9225,1,be,
118,7484,2,re,
119,5907,1,br,
120,11768,2,wl,
121,13807,3,we,
122,7793,1,sb,
123,8123,1,spuare,
124,4607,2,ub,
125,6580,1,be,
126,7877,2,bl,
127,1158,2,re,
128,8387,1,be,
129,4399,2,re,
130,11931,3,we,
131,6266,2,re,
132,1032,2,re,
133,3152,2,re,
134,5609,2,ct,
135,4119,2,ct,
136,7264,1,be,
137,5221,2,re,
138,13415,2,we,
139,356,2,fe,
140,1228,1,ub,
141,8164,2,fe,
142,6480,1,sb,
143,11377,2,re,
144,12890,2,we,
145,5182,2,sb,
146,7368,2,fe,
147,8289,2,re,
148,2742,2,ub,
149,9555,2,mx,
150,6997,1,be,
