PointID,Original_ID,Human_Class,Scene,Notes
1,9045,3,pf,
2,6215,2,ct,
3,4063,2,bl,
4,5950,2,bl,
5,762,2,rs,
6,2738,1,sb,
7,3315,1,sb,
8,9260,2,ct,
9,2368,2,mx,car
10,5387,2,re,
11,663,1,be,
12,7076,2,ce,
13,12865,3,pf,
14,2657,2,re,
15,206,1,sb,
16,5307,2,ce,
17,6894,2,ub,
18,12657,2,ce,
19,5875,2,ct,
20,3088,2,ub,
21,3217,2,sb,
22,1931,2,ub,
23,5404,2,fe,
24,2563,2,ub,
25,11525,3,we,
26,502,2,ub,
27,8165,2,ce,
28,10607,3,we,
29,12628,3,pf,
30,10799,3,tw,
31,260,1,be,
32,5,2,re,
33,14917,3,we,
34,3564,2,ub,
35,9555,2,fe,
36,4067,1,be,
37,4268,2,ub,
38,5340,2,ct,
39,8138,2,ub,
40,3797,2,ub,
41,14816,2,ce,
42,14498,3,we,
43,8733,2,ub,
44,2326,2,cs,
45,8166,2,ct,
46,7136,3,tw,
47,2675,1,re,
48,6397,2,re,
49,9352,3,pf,
50,10809,3,pf,
51,4798,2,ub,
52,2898,2,re,
53,3183,1,be,
54,9298,2,ce,
55,3208,1,ub,
56,2695,2,ub,
57,8734,2,ce,
58,8961,2,ce,
59,9421,2,bl,
60,7155,2,ub,
61,3446,1,mx,
62,8809,2,ub,
63,6073,2,cs,
64,4233,2,bl,
65,814,2,re,
66,4992,1,be,
67,4235,1,be,
68,3056,1,sb,
69,1856,2,cs,
70,7560,2,ct,
71,4976,2,ub,
72,2262,2,ub,
73,954,2,ub,
74,9667,2,fe,
75,2558,2,mx,
76,46,2,ub,
77,6466,2,ct,
78,8985,1,cs,
79,5865,2,gh,
80,12844,3,tw,
81,13166,3,we,
82,5886,2,re,
83,8236,1,sb,
84,9103,2,ce,
85,8494,1,bs,
86,5922,3,pf,
87,401,2,ub,
88,9371,3,pf,
89,8672,2,ce,
90,5178,2,fe,
91,4823,1,re,
92,16,2,ub,
93,7262,2,ct,
94,6445,2,ct,
95,12529,2,ub,
96,11937,3,pf,
97,2999,3,tw,
98,10367,3,pf,
99,8862,2,re,
100,3502,1,be,
101,8384,2,fe,
102,4828,2,ub,
103,4367,1,ub,
104,7339,1,be,
105,3700,1,mx,
106,7845,2,cs,
107,975,1,sb,
108,6451,2,ct,
109,5882,2,ct,
110,3060,2,ub,
111,4922,1,be,
112,1218,1,be,
113,4465,1,bs,
114,6966,2,rb,
115,4768,1,sb,
116,3533,1,re,
117,3937,1,be,
118,3594,2,ub,
119,9239,3,pf,
120,8823,2,fe,
121,4017,1,ub,
122,12076,3,we,
123,10201,2,cr,
124,14497,2,we,
125,11806,2,we,
126,8603,1,sb,
127,7314,3,wr,
128,4730,1,ub,
129,10092,3,pf,
130,2151,1,ub,
131,6098,3,we,
132,7294,2,re,
133,6469,1,be,
134,698,1,be,
135,4859,1,sb,
136,7601,3,pf,
137,1062,1,be,
138,13850,3,tw,
139,4535,1,re,
140,2033,2,rb,
141,3358,1,re,
142,5272,2,ce,
143,12699,2,ct,
144,9772,2,fe,
145,7642,3,tw,
146,1920,2,sb,
147,8036,2,re,
148,2243,2,ub,
149,6645,3,pf,
150,12847,3,tw,
