City,CheckID,PointID,Original_ID,Ref_Class,Ref_Confidence,Ref_Scene
Wuhan,WU01,34,2484,2,h,土路
Wuhan,WU02,86,2602,2,h,mx
Wuhan,WU03,47,7984,2,h,田地
Wuhan,WU04,68,2501,2,h,ub
Wuhan,WU05,7,9192,1,h,城市建筑
Wuhan,WU06,60,1804,2,h,ub
Wuhan,WU07,123,8123,1,h,spuare
Wuhan,WU08,8,4001,2,h,veg
Wuhan,WU09,114,2208,2,h,re
Wuhan,WU10,111,1627,2,h,ub
Wuhan,WU11,150,6997,1,m,veg周围建筑
Wuhan,WU12,24,11090,3,m,水体边缘
Wuhan,WU13,84,6614,2,m,ub
Wuhan,WU14,112,378,1,m,be
Wuhan,WU15,69,7809,2,m,ce
Wuhan,WU16,87,6224,2,m,fe
Wuhan,WU17,143,11377,2,m,re
Wuhan,WU18,52,8367,2,m,cs
Wuhan,WU19,92,442,1,m,bs
Wuhan,WU20,10,9912,1,l,农田孤立建筑
Hefei,HE01,111,3319,2,h,veg
Hefei,HE02,134,7358,1,h,urban road
Hefei,HE03,126,5062,1,h,小区
Hefei,HE04,18,8713,1,h,特殊建筑
Hefei,HE05,121,4808,2,h,veg
Hefei,HE06,140,5379,1,h,水坝建筑
Hefei,HE07,23,4182,2,h,城市绿植
Hefei,HE08,80,487,2,h,veg
Hefei,HE09,146,6180,2,h,稻田
Hefei,HE10,110,5922,2,h,水体边缘veg
Hefei,HE11,59,6428,1,m,公路 veg
Hefei,HE12,118,7059,2,m,veg
Hefei,HE13,123,9246,2,m,农村地面
Hefei,HE14,36,8820,2,m,水体边缘
Hefei,HE15,150,7218,2,m,工地
Hefei,HE16,38,8282,2,m,城市建筑阴影
Hefei,HE17,129,824,1,m,小区veg
Hefei,HE18,144,3557,1,m,房子院子
Hefei,HE19,89,13362,3,m,水体
Hefei,HE20,74,3019,2,l,veg
Nanchang,NA01,93,6186,2,m,re
Nanchang,NA02,97,4343,2,m,水体边缘
Nanchang,NA03,148,5656,2,m,
Nanchang,NA04,66,10881,2,m,bl
Nanchang,NA05,17,12250,2,m,bl
Nanchang,NA06,140,9545,2,m,
Nanchang,NA07,147,8946,2,m,
Nanchang,NA08,72,6055,3,m,we
Nanchang,NA09,78,120,1,m,be
Nanchang,NA10,60,14984,2,m,bl
Nanchang,NA11,127,2157,1,m,
Nanchang,NA12,143,5322,2,m,ub
Nanchang,NA13,124,8899,3,m,we
Nanchang,NA14,150,7619,2,m,
Nanchang,NA15,7,3625,2,h,ct
Nanchang,NA16,4,7813,1,h,be
Nanchang,NA17,41,4916,2,h,re
Nanchang,NA18,33,8252,1,h,be
Nanchang,NA19,59,4860,2,h,re
Nanchang,NA20,54,5432,1,h,sb
Nanjing,NA01,118,4179,2,h,树木
Nanjing,NA02,39,9562,2,h,road旁边水田
Nanjing,NA03,1,6972,1,h,高亮反射建筑边缘
Nanjing,NA04,12,8323,1,h,特殊建筑
Nanjing,NA05,90,9175,2,h,农村土路
Nanjing,NA06,100,2929,2,h,树木
Nanjing,NA07,65,7097,1,h,白色屋顶
Nanjing,NA08,26,9678,2,h,农村土路
Nanjing,NA09,34,8083,2,h,建筑旁边的树木
Nanjing,NA10,19,9240,1,h,建筑
Nanjing,NA11,27,5577,3,m,水体和 城市路面边缘
Nanjing,NA12,148,11303,2,m,水体边缘
Nanjing,NA13,28,8328,2,m,城市road旁边的树木
Nanjing,NA14,59,14192,2,m,水体的边缘
Nanjing,NA15,60,2139,2,m,树木中间的城市路面
Nanjing,NA16,97,868,1,m,工厂路面
Nanjing,NA17,130,5255,1,m,road 和树木交界
Nanjing,NA18,56,5140,2,m,绿色房子旁边的树木
Nanjing,NA19,142,888,2,l,城市绿植
Nanjing,NA20,120,6389,1,l,小区路面
Changsha,CH01,52,6705,2,h,veg + 裸地
Changsha,CH02,45,1537,2,h,农村土路
Changsha,CH03,136,1212,3,h,水体
Changsha,CH04,144,8589,2,h,veg
Changsha,CH05,50,7719,1,h,农村建筑
Changsha,CH06,26,5561,2,h,veg
Changsha,CH07,16,7204,1,h,城市路面
Changsha,CH08,60,9661,2,h,veg + 土路
Changsha,CH09,23,9697,1,h,建筑
Changsha,CH10,109,8708,3,h,水体
Changsha,CH11,33,5268,1,h,城市路面
Changsha,CH12,131,4826,1,l,路面
Changsha,CH13,142,6642,2,l,不知
Changsha,CH14,102,5889,2,l,不明
Changsha,CH15,56,9893,2,l,建筑废墟
Changsha,CH16,46,5654,2,l,工地
Changsha,CH17,133,14590,3,m,水体
Changsha,CH18,61,1013,2,m,veg
Changsha,CH19,135,8812,2,m,veg
Changsha,CH20,48,10234,3,m,水体
Hangzhou,HA01,53,6251,3,h,水体
Hangzhou,HA02,142,8177,2,h,田地
Hangzhou,HA03,137,9932,2,h,veg
Hangzhou,HA04,13,14831,1,h,小区
Hangzhou,HA05,6,6929,2,h,veg
Hangzhou,HA06,126,10614,2,h,veg
Hangzhou,HA07,50,8584,2,h,veg
Hangzhou,HA08,60,12575,3,h,水体
Hangzhou,HA09,110,7379,3,h,水体
Hangzhou,HA10,32,9787,2,h,田地
Hangzhou,HA11,62,6443,1,m,路面
Hangzhou,HA12,47,7148,2,m,veg
Hangzhou,HA13,79,14054,3,m,水体边缘
Hangzhou,HA14,25,8346,2,m,建筑
Hangzhou,HA15,75,4262,2,m,veg
Hangzhou,HA16,109,9985,2,m,水田
Hangzhou,HA17,135,8687,2,l,工地
Hangzhou,HA18,97,10287,3,l,水体
Hangzhou,HA19,131,9519,2,l,工地
Hangzhou,HA20,61,9405,2,l,土路
