CheckID,Original_ID_x,lat,lon,My_Class,My_Confidence,My_Scene,Annotator,City,PointID,Original_ID_y,Ref_Class,Ref_Confidence,Ref_Scene
CH14,5889,28.411062406612313,112.63656445648816,2.0,l,裸地,A,Changsha,102,5889,2,l,不明
CH11,5268,28.4973905054162,112.79889002832856,1.0,h,城市路面,A,Changsha,33,5268,1,h,城市路面
CH18,1013,28.297066197057543,113.11231223095788,2.0,m,veg,A,Changsha,61,1013,2,m,veg
CH04,8589,28.12881174434196,113.21615747780208,2.0,h,veg,A,Changsha,144,8589,2,h,veg
CH09,9697,28.303983224745267,113.23088984846164,1.0,h,built,A,Changsha,23,9697,1,h,建筑
CH08,9661,28.203192249867055,111.97944682615474,2.0,h,veg,A,Changsha,60,9661,2,h,veg + 土路
CH02,1537,28.24029267110119,113.50523533623176,2.0,h,土地,A,Changsha,45,1537,2,h,农村土路
CH13,6642,28.06637883209565,112.52607167654148,2.0,l,废墟,A,Changsha,142,6642,2,l,不知
CH05,7719,28.29805434387008,113.74975675656908,1.0,h,built,A,Changsha,50,7719,1,h,农村建筑
CH06,5561,28.080931539698387,112.48403052124468,2.0,h,veg,A,Changsha,26,5561,2,h,veg
CH20,10234,28.06682798973771,113.16944508302788,2.0,m,水体边缘,A,Changsha,48,10234,3,m,水体
CH16,5654,28.325273296978896,112.58787576808888,2.0,m,土地,A,Changsha,46,5654,2,l,工地
CH01,6705,28.10222161193202,112.90785567229229,2.0,h,veg边缘,A,Changsha,52,6705,2,h,veg + 裸地
CH19,8812,28.01903761662255,113.05787432474024,2.0,h,veg,A,Changsha,135,8812,2,m,veg
CH10,8708,28.413038700237376,112.7767016408108,3.0,h,水体,A,Changsha,109,8708,3,h,水体
CH03,1212,28.271284548403315,113.12264285672524,3.0,m,边缘,A,Changsha,136,1212,3,h,水体
CH12,4826,28.10626403071056,113.33239947556716,2.0,l,路面,A,Changsha,131,4826,1,l,路面
CH15,9893,28.23427395869759,112.32736433569424,2.0,m,工地,A,Changsha,56,9893,2,l,建筑废墟
CH07,7204,28.29625771330184,112.8456922546312,1.0,h,build,A,Changsha,16,7204,1,h,城市路面
CH17,14590,28.09952666607966,112.4367791373,3.0,h,水体,A,Changsha,133,14590,3,m,水体
CH08,9661,28.203192249867055,111.97944682615474,2.0,h,土地,B,Changsha,60,9661,2,h,veg + 土路
CH20,10234,28.06682798973771,113.16944508302788,2.0,h,水体边缘,B,Changsha,48,10234,3,m,水体
CH01,6705,28.10222161193202,112.90785567229229,2.0,h,裸地,B,Changsha,52,6705,2,h,veg + 裸地
CH13,6642,28.06637883209565,112.52607167654148,2.0,m,土地,B,Changsha,142,6642,2,l,不知
CH09,9697,28.303983224745267,113.23088984846164,1.0,h,built,B,Changsha,23,9697,1,h,建筑
CH14,5889,28.411062406612313,112.63656445648816,2.0,m,土地,B,Changsha,102,5889,2,l,不明
CH02,1537,28.24029267110119,113.50523533623176,2.0,h,土地,B,Changsha,45,1537,2,h,农村土路
CH11,5268,28.4973905054162,112.79889002832856,1.0,h,road,B,Changsha,33,5268,1,h,城市路面
CH19,8812,28.01903761662255,113.05787432474024,2.0,h,veg,B,Changsha,135,8812,2,m,veg
