CheckID,Original_ID,lat,lon,My_Class,My_Confidence,My_Scene
CH08,9661,28.203192249867055,111.97944682615474,2,h,土地
CH20,10234,28.06682798973771,113.16944508302788,2,h,水体边缘
CH01,6705,28.10222161193202,112.90785567229229,2,h,裸地
CH13,6642,28.06637883209565,112.52607167654148,2,m,土地
CH09,9697,28.303983224745267,113.23088984846164,1,h,built
CH14,5889,28.411062406612313,112.63656445648816,2,m,土地
CH02,1537,28.24029267110119,113.50523533623176,2,h,土地
CH11,5268,28.4973905054162,112.79889002832856,1,h,road
CH19,8812,28.01903761662255,113.05787432474024,2,h,veg
CH16,5654,28.325273296978896,112.58787576808888,2,l,废墟
CH06,5561,28.080931539698387,112.48403052124468,2,h,veg
CH10,8708,28.413038700237376,112.7767016408108,3,h,水体
CH17,14590,28.09952666607966,112.4367791373,3,h,水体边缘
CH05,7719,28.29805434387008,113.74975675656908,1,h,built
CH03,1212,28.271284548403315,113.12264285672524,3,h,水体
CH07,7204,28.29625771330184,112.8456922546312,1,h,road
CH15,9893,28.23427395869759,112.32736433569424,2,m,废墟
CH12,4826,28.10626403071056,113.33239947556716,1,m,road
CH18,1013,28.297066197057543,113.11231223095788,2,m,veg
CH04,8589,28.12881174434196,113.21615747780208,2,h,veg
