CheckID,Original_ID,lat,lon,My_Class,My_Confidence,My_Scene
NA08,6055,28.45741547527288,116.32226223570215,3,h,water
NA20,5432,28.356983826508316,116.11996163371845,1,h,city
NA01,6186,28.84979959137629,115.99976704870323,2,m,veg
NA13,8899,28.46612913352884,115.62400176535606,3,h,water
NA09,120,28.627915716198764,115.93293239156476,1,h,building
NA14,7619,28.658727930444066,116.21653052676128,2,m,veg
NA02,4343,28.829677329012007,115.86223497870456,2,m,water edge
NA11,2157,28.851057232774053,115.6116948459636,1,h,city
NA19,4860,28.726730397451913,115.72164863673984,2,h,road veg
NA16,7813,28.798056631011,115.90247950343311,1,h,building
NA06,9545,28.862016679240313,115.9603310077304,2,m,veg
NA10,14984,28.86516078273473,115.99285002101551,2,m,land
NA17,4916,28.890852599860548,116.23099340283562,2,h,veg
NA05,12250,28.78314459729462,116.1234650633265,2,h,veg
NA03,5656,28.65845843585883,115.83950760201633,2,m,veg
NA07,8946,28.623244476721343,115.74132174146206,2,m,147
NA15,3625,28.75053575248108,115.48790699981194,2,h,field
NA12,5322,28.517153441666828,115.931674750167,2,h,rural
NA18,8252,28.811711023329615,116.15068401643532,1,h,city
NA04,10881,28.93693617393588,115.68796181358536,2,m,bl
