CheckID,Original_ID,lat,lon,My_Class,My_Confidence,My_Scene
NA13,8328,31.36328575634271,118.93824617458662,2,m,veg
NA15,2139,32.049239307296375,118.76145772667188,2,m,veg
NA09,8083,31.302829137721464,119.07380195096026,2,h,veg
NA08,9678,31.74533924667874,118.65869045816862,2,h,rural
NA18,5140,32.131704650378545,118.57703359884216,2,h,veg
NA19,888,32.28145380824127,118.78274779890552,2,m,veg
NA20,6389,31.33624646629071,118.84446205892452,1,m,city
NA06,2929,31.796453386345146,118.63578341842356,2,h,veg
NA03,6972,31.81100609394788,118.55295874922776,1,h,building
NA01,4179,31.80193310957827,118.73783203469957,2,h,veg
NA04,8323,32.099814457792306,118.91938155362013,1,h,building
NA10,9240,32.06226487891611,118.5923049586722,1,h,bulding
NA11,5577,31.956443338446828,118.91219503134715,3,m,water
NA05,9175,32.243544903251426,118.63021386366204,2,m,rural
NA02,9562,31.357536538524343,119.16345381631538,2,m,field
NA12,11303,32.01672029401125,118.64171229929876,3,l,water
NA16,868,32.05705465026821,118.90006777501154,1,h,factory
NA17,5255,31.97396048648716,118.76801542824596,1,m,road
NA14,14192,31.294295142522326,118.84140778695853,2,m,water edge
NA07,7097,31.892483290217516,118.79855814790604,1,h,building
