CheckID,Original_ID,lat,lon,My_Class,My_Confidence,My_Scene
HE08,487,31.925541292673117,117.43437655744212,2,h,veg
HE20,3019,31.80193310957827,117.26926620822096,2,m,road
HE01,3319,32.03360862135269,117.47956181623334,2,h,veg
HE13,9246,31.88152384375126,117.66443510170514,2,m,rural
HE09,6180,32.25369586596198,117.75013437981012,2,h,field
HE14,8820,32.16602029423191,117.13308161114844,3,l,water edge
HE02,7358,32.56595025872192,116.99941229687144,1,h,road
HE11,6428,32.614010126422315,117.20018576287217,1,m,road
HE19,13362,31.713808380206142,117.3545163286839,3,m,water
HE16,8282,32.568465541517455,116.99195628001326,2,m,city
HE06,5379,31.697369210506757,116.80304057576292,1,h,building
HE10,5922,32.076637923462016,117.46330230959076,2,h,wetland
HE17,824,32.58140128160878,116.88119400548132,1,h,city
HE05,4808,31.943327935298683,117.39260489673056,2,h,veg
HE03,5062,31.969738404651796,117.14952078084782,2,h,veg
HE07,4182,31.57726445701998,116.96716277817156,2,h,veg
HE15,7218,32.06603780310941,117.08636921637422,2,m,working
HE12,7059,31.9156598245478,117.58277824237868,2,h,veg
HE18,3557,31.914042857036385,117.57801717137284,1,h,built
HE04,8713,31.821606214300488,116.99159695389962,1,h,built
