k,Original_ID,city,lon,lat,expert,wc,margin,verdict,note
1,5225,Changsha,113.30239574507756,28.511494055376875,water,nonbuilt,0.593,1,
2,1346,Changsha,112.94666289256624,28.14219664207534,water,built,0.587,1,
3,1831,Changsha,112.9855599443686,28.16914610059893,nonbuilt,built,0.583,1,
4,6236,Changsha,112.80104598501046,28.214331359390137,water,nonbuilt,0.583,1,
5,10031,Changsha,112.79691373470352,28.27209303215902,nonbuilt,water,0.577,?,"expert non-built vs WC water; edge/mixed pixel, could not resolve on sub-metre"
6,9811,Hangzhou,120.1305947535019,30.410957706974557,built,nonbuilt,0.387,1,
7,9536,Hangzhou,120.25330475539164,30.33172394035587,built,nonbuilt,0.367,1,
8,498,Hangzhou,119.12529042100252,29.700119030741583,nonbuilt,built,0.36,1,
9,4,Hangzhou,119.07372537642044,29.249883597375153,nonbuilt,built,0.347,1,
10,6042,Hangzhou,119.44284530252364,29.554591808761327,built,nonbuilt,0.333,1,
11,558,Hefei,117.22848269432193,31.762137742491777,nonbuilt,built,0.587,1,
12,4251,Hefei,117.3139124778417,31.927787080883416,nonbuilt,built,0.58,1,
13,6480,Hefei,117.01657011879814,31.873528837722596,water,nonbuilt,0.577,1,
14,2773,Hefei,117.37095549838328,32.45824225615599,nonbuilt,built,0.573,1,
15,3319,Hefei,117.47956181623334,32.03360862135269,nonbuilt,built,0.567,1,
16,4402,Nanchang,115.8912505623816,28.68477907368353,nonbuilt,built,0.537,1,
17,2863,Nanchang,115.967876856117,28.725113429940496,nonbuilt,built,0.53,1,
18,4930,Nanchang,115.91954749383136,28.50313972323456,nonbuilt,built,0.527,1,
19,4239,Nanchang,116.00596542416368,28.382316317520488,nonbuilt,built,0.513,1,
20,3382,Nanchang,116.05330663963676,28.742181420338767,nonbuilt,built,0.507,1,
21,4904,Nanjing,118.61664930287183,32.21533780333007,nonbuilt,built,0.527,1,
22,8323,Nanjing,118.91938155362013,32.099814457792306,built,nonbuilt,0.507,1,
23,4317,Nanjing,118.92926302174544,32.37595657613064,nonbuilt,built,0.507,1,
24,3446,Nanjing,118.5653555001486,31.793399114379135,nonbuilt,built,0.5,1,
25,6074,Nanjing,118.84239593377106,31.87793058261478,water,nonbuilt,0.493,1,
26,1804,Wuhan,114.18031927224756,30.548693456703127,nonbuilt,built,0.56,1,
27,1326,Wuhan,114.1549867812354,30.42095302330133,nonbuilt,built,0.56,1,
28,8894,Wuhan,114.31470723875184,31.249469209844765,water,nonbuilt,0.553,1,
29,4399,Wuhan,113.78128762304168,30.319982385366295,nonbuilt,built,0.553,1,
30,865,Wuhan,114.15363930830922,30.523810123333018,nonbuilt,built,0.547,1,
