City,Seed,Model,true,pred,count
Wuhan,0,RF,1,1,1395
Wuhan,0,RF,1,2,96
Wuhan,0,RF,1,3,9
Wuhan,0,RF,2,1,196
Wuhan,0,RF,2,2,1258
Wuhan,0,RF,2,3,46
Wuhan,0,RF,3,1,18
Wuhan,0,RF,3,2,30
Wuhan,0,RF,3,3,1452
Wuhan,1,RF,1,1,1393
Wuhan,1,RF,1,2,99
Wuhan,1,RF,1,3,8
Wuhan,1,RF,2,1,200
Wuhan,1,RF,2,2,1251
Wuhan,1,RF,2,3,49
Wuhan,1,RF,3,1,19
Wuhan,1,RF,3,2,32
Wuhan,1,RF,3,3,1449
Wuhan,2,RF,1,1,1389
Wuhan,2,RF,1,2,103
Wuhan,2,RF,1,3,8
Wuhan,2,RF,2,1,197
Wuhan,2,RF,2,2,1253
Wuhan,2,RF,2,3,50
Wuhan,2,RF,3,1,18
Wuhan,2,RF,3,2,33
Wuhan,2,RF,3,3,1449
Wuhan,3,RF,1,1,1390
Wuhan,3,RF,1,2,102
Wuhan,3,RF,1,3,8
Wuhan,3,RF,2,1,196
Wuhan,3,RF,2,2,1255
Wuhan,3,RF,2,3,49
Wuhan,3,RF,3,1,18
Wuhan,3,RF,3,2,34
Wuhan,3,RF,3,3,1448
Wuhan,4,RF,1,1,1394
Wuhan,4,RF,1,2,98
Wuhan,4,RF,1,3,8
Wuhan,4,RF,2,1,197
Wuhan,4,RF,2,2,1252
Wuhan,4,RF,2,3,51
Wuhan,4,RF,3,1,18
Wuhan,4,RF,3,2,34
Wuhan,4,RF,3,3,1448
Changsha,0,RF,1,1,1418
Changsha,0,RF,1,2,75
Changsha,0,RF,1,3,7
Changsha,0,RF,2,1,164
Changsha,0,RF,2,2,1309
Changsha,0,RF,2,3,27
Changsha,0,RF,3,1,31
Changsha,0,RF,3,2,17
Changsha,0,RF,3,3,1452
Changsha,1,RF,1,1,1421
Changsha,1,RF,1,2,71
Changsha,1,RF,1,3,8
Changsha,1,RF,2,1,161
Changsha,1,RF,2,2,1313
Changsha,1,RF,2,3,26
Changsha,1,RF,3,1,32
Changsha,1,RF,3,2,17
Changsha,1,RF,3,3,1451
Changsha,2,RF,1,1,1420
Changsha,2,RF,1,2,73
Changsha,2,RF,1,3,7
Changsha,2,RF,2,1,159
Changsha,2,RF,2,2,1314
Changsha,2,RF,2,3,27
Changsha,2,RF,3,1,30
Changsha,2,RF,3,2,20
Changsha,2,RF,3,3,1450
Changsha,3,RF,1,1,1419
Changsha,3,RF,1,2,74
Changsha,3,RF,1,3,7
Changsha,3,RF,2,1,155
Changsha,3,RF,2,2,1318
Changsha,3,RF,2,3,27
Changsha,3,RF,3,1,30
Changsha,3,RF,3,2,21
Changsha,3,RF,3,3,1449
Changsha,4,RF,1,1,1420
Changsha,4,RF,1,2,74
Changsha,4,RF,1,3,6
Changsha,4,RF,2,1,165
Changsha,4,RF,2,2,1308
Changsha,4,RF,2,3,27
Changsha,4,RF,3,1,31
Changsha,4,RF,3,2,17
Changsha,4,RF,3,3,1452
Nanchang,0,RF,1,1,1422
Nanchang,0,RF,1,2,72
Nanchang,0,RF,1,3,6
Nanchang,0,RF,2,1,135
Nanchang,0,RF,2,2,1252
Nanchang,0,RF,2,3,113
Nanchang,0,RF,3,1,32
Nanchang,0,RF,3,2,35
Nanchang,0,RF,3,3,1433
Nanchang,1,RF,1,1,1428
Nanchang,1,RF,1,2,68
Nanchang,1,RF,1,3,4
Nanchang,1,RF,2,1,137
Nanchang,1,RF,2,2,1247
Nanchang,1,RF,2,3,116
Nanchang,1,RF,3,1,31
Nanchang,1,RF,3,2,32
Nanchang,1,RF,3,3,1437
Nanchang,2,RF,1,1,1422
Nanchang,2,RF,1,2,72
Nanchang,2,RF,1,3,6
Nanchang,2,RF,2,1,136
Nanchang,2,RF,2,2,1248
Nanchang,2,RF,2,3,116
Nanchang,2,RF,3,1,32
Nanchang,2,RF,3,2,35
Nanchang,2,RF,3,3,1433
Nanchang,3,RF,1,1,1422
Nanchang,3,RF,1,2,72
Nanchang,3,RF,1,3,6
Nanchang,3,RF,2,1,130
Nanchang,3,RF,2,2,1257
