City,Method,Seed,OA,AA,Kappa,Boundary Error,C1_to_C2,C2_to_C1,BestK,n_expanded,n_seed
Nanjing,Baseline,0,0.9055555555555556,0.9055555555555556,0.8583333333333334,298,102,196,,,
Nanjing,BAMS150_old,0,0.8991111111111111,0.8991111111111111,0.8486666666666667,321,126,195,,,
Nanjing,BAMS150_new,0,0.9008888888888889,0.9008888888888889,0.8513333333333333,318,122,196,,,
Nanjing,BAMS150_new_high,0,0.9028888888888889,0.902888888888889,0.8543333333333334,309,115,194,,,
Nanjing,BAMS150_new_hm,0,0.9,0.9,0.85,320,126,194,,,
Nanjing,PE_old,0,0.9062222222222223,0.9062222222222222,0.8593333333333333,290,127,163,20.0,36.0,150.0
Nanjing,PE_new,0,0.9028888888888889,0.902888888888889,0.8543333333333334,306,96,210,5.0,13.0,150.0
Nanjing,PE_new_high,0,0.906,0.906,0.859,298,115,183,20.0,16.0,73.0
Nanjing,PE_new_hm,0,0.9006666666666666,0.9006666666666666,0.851,312,122,190,5.0,10.0,133.0
Nanjing,Baseline,1,0.9022222222222223,0.9022222222222224,0.8533333333333333,308,107,201,,,
Nanjing,BAMS150_old,1,0.9008888888888889,0.9008888888888889,0.8513333333333333,313,123,190,,,
Nanjing,BAMS150_new,1,0.9006666666666666,0.9006666666666666,0.851,317,121,196,,,
Nanjing,BAMS150_new_high,1,0.9026666666666666,0.9026666666666667,0.854,305,109,196,,,
Nanjing,BAMS150_new_hm,1,0.9011111111111111,0.9011111111111111,0.8516666666666667,313,121,192,,,
Nanjing,PE_old,1,0.9037777777777778,0.9037777777777777,0.8556666666666667,295,97,198,5.0,8.0,150.0
Nanjing,PE_new,1,0.9053333333333333,0.9053333333333334,0.858,294,139,155,5.0,7.0,150.0
Nanjing,PE_new_high,1,0.906,0.906,0.859,287,93,194,20.0,19.0,73.0
Nanjing,PE_new_hm,1,0.9051111111111111,0.9051111111111112,0.8576666666666667,291,131,160,30.0,25.0,133.0
Nanjing,Baseline,2,0.9042222222222223,0.9042222222222223,0.8563333333333334,299,104,195,,,
Nanjing,BAMS150_old,2,0.9011111111111111,0.9011111111111111,0.8516666666666667,314,121,193,,,
Nanjing,BAMS150_new,2,0.9013333333333333,0.9013333333333332,0.852,314,118,196,,,
Nanjing,BAMS150_new_high,2,0.9024444444444445,0.9024444444444444,0.8536666666666667,308,112,196,,,
Nanjing,BAMS150_new_hm,2,0.9008888888888889,0.9008888888888889,0.8513333333333333,315,119,196,,,
Nanjing,PE_old,2,0.9066666666666666,0.9066666666666666,0.86,284,114,170,10.0,20.0,150.0
Nanjing,PE_new,2,0.9048888888888889,0.9048888888888889,0.8573333333333333,300,111,189,10.0,13.0,150.0
Nanjing,PE_new_high,2,0.9073333333333333,0.9073333333333333,0.861,288,116,172,10.0,13.0,73.0
Nanjing,PE_new_hm,2,0.9035555555555556,0.9035555555555556,0.8553333333333333,297,120,177,20.0,29.0,133.0
Nanjing,Baseline,3,0.9033333333333333,0.9033333333333333,0.855,304,102,202,,,
Nanjing,BAMS150_old,3,0.9024444444444445,0.9024444444444445,0.8536666666666667,306,115,191,,,
Nanjing,BAMS150_new,3,0.9015555555555556,0.9015555555555554,0.8523333333333334,309,120,189,,,
Nanjing,BAMS150_new_high,3,0.9015555555555556,0.9015555555555556,0.8523333333333334,313,114,199,,,
Nanjing,BAMS150_new_hm,3,0.9013333333333333,0.9013333333333334,0.852,310,123,187,,,
Nanjing,PE_old,3,0.9068888888888889,0.9068888888888887,0.8603333333333334,287,134,153,10.0,12.0,150.0
Nanjing,PE_new,3,0.9066666666666666,0.9066666666666666,0.86,284,83,201,10.0,16.0,150.0
Nanjing,PE_new_high,3,0.906,0.906,0.859,292,111,181,10.0,14.0,73.0
Nanjing,PE_new_hm,3,0.9075555555555556,0.9075555555555557,0.8613333333333333,286,110,176,10.0,21.0,133.0
Nanjing,Baseline,4,0.9004444444444445,0.9004444444444445,0.8506666666666667,312,110,202,,,
Nanjing,BAMS150_old,4,0.8986666666666666,0.8986666666666666,0.848,323,119,204,,,
Nanjing,BAMS150_new,4,0.9006666666666666,0.9006666666666666,0.851,316,119,197,,,
Nanjing,BAMS150_new_high,4,0.9024444444444445,0.9024444444444444,0.8536666666666667,310,111,199,,,
Nanjing,BAMS150_new_hm,4,0.9002222222222223,0.9002222222222223,0.8503333333333334,319,124,195,,,
Nanjing,PE_old,4,0.91,0.91,0.865,275,64,211,20.0,23.0,150.0
Nanjing,PE_new,4,0.9066666666666666,0.9066666666666667,0.86,288,96,192,30.0,26.0,150.0
Nanjing,PE_new_high,4,0.9071111111111111,0.9071111111111111,0.8606666666666667,284,75,209,20.0,21.0,73.0
Nanjing,PE_new_hm,4,0.9073333333333333,0.9073333333333333,0.861,286,121,165,20.0,22.0,133.0
