Track,Method,n_seed_mean,WC_OA_mean,WC_OA_std,dWC_pp,WC_BE_mean,H_OA_mean,dH_pp,H_BE_mean,n_exp_mean
WC,Baseline,0.0,0.91,0.0,0.0,277.0,,,,
WC,PE_Human_all,150.0,0.9084444444444445,0.0,-0.15555555555555323,289.0,,,,19.0
WC,PE_Human_high,73.0,0.9088888888888889,0.0,-0.11111111111111738,279.0,,,,14.0
WC,PE_WC_all,150.0,0.9106666666666666,0.0,0.06666666666665932,278.0,,,,29.0
WC,PE_WC_high,73.0,0.9084444444444445,0.0,-0.15555555555555323,282.0,,,,15.0
WC,PE_Agree_all,48.0,0.9097777777777778,0.0,-0.022222222222223476,273.0,,,,14.0
WC,PE_Disagree_all,102.0,0.9068888888888889,0.0,-0.31111111111111756,287.0,,,,9.0
WC,PE_Agree_high,28.0,0.9131111111111111,0.0,0.31111111111110645,269.0,,,,1.0
WC,PE_Disagree_high,45.0,0.9111111111111111,0.0,0.11111111111110628,277.0,,,,14.0
Dual,Baseline_dual,0.0,0.91,0.0,0.0,277.0,0.7674418604651163,0.0,10.0,
Dual,PE_Human_holdout,63.0,0.9106666666666666,0.0,0.06666666666665932,274.0,0.6744186046511628,-9.302325581395355,14.0,23.0
Dual,PE_WC_holdout,63.0,0.9097777777777778,0.0,-0.022222222222223476,281.0,0.6744186046511628,-9.302325581395355,14.0,23.0
