Track,Seed,Method,n_seed,K,n_exp,WC_OA,WC_BE,WC_Kappa,H_OA,H_BE,H_n,H_agree_WC
WC,0,Baseline,0,,,0.91,277,0.865,,,,
WC,0,PE_Human_all,150,10.0,19.0,0.9084444444444445,289,0.8626666666666667,,,,
WC,0,PE_Human_high,73,10.0,14.0,0.9088888888888889,279,0.8633333333333333,,,,
WC,0,PE_WC_all,150,30.0,29.0,0.9106666666666666,278,0.866,,,,
WC,0,PE_WC_high,73,20.0,15.0,0.9084444444444445,282,0.8626666666666667,,,,
WC,0,PE_Agree_all,48,20.0,14.0,0.9097777777777778,273,0.8646666666666667,,,,
WC,0,PE_Disagree_all,102,5.0,9.0,0.9068888888888889,287,0.8603333333333334,,,,
WC,0,PE_Agree_high,28,5.0,1.0,0.9131111111111111,269,0.8696666666666667,,,,
WC,0,PE_Disagree_high,45,30.0,14.0,0.9111111111111111,277,0.8666666666666667,,,,
Dual,0,Baseline_dual,0,,,0.91,277,0.865,0.7674418604651163,10.0,43.0,0.3953488372093023
Dual,0,PE_Human_holdout,63,20.0,23.0,0.9106666666666666,274,0.866,0.6744186046511628,14.0,43.0,0.3953488372093023
Dual,0,PE_WC_holdout,63,20.0,23.0,0.9097777777777778,281,0.8646666666666667,0.6744186046511628,14.0,43.0,0.3953488372093023
