Track,Seed,Method,n_seed,K,n_exp,WC_OA,WC_BE,WC_Kappa,H_OA,H_BE,H_n,H_agree_WC
WC,0,Baseline,0,,,0.9093333333333333,280,0.864,,,,
WC,0,PE_Human_all,150,5.0,13.0,0.9028888888888889,306,0.8543333333333334,,,,
WC,0,PE_Human_high,73,20.0,16.0,0.906,298,0.859,,,,
WC,0,PE_WC_all,150,30.0,39.0,0.9082222222222223,288,0.8623333333333334,,,,
WC,0,PE_WC_high,73,20.0,17.0,0.9093333333333333,280,0.864,,,,
WC,0,PE_Agree_all,48,20.0,9.0,0.904,298,0.856,,,,
WC,0,PE_Disagree_all,102,5.0,7.0,0.9048888888888889,298,0.8573333333333333,,,,
WC,0,PE_Agree_high,28,5.0,4.0,0.9044444444444445,298,0.8566666666666667,,,,
WC,0,PE_Disagree_high,45,10.0,13.0,0.9077777777777778,289,0.8616666666666667,,,,
Dual,0,Baseline_dual,0,,,0.9093333333333333,280,0.864,0.7441860465116279,11.0,43.0,0.3953488372093023
Dual,0,PE_Human_holdout,63,20.0,16.0,0.9082222222222223,281,0.8623333333333334,0.6744186046511628,14.0,43.0,0.3953488372093023
Dual,0,PE_WC_holdout,63,30.0,27.0,0.9097777777777778,279,0.8646666666666667,0.6046511627906976,17.0,43.0,0.3953488372093023
WC,1,Baseline,0,,,0.9091111111111111,284,0.8636666666666667,,,,
WC,1,PE_Human_all,150,5.0,7.0,0.9053333333333333,294,0.858,,,,
WC,1,PE_Human_high,73,20.0,19.0,0.906,287,0.859,,,,
WC,1,PE_WC_all,150,10.0,13.0,0.9091111111111111,284,0.8636666666666667,,,,
WC,1,PE_WC_high,73,30.0,29.0,0.9073333333333333,281,0.861,,,,
WC,1,PE_Agree_all,48,30.0,19.0,0.9097777777777778,277,0.8646666666666667,,,,
WC,1,PE_Disagree_all,102,5.0,7.0,0.9055555555555556,292,0.8583333333333334,,,,
WC,1,PE_Agree_high,28,5.0,1.0,0.9066666666666666,287,0.86,,,,
WC,1,PE_Disagree_high,45,5.0,3.0,0.9073333333333333,290,0.861,,,,
Dual,1,Baseline_dual,0,,,0.9091111111111111,284,0.8636666666666667,0.6046511627906976,16.0,43.0,0.32558139534883723
Dual,1,PE_Human_holdout,63,10.0,7.0,0.9102222222222223,274,0.8653333333333333,0.6511627906976745,14.0,43.0,0.32558139534883723
Dual,1,PE_WC_holdout,63,5.0,5.0,0.9084444444444445,282,0.8626666666666667,0.5116279069767442,19.0,43.0,0.32558139534883723
WC,2,Baseline,0,,,0.9104444444444444,282,0.8656666666666667,,,,
WC,2,PE_Human_all,150,10.0,13.0,0.9048888888888889,300,0.8573333333333333,,,,
WC,2,PE_Human_high,73,10.0,13.0,0.9073333333333333,288,0.861,,,,
WC,2,PE_WC_all,150,10.0,24.0,0.9048888888888889,296,0.8573333333333333,,,,
WC,2,PE_WC_high,73,20.0,14.0,0.9068888888888889,285,0.8603333333333334,,,,
WC,2,PE_Agree_all,48,5.0,6.0,0.9053333333333333,297,0.858,,,,
WC,2,PE_Disagree_all,102,20.0,27.0,0.9075555555555556,283,0.8613333333333333,,,,
WC,2,PE_Agree_high,28,30.0,7.0,0.9064444444444445,297,0.8596666666666667,,,,
WC,2,PE_Disagree_high,45,10.0,7.0,0.906,295,0.859,,,,
Dual,2,Baseline_dual,0,,,0.9104444444444444,282,0.8656666666666667,0.6511627906976745,14.0,43.0,0.2558139534883721
Dual,2,PE_Human_holdout,63,10.0,8.0,0.9048888888888889,297,0.8573333333333333,0.5581395348837209,18.0,43.0,0.2558139534883721
Dual,2,PE_WC_holdout,63,5.0,4.0,0.9068888888888889,287,0.8603333333333334,0.627906976744186,15.0,43.0,0.2558139534883721
WC,3,Baseline,0,,,0.9106666666666666,278,0.866,,,,
WC,3,PE_Human_all,150,10.0,16.0,0.9066666666666666,284,0.86,,,,
WC,3,PE_Human_high,73,10.0,14.0,0.906,292,0.859,,,,
WC,3,PE_WC_all,150,30.0,17.0,0.9093333333333333,286,0.864,,,,
WC,3,PE_WC_high,73,10.0,21.0,0.906,294,0.859,,,,
WC,3,PE_Agree_all,48,20.0,16.0,0.9073333333333333,280,0.861,,,,
WC,3,PE_Disagree_all,102,20.0,26.0,0.904,296,0.856,,,,
WC,3,PE_Agree_high,28,20.0,6.0,0.9062222222222223,294,0.8593333333333333,,,,
WC,3,PE_Disagree_high,45,20.0,10.0,0.9062222222222223,289,0.8593333333333333,,,,
Dual,3,Baseline_dual,0,,,0.9106666666666666,278,0.866,0.6511627906976745,14.0,43.0,0.37209302325581395
Dual,3,PE_Human_holdout,63,5.0,4.0,0.9093333333333333,279,0.864,0.6046511627906976,16.0,43.0,0.37209302325581395
Dual,3,PE_WC_holdout,63,20.0,23.0,0.9108888888888889,285,0.8663333333333334,0.5116279069767442,20.0,43.0,0.37209302325581395
WC,4,Baseline,0,,,0.9077777777777778,291,0.8616666666666667,,,,
WC,4,PE_Human_all,150,30.0,26.0,0.9066666666666666,288,0.86,,,,
WC,4,PE_Human_high,73,20.0,21.0,0.9071111111111111,284,0.8606666666666667,,,,
WC,4,PE_WC_all,150,30.0,24.0,0.9068888888888889,283,0.8603333333333334,,,,
WC,4,PE_WC_high,73,20.0,26.0,0.9113333333333333,277,0.867,,,,
WC,4,PE_Agree_all,48,20.0,12.0,0.9077777777777778,281,0.8616666666666667,,,,
WC,4,PE_Disagree_all,102,20.0,19.0,0.9075555555555556,290,0.8613333333333333,,,,
WC,4,PE_Agree_high,28,20.0,8.0,0.9093333333333333,281,0.864,,,,
WC,4,PE_Disagree_high,45,20.0,8.0,0.9086666666666666,281,0.863,,,,
Dual,4,Baseline_dual,0,,,0.9077777777777778,291,0.8616666666666667,0.6744186046511628,13.0,43.0,0.3953488372093023
Dual,4,PE_Human_holdout,63,30.0,21.0,0.9106666666666666,279,0.866,0.5581395348837209,18.0,43.0,0.3953488372093023
Dual,4,PE_WC_holdout,63,5.0,4.0,0.9046666666666666,289,0.857,0.6744186046511628,13.0,43.0,0.3953488372093023
