Original_ID,WC_Class,margin,in_test
5585,2,0.9999996,0
8591,2,0.99999964,0
55,1,0.9999974,0
7487,2,0.9999989,1
9526,2,0.9999976,0
8964,2,0.9999997,0
8499,2,0.9999992,0
7353,2,0.9999979,0
8268,2,0.99999744,0
5251,2,0.9999987,0
4392,1,0.99999815,0
9822,2,0.9999982,0
9628,2,0.9999996,1
6654,2,0.99999976,0
7774,2,0.99999833,0
6490,2,0.99999905,0
7811,2,0.9999994,0
5497,2,0.99999803,0
2553,1,0.9999981,1
7512,2,0.9999991,0
9115,2,0.99999994,0
8592,2,1.0,0
195,1,1.0,1
9939,2,0.9999979,0
5544,2,0.9999998,0
7949,2,0.99999934,0
9389,2,0.9999987,0
7675,2,0.9999984,1
8034,2,1.0,0
5893,2,0.99999905,0
4672,1,0.9999977,0
4218,1,0.9999992,0
9845,2,0.9999982,0
4654,1,0.99999976,0
6838,2,0.99999994,0
6438,2,0.9999995,0
2306,1,0.99999976,0
6956,2,0.9999991,0
9635,2,0.9999991,0
6036,2,0.9999996,0
5076,2,0.9999998,0
8263,2,0.9999993,0
6820,2,0.999998,0
9315,2,0.9999992,1
5778,2,0.99999964,0
8974,2,0.99999815,1
9910,2,0.99999994,0
7602,2,0.9999989,0
7271,2,0.99999714,1
6414,2,0.99999994,1
5588,2,0.99999994,0
6247,2,0.99999976,1
8582,2,0.99999815,0
5328,2,0.9999979,1
7844,2,0.9999991,0
7233,2,0.9999993,0
9301,2,0.999999,0
6641,2,0.9999997,0
7306,2,0.9999995,1
3986,1,0.9999976,1
5246,2,0.9999998,0
7047,2,0.9999978,0
5245,2,0.99999785,0
6881,2,0.9999991,0
6866,2,0.9999986,0
6466,2,0.9999991,1
5968,2,0.9999986,0
9229,2,0.99999744,1
7941,2,0.9999977,1
7204,2,0.99999976,1
9508,2,0.99999744,0
8935,2,1.0,1
6937,2,0.9999974,0
9268,2,0.99999857,0
6644,2,0.99999774,0
7724,2,0.99999994,1
9293,2,0.9999985,0
6453,2,0.999997,0
3603,1,0.9999993,0
5891,2,0.99999887,0
9627,2,0.9999988,0
4751,1,0.9999984,0
100,1,0.99999785,0
9637,2,0.9999995,1
9607,2,0.9999993,0
5341,2,0.99999744,0
2426,1,0.9999984,1
8947,2,0.99999905,0
7556,2,0.99999833,1
7461,2,0.99999833,0
8681,2,0.99999833,0
6814,2,0.99999785,1
6822,2,0.99999887,0
7304,2,0.9999993,0
9813,2,0.99999803,0
9204,2,0.99999726,0
6724,2,0.9999977,0
9751,2,0.9999993,0
6981,2,0.9999996,0
4293,1,0.99999833,0
8678,2,0.999999,0
6647,2,0.9999981,1
5603,2,0.99999905,0
8587,2,0.9999993,0
8474,2,0.9999995,1
5821,2,0.99999756,0
8405,2,0.9999979,1
155,1,0.99999946,0
5220,2,0.99999934,1
8174,2,0.9999988,0
8781,2,0.9999992,0
7398,2,0.9999972,0
5280,2,0.99999887,0
6223,2,0.9999998,1
9022,2,0.999999,1
9172,2,0.99999833,0
7936,2,0.99999887,1
9983,2,0.99999994,0
9573,2,0.99999994,0
5779,2,0.9999977,0
5902,2,0.99999964,1
3668,1,0.99999887,0
7681,2,0.99999744,0
5944,2,0.9999985,0
6584,2,0.99999857,0
6628,2,0.9999995,1
5669,2,0.9999972,0
2586,1,0.99999976,0
8122,2,1.0,0
6756,2,0.9999997,1
8245,2,0.9999978,0
5317,2,0.99999976,0
5789,2,0.9999993,0
7791,2,0.9999976,0
6493,2,0.9999977,0
7976,2,0.999997,0
8768,2,0.99999744,0
8669,2,0.9999991,0
9520,2,0.99999905,0
2508,1,1.0,0
249,1,0.9999972,1
7535,2,0.9999973,1
7210,2,0.9999971,0
8408,2,0.999999,1
6181,2,0.9999973,1
5622,2,0.99999875,0
9217,2,0.9999993,0
6781,2,0.99999744,0
5662,2,0.9999992,0
7515,2,0.99999976,0
