Original_ID,WC_Class,margin,in_test
11479,3,0.010187238,1
2403,1,0.059575766,1
1955,1,0.040410668,0
11053,3,0.008866429,1
759,1,0.009741038,0
3519,1,0.05229202,1
5637,2,0.03808728,0
1258,1,0.039853454,0
14192,3,0.004602641,0
5766,2,0.0020908713,1
9524,2,0.0012740791,0
2668,1,0.04069692,0
13983,3,0.046967953,0
9419,2,0.04307756,0
3648,1,0.051201403,0
7251,2,0.06548345,0
3788,1,0.029918462,0
3075,1,0.05821982,1
6159,2,0.007694006,0
3291,1,0.061521113,0
3547,1,0.043077826,0
9042,2,0.009438306,0
10203,3,0.039162904,0
8104,2,0.02824372,0
14891,3,0.044631153,0
8314,2,0.059723973,0
5426,2,0.019711018,1
5547,2,0.0035120845,0
6733,2,0.011946917,0
9146,2,0.04568574,0
2915,1,0.02572158,0
4231,1,0.029063642,1
2121,1,0.06324172,1
7632,2,0.00939998,0
261,1,0.049497426,1
3924,1,0.05835384,1
4033,1,0.016315252,0
348,1,0.046407223,1
9109,2,0.05445394,0
9151,2,0.017695576,0
5726,2,0.02636236,1
1820,1,0.005331427,0
8506,2,0.020008147,0
486,1,0.039683104,0
10963,3,0.06254396,0
6387,2,0.025530696,1
8602,2,0.009524286,0
13,1,0.038607687,0
8848,2,0.025193095,0
2952,1,0.06646454,1
4825,1,0.016719311,0
3469,1,0.033018798,0
5504,2,0.047288626,0
3322,1,0.022186697,0
3179,1,0.040958434,0
368,1,0.022188067,1
7900,2,0.0091454685,1
8022,2,0.0053164363,0
2768,1,0.035098344,0
5227,2,0.066023916,1
6168,2,0.046475172,1
7603,2,0.05232212,0
7947,2,0.032296598,1
1670,1,0.010435164,0
7544,2,0.055577368,0
5489,2,0.016821057,1
4152,1,0.02508989,1
8277,2,0.06292933,1
6084,2,0.059476227,0
9011,2,0.0010876656,0
1168,1,0.03654772,1
5577,2,0.019770116,0
7780,2,0.0046340823,0
4898,1,0.025632024,0
12047,3,0.02434197,1
8048,2,0.047076464,0
7089,2,0.045542896,0
5194,2,0.06636816,0
9797,2,0.010014504,1
7015,2,0.0048963428,0
9370,2,0.058965325,0
1322,1,0.056448936,0
11521,3,0.053817064,0
1342,1,0.053072482,0
1618,1,0.016814917,1
4791,1,0.034092426,0
3916,1,0.005224973,1
5355,2,0.059716076,1
7276,2,0.055478454,0
2439,1,0.036777467,0
8810,2,0.016343862,0
5457,2,0.016752154,0
6044,2,0.015642554,1
6907,2,0.011909157,0
5435,2,0.005547732,1
5331,2,0.037401646,1
6616,2,0.013830602,0
3402,1,0.046759278,1
5108,2,0.01744765,0
9434,2,0.050848484,0
2766,1,0.0053932965,0
787,1,0.036832213,1
4313,1,0.038045704,0
1524,1,0.0036159456,0
4437,1,0.037178278,0
3343,1,0.036635578,1
8689,2,0.06511542,0
1958,1,0.018657148,0
1449,1,0.0055144727,0
3327,1,0.048880607,0
3095,1,0.05173099,1
7971,2,0.012945771,0
8149,2,0.03332132,1
9413,2,0.015320629,1
6403,2,0.04825574,0
9486,2,0.060489714,1
8896,2,0.01070568,1
4054,1,0.06441349,0
8850,2,0.011385888,0
5158,2,0.04692453,1
7146,2,0.045821846,1
4946,1,0.029776841,0
5232,2,0.051725894,1
9575,2,0.056898355,0
3071,1,0.062333226,1
9020,2,0.04140553,0
2802,1,0.058517903,1
4432,1,0.0031978786,0
5863,2,0.021520913,1
9250,2,0.012755811,0
1381,1,0.034088194,0
1410,1,0.027993202,0
2315,1,0.060855597,0
5237,2,0.0282996,0
2614,1,0.0047058165,0
13912,3,0.06257388,1
2927,1,0.011518687,0
2696,1,0.019779414,0
2302,1,0.0117509365,1
3055,1,0.012694597,1
3515,1,0.0017511249,0
7973,2,0.036390632,0
988,1,0.004238099,1
9974,2,0.0012321472,0
5458,2,0.016781628,0
7911,2,0.021585077,1
8694,2,0.027352154,0
627,1,0.05482906,0
3185,1,0.058555007,0
6777,2,0.051212847,0
