Original_ID,WC_Class,margin,in_test
4780,1,0.9074254,1
4494,1,0.8221556,1
6494,2,0.9995982,0
4698,1,0.8108852,1
12187,3,0.72540104,0
1650,1,0.9994195,0
2946,1,0.9659899,0
758,1,0.9784982,1
13624,3,0.99220586,0
5074,2,0.9999783,1
11595,3,0.73936236,0
2181,1,0.9951938,0
13920,3,0.999759,1
8080,2,0.93775636,0
3783,1,0.38357684,1
9699,2,0.9985781,0
12627,3,0.95626545,0
10268,3,0.9996863,0
10029,3,0.9999649,1
7603,2,0.31039903,0
12866,3,0.99972636,0
1355,1,0.94729584,0
9256,2,0.9894759,0
13082,3,0.9996399,0
4687,1,0.9179445,0
9450,2,0.9992357,0
7413,2,0.99995667,1
10796,3,0.9262414,0
6314,2,0.9936119,1
9378,2,0.50672674,0
13163,3,0.57324517,0
9887,2,0.9991832,1
9979,2,0.98826087,1
9593,2,0.79812443,1
827,1,0.99570066,0
7181,2,0.98806554,1
13543,3,0.99976397,0
3986,1,0.9999976,1
2811,1,0.94772595,0
11163,3,0.9995747,0
1096,1,0.9975424,0
13167,3,0.80124795,1
8354,2,0.93341225,1
2588,1,0.9839446,1
499,1,0.80490625,0
7420,2,0.99491,0
13484,3,0.99813855,0
13435,3,0.9996229,1
14445,3,0.9997072,0
4865,1,0.79485375,0
11309,3,0.97922385,1
2526,1,0.97969395,0
992,1,0.99181724,1
13782,3,0.9997323,1
10276,3,0.99952924,0
5865,2,0.5321973,0
13984,3,0.9998114,1
1789,1,0.79890615,1
10687,3,0.9978587,0
13826,3,0.13965935,0
6166,2,0.4701911,1
13471,3,0.95578134,1
11404,3,0.9997685,1
7905,2,0.9996175,0
7255,2,0.9997596,1
10356,3,0.83257097,0
10519,3,0.9999554,0
7432,2,0.9967911,0
1429,1,0.99136835,1
6761,2,0.7999332,0
14339,3,0.99490607,1
9659,2,0.99554795,0
8190,2,0.9998587,0
12788,3,0.9998598,1
10581,3,0.99912083,0
9545,2,0.5662804,0
14998,3,0.99994546,0
9357,2,0.98353523,0
14927,3,0.9996281,1
3254,1,0.9918586,0
4230,1,0.6829072,0
9806,2,0.99706966,0
491,1,0.9699661,0
5043,2,0.99955225,0
12407,3,0.9814748,0
4296,1,0.9339346,0
3824,1,0.9873739,0
9767,2,0.96862817,0
3219,1,0.98498297,0
3978,1,0.9398018,1
4434,1,0.99717176,0
2548,1,0.98669726,0
5221,2,0.9888956,0
9050,2,0.9999764,0
4946,1,0.4903682,0
570,1,0.8071303,0
13997,3,0.78372407,0
7403,2,0.95555365,1
9350,2,0.99893916,0
11503,3,0.94698924,1
11699,3,0.99976796,0
12235,3,0.99990845,1
8032,2,0.9992929,0
8798,2,0.1217663,0
10753,3,0.9998657,1
6583,2,0.99033886,0
6864,2,0.84341854,0
12524,3,0.9965365,0
5197,2,0.9999698,1
3342,1,0.97850204,1
5361,2,0.78532904,1
13771,3,0.72435755,0
2730,1,0.9494734,1
1909,1,0.97521603,1
1853,1,0.99970996,0
7408,2,0.9971688,0
6574,2,0.9999418,0
2952,1,0.7140228,1
10410,3,0.99932265,0
13750,3,0.40777817,0
8045,2,0.9998846,1
14969,3,0.9980473,0
11753,3,0.9996266,1
11325,3,0.98404527,0
12668,3,0.9996231,0
11726,3,0.9998603,0
5503,2,0.8981732,1
2938,1,0.87443876,0
1011,1,0.6199626,0
10039,3,0.8202178,1
8915,2,0.9544614,0
11805,3,0.8681587,0
2393,1,0.7991331,1
2527,1,0.7211518,0
8290,2,0.99582696,0
4166,1,0.96831995,0
5836,2,0.93941927,0
236,1,0.9863791,1
1122,1,0.99231005,0
8661,2,0.99711186,0
452,1,0.9187007,0
2002,1,0.99016386,0
6219,2,0.4246628,0
2598,1,0.884394,0
6248,2,0.99823934,1
9784,2,0.11923531,0
12409,3,0.3834702,1
2205,1,0.7611641,0
828,1,0.9684022,0
1555,1,0.97560674,0
