Seed,Method,OA,Kappa,BE,K,n_exp,n_seed
0,Baseline_RF,0.9055555555555556,0.8583333333333334,298,,,0
0,Baseline_MLP,0.9093333333333333,0.864,280,,,0
0,PE_BAMS_Human_high,0.906,0.859,298,20.0,16.0,73
0,PE_BAMS_WC_all,0.9082222222222223,0.8623333333333334,288,30.0,39.0,150
0,PE_BAMS_WC_high,0.9093333333333333,0.864,280,20.0,17.0,73
0,PE_Random150_WC,0.9064444444444445,0.8596666666666667,289,20.0,20.0,150
0,PE_Margin150_WC,0.9071111111111111,0.8606666666666667,295,30.0,49.0,150
0,PE_Easy150_WC,0.908,0.862,277,30.0,0.0,150
1,Baseline_RF,0.9022222222222223,0.8533333333333333,308,,,0
1,Baseline_MLP,0.9091111111111111,0.8636666666666667,284,,,0
1,PE_BAMS_Human_high,0.906,0.859,287,20.0,19.0,73
1,PE_BAMS_WC_all,0.9091111111111111,0.8636666666666667,284,10.0,13.0,150
1,PE_BAMS_WC_high,0.9073333333333333,0.861,281,30.0,29.0,73
1,PE_Random150_WC,0.9071111111111111,0.8606666666666667,285,30.0,34.0,150
1,PE_Margin150_WC,0.9093333333333333,0.864,285,5.0,17.0,150
1,PE_Easy150_WC,0.9068888888888889,0.8603333333333334,295,10.0,0.0,150
2,Baseline_RF,0.9042222222222223,0.8563333333333334,299,,,0
2,Baseline_MLP,0.9104444444444444,0.8656666666666667,282,,,0
2,PE_BAMS_Human_high,0.9073333333333333,0.861,288,10.0,13.0,73
2,PE_BAMS_WC_all,0.9048888888888889,0.8573333333333333,296,10.0,24.0,150
2,PE_BAMS_WC_high,0.9068888888888889,0.8603333333333334,285,20.0,14.0,73
2,PE_Random150_WC,0.9097777777777778,0.8646666666666667,276,10.0,11.0,150
2,PE_Margin150_WC,0.9055555555555556,0.8583333333333334,289,20.0,48.0,150
2,PE_Easy150_WC,0.9046666666666666,0.857,291,20.0,1.0,150
3,Baseline_RF,0.9033333333333333,0.855,304,,,0
3,Baseline_MLP,0.9106666666666666,0.866,278,,,0
3,PE_BAMS_Human_high,0.906,0.859,292,10.0,14.0,73
3,PE_BAMS_WC_all,0.9093333333333333,0.864,286,30.0,17.0,150
3,PE_BAMS_WC_high,0.906,0.859,294,10.0,21.0,73
3,PE_Random150_WC,0.9095555555555556,0.8643333333333334,277,10.0,8.0,150
3,PE_Margin150_WC,0.9102222222222223,0.8653333333333333,287,30.0,49.0,150
3,PE_Easy150_WC,0.9053333333333333,0.858,298,5.0,0.0,150
4,Baseline_RF,0.9004444444444445,0.8506666666666667,312,,,0
4,Baseline_MLP,0.9077777777777778,0.8616666666666667,291,,,0
4,PE_BAMS_Human_high,0.9071111111111111,0.8606666666666667,284,20.0,21.0,73
4,PE_BAMS_WC_all,0.9068888888888889,0.8603333333333334,283,30.0,24.0,150
4,PE_BAMS_WC_high,0.9113333333333333,0.867,277,20.0,26.0,73
4,PE_Random150_WC,0.9088888888888889,0.8633333333333333,280,5.0,1.0,150
4,PE_Margin150_WC,0.9115555555555556,0.8673333333333333,267,20.0,42.0,150
4,PE_Easy150_WC,0.9035555555555556,0.8553333333333333,288,20.0,0.0,150
