Pack,Method,OA_mean,OA_std,dOA_vs_RF_pp,dOA_vs_MLP_pp,BE_mean,dBE_vs_RF,n_seed_mean,n_exp_mean,agree_frac_mean
—,Baseline_RF,0.9031555555555556,0.0017407249802280876,0.0,-0.6311111111111045,304.2,0.0,0.0,,
—,Baseline_MLP,0.9094666666666666,0.001038517461826458,0.6311111111111045,0.0,283.0,-21.19999999999999,0.0,,
BAMS_Human_high,SeedsOnly,0.9034666666666666,0.004434655887383624,0.031111111111103984,-0.6000000000000005,303.2,-1.0,73.0,0.0,
BAMS_Human_high,PE_std,0.9064888888888889,0.0006028737762777816,0.33333333333332993,-0.2977777777777746,289.8,-14.399999999999977,73.0,16.6,0.5265543666859456
BAMS_Human_high,PE_tight,0.9075555555555554,0.0010231879496196696,0.43999999999998485,-0.19111111111111967,287.0,-17.19999999999999,73.0,6.2,0.6522222222222223
BAMS_Human_high,PE_nolimit,0.9044444444444444,0.0019726525352153006,0.1288888888888784,-0.5022222222222261,290.2,-14.0,73.0,275.4,0.5536016688760779
BAMS_Human_high,PE_expAgreeWC,0.9066666666666666,0.0019925788241297693,0.35111111111110205,-0.28000000000000247,290.2,-14.0,73.0,9.6,0.4927849132964222
BAMS_WC_high,SeedsOnly,0.905111111111111,0.0034455195454781186,0.19555555555553772,-0.4355555555555668,301.4,-2.8000000000000114,73.0,0.0,
BAMS_WC_high,PE_std,0.9081777777777778,0.0019188473906598103,0.502222222222215,-0.1288888888888895,283.4,-20.80000000000001,73.0,21.4,0.40693593087102214
BAMS_WC_high,PE_tight,0.9076888888888888,0.0016305721180305995,0.4533333333333167,-0.1777777777777878,289.8,-14.399999999999977,73.0,6.6,0.38058608058608057
BAMS_WC_high,PE_nolimit,0.904888888888889,0.0019270651901047808,0.17333333333333645,-0.45777777777776807,298.2,-6.0,73.0,237.2,0.37309921797124684
BAMS_WC_high,PE_expAgreeWC,0.9067111111111112,0.0026195843605851163,0.3555555555555645,-0.27555555555554,290.6,-13.599999999999966,73.0,8.4,0.4688406927757841
