Seed,Pack,Method,K,n_seed,n_exp,n_exp_pre_agree,n_exp_agree_wc,OA,Kappa,BE
0,—,Baseline_RF,,0,,,,0.9055555555555556,0.8583333333333334,298
0,—,Baseline_MLP,,0,,,,0.9093333333333333,0.864,280
0,BAMS_Human_high,SeedsOnly,0.0,73,0.0,0.0,0.0,0.9051111111111111,0.8576666666666667,293
0,BAMS_Human_high,PE_std,20.0,73,16.0,16.0,9.0,0.906,0.859,298
0,BAMS_Human_high,PE_std_K5,5.0,73,3.0,3.0,0.0,0.9004444444444445,0.8506666666666667,318
0,BAMS_Human_high,PE_std_K10,10.0,73,10.0,10.0,4.0,0.9015555555555556,0.8523333333333334,309
0,BAMS_Human_high,PE_std_K20,20.0,73,16.0,16.0,9.0,0.906,0.859,298
0,BAMS_Human_high,PE_std_K30,30.0,73,23.0,23.0,13.0,0.9035555555555556,0.8553333333333333,309
0,BAMS_Human_high,PE_tight,30.0,73,9.0,9.0,4.0,0.9086666666666666,0.863,286
0,BAMS_Human_high,PE_nolimit,30.0,73,489.0,489.0,280.0,0.9017777777777778,0.8526666666666667,301
0,BAMS_Human_high,PE_expAgreeWC,10.0,73,4.0,10.0,4.0,0.9035555555555556,0.8553333333333333,305
0,BAMS_WC_high,SeedsOnly,0.0,73,0.0,0.0,0.0,0.9068888888888889,0.8603333333333334,292
0,BAMS_WC_high,PE_std,20.0,73,17.0,17.0,10.0,0.9093333333333333,0.864,280
0,BAMS_WC_high,PE_std_K5,5.0,73,5.0,5.0,4.0,0.9082222222222223,0.8623333333333334,287
0,BAMS_WC_high,PE_std_K10,10.0,73,13.0,13.0,9.0,0.9053333333333333,0.858,292
0,BAMS_WC_high,PE_std_K20,20.0,73,17.0,17.0,10.0,0.9093333333333333,0.864,280
0,BAMS_WC_high,PE_std_K30,30.0,73,20.0,20.0,11.0,0.9066666666666666,0.86,291
0,BAMS_WC_high,PE_tight,20.0,73,7.0,7.0,3.0,0.9073333333333333,0.861,289
0,BAMS_WC_high,PE_nolimit,10.0,73,199.0,199.0,74.0,0.9051111111111111,0.8576666666666667,300
0,BAMS_WC_high,PE_expAgreeWC,20.0,73,10.0,17.0,10.0,0.9024444444444445,0.8536666666666667,303
1,—,Baseline_RF,,0,,,,0.9022222222222223,0.8533333333333333,308
1,—,Baseline_MLP,,0,,,,0.9091111111111111,0.8636666666666667,284
1,BAMS_Human_high,SeedsOnly,0.0,73,0.0,0.0,0.0,0.91,0.865,279
1,BAMS_Human_high,PE_std,20.0,73,19.0,19.0,10.0,0.906,0.859,287
1,BAMS_Human_high,PE_std_K5,5.0,73,8.0,8.0,1.0,0.9042222222222223,0.8563333333333334,300
1,BAMS_Human_high,PE_std_K10,10.0,73,14.0,14.0,7.0,0.9008888888888889,0.8513333333333333,308
1,BAMS_Human_high,PE_std_K20,20.0,73,19.0,19.0,10.0,0.906,0.859,287
1,BAMS_Human_high,PE_std_K30,30.0,73,23.0,23.0,13.0,0.8971111111111111,0.8456666666666667,313
1,BAMS_Human_high,PE_tight,30.0,73,6.0,6.0,4.0,0.9057777777777778,0.8586666666666667,292
1,BAMS_Human_high,PE_nolimit,5.0,73,100.0,100.0,53.0,0.904,0.856,283
1,BAMS_Human_high,PE_expAgreeWC,30.0,73,13.0,23.0,13.0,0.9062222222222223,0.8593333333333333,288
1,BAMS_WC_high,SeedsOnly,0.0,73,0.0,0.0,0.0,0.9077777777777778,0.8616666666666667,294
1,BAMS_WC_high,PE_std,30.0,73,29.0,29.0,13.0,0.9073333333333333,0.861,281
1,BAMS_WC_high,PE_std_K5,5.0,73,5.0,5.0,4.0,0.9011111111111111,0.8516666666666667,306
1,BAMS_WC_high,PE_std_K10,10.0,73,10.0,10.0,5.0,0.9022222222222223,0.8533333333333333,315
1,BAMS_WC_high,PE_std_K20,20.0,73,19.0,19.0,8.0,0.9053333333333333,0.858,296
1,BAMS_WC_high,PE_std_K30,30.0,73,29.0,29.0,13.0,0.9073333333333333,0.861,281
1,BAMS_WC_high,PE_tight,10.0,73,3.0,3.0,2.0,0.9095555555555556,0.8643333333333334,285
1,BAMS_WC_high,PE_nolimit,10.0,73,199.0,199.0,74.0,0.908,0.862,292
1,BAMS_WC_high,PE_expAgreeWC,30.0,73,13.0,29.0,13.0,0.9097777777777778,0.8646666666666667,283
2,—,Baseline_RF,,0,,,,0.9042222222222223,0.8563333333333334,299
2,—,Baseline_MLP,,0,,,,0.9104444444444444,0.8656666666666667,282
2,BAMS_Human_high,SeedsOnly,0.0,73,0.0,0.0,0.0,0.8975555555555556,0.8463333333333334,329
2,BAMS_Human_high,PE_std,10.0,73,13.0,13.0,8.0,0.9073333333333333,0.861,288
2,BAMS_Human_high,PE_std_K5,5.0,73,6.0,6.0,2.0,0.9053333333333333,0.858,290
2,BAMS_Human_high,PE_std_K10,10.0,73,13.0,13.0,8.0,0.9073333333333333,0.861,288
2,BAMS_Human_high,PE_std_K20,20.0,73,17.0,17.0,11.0,0.8944444444444445,0.8416666666666667,339
2,BAMS_Human_high,PE_std_K30,30.0,73,21.0,21.0,11.0,0.9051111111111111,0.8576666666666667,297
2,BAMS_Human_high,PE_tight,5.0,73,2.0,2.0,2.0,0.9071111111111111,0.8606666666666667,281
2,BAMS_Human_high,PE_nolimit,30.0,73,489.0,489.0,280.0,0.9075555555555556,0.8613333333333333,283
2,BAMS_Human_high,PE_expAgreeWC,20.0,73,11.0,17.0,11.0,0.9082222222222223,0.8623333333333334,278
2,BAMS_WC_high,SeedsOnly,0.0,73,0.0,0.0,0.0,0.9044444444444445,0.8566666666666667,303
2,BAMS_WC_high,PE_std,20.0,73,14.0,14.0,5.0,0.9068888888888889,0.8603333333333334,285
2,BAMS_WC_high,PE_std_K5,5.0,73,6.0,6.0,4.0,0.9044444444444445,0.8566666666666667,295
2,BAMS_WC_high,PE_std_K10,10.0,73,10.0,10.0,5.0,0.8962222222222223,0.8443333333333334,332
2,BAMS_WC_high,PE_std_K20,20.0,73,14.0,14.0,5.0,0.9068888888888889,0.8603333333333334,285
2,BAMS_WC_high,PE_std_K30,30.0,73,18.0,18.0,8.0,0.9051111111111111,0.8576666666666667,298
2,BAMS_WC_high,PE_tight,20.0,73,2.0,2.0,0.0,0.9093333333333333,0.864,276
2,BAMS_WC_high,PE_nolimit,30.0,73,489.0,489.0,176.0,0.9055555555555556,0.8583333333333334,299
2,BAMS_WC_high,PE_expAgreeWC,5.0,73,4.0,6.0,4.0,0.9057777777777778,0.8586666666666667,291
3,—,Baseline_RF,,0,,,,0.9033333333333333,0.855,304
3,—,Baseline_MLP,,0,,,,0.9106666666666666,0.866,278
3,BAMS_Human_high,SeedsOnly,0.0,73,0.0,0.0,0.0,0.9051111111111111,0.8576666666666667,293
3,BAMS_Human_high,PE_std,10.0,73,14.0,14.0,7.0,0.906,0.859,292
3,BAMS_Human_high,PE_std_K5,5.0,73,8.0,8.0,2.0,0.9033333333333333,0.855,308
3,BAMS_Human_high,PE_std_K10,10.0,73,14.0,14.0,7.0,0.906,0.859,292
3,BAMS_Human_high,PE_std_K20,20.0,73,21.0,21.0,9.0,0.902,0.853,302
3,BAMS_Human_high,PE_std_K30,30.0,73,23.0,23.0,12.0,0.8984444444444445,0.8476666666666667,332
3,BAMS_Human_high,PE_tight,10.0,73,4.0,4.0,3.0,0.908,0.862,291
3,BAMS_Human_high,PE_nolimit,10.0,73,199.0,199.0,112.0,0.9033333333333333,0.855,288
3,BAMS_Human_high,PE_expAgreeWC,20.0,73,9.0,21.0,9.0,0.906,0.859,294
3,BAMS_WC_high,SeedsOnly,0.0,73,0.0,0.0,0.0,0.9077777777777778,0.8616666666666667,289
3,BAMS_WC_high,PE_std,10.0,73,21.0,21.0,7.0,0.906,0.859,294
3,BAMS_WC_high,PE_std_K5,5.0,73,10.0,10.0,5.0,0.9048888888888889,0.8573333333333333,304
3,BAMS_WC_high,PE_std_K10,10.0,73,21.0,21.0,7.0,0.906,0.859,294
3,BAMS_WC_high,PE_std_K20,20.0,73,28.0,28.0,9.0,0.9002222222222223,0.8503333333333334,317
3,BAMS_WC_high,PE_std_K30,30.0,73,39.0,39.0,16.0,0.8964444444444445,0.8446666666666667,335
3,BAMS_WC_high,PE_tight,30.0,73,13.0,13.0,4.0,0.9071111111111111,0.8606666666666667,296
3,BAMS_WC_high,PE_nolimit,10.0,73,199.0,199.0,74.0,0.9024444444444445,0.8536666666666667,294
3,BAMS_WC_high,PE_expAgreeWC,10.0,73,7.0,21.0,7.0,0.9091111111111111,0.8636666666666667,288
4,—,Baseline_RF,,0,,,,0.9004444444444445,0.8506666666666667,312
4,—,Baseline_MLP,,0,,,,0.9077777777777778,0.8616666666666667,291
4,BAMS_Human_high,SeedsOnly,0.0,73,0.0,0.0,0.0,0.8995555555555556,0.8493333333333333,322
4,BAMS_Human_high,PE_std,20.0,73,21.0,21.0,9.0,0.9071111111111111,0.8606666666666667,284
4,BAMS_Human_high,PE_std_K5,5.0,73,8.0,8.0,4.0,0.9075555555555556,0.8613333333333333,288
4,BAMS_Human_high,PE_std_K10,10.0,73,13.0,13.0,7.0,0.9048888888888889,0.8573333333333333,295
4,BAMS_Human_high,PE_std_K20,20.0,73,21.0,21.0,9.0,0.9071111111111111,0.8606666666666667,284
4,BAMS_Human_high,PE_std_K30,30.0,73,26.0,26.0,11.0,0.9015555555555556,0.8523333333333334,312
4,BAMS_Human_high,PE_tight,20.0,73,10.0,10.0,4.0,0.9082222222222223,0.8623333333333334,285
