City,PointID,Original_ID,Human_Class,WC_Class,Scene_raw,Scene_group,Disagree,Confidence
Wuhan,1,9847,1,2,sb,Built-up edge / urban fabric,1,h
Wuhan,2,5089,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,3,9948,3,2,tw,Water / water edge,1,m
Wuhan,4,5474,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,5,9953,2,2,ct,Cropland / paddy transition,0,m
Wuhan,6,6412,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,7,9192,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,8,4001,2,1,ub,Urban green space,1,h
Wuhan,9,12096,3,3,we,Water / water edge,0,m
Wuhan,10,9912,2,2,re,Road / road edge,0,m
Wuhan,11,1409,2,1,ub,Urban green space,1,h
Wuhan,12,7604,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,13,9476,3,2,we,Water / water edge,1,m
Wuhan,14,5282,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,15,4708,2,1,ub,Urban green space,1,h
Wuhan,16,7342,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,17,14813,2,3,re,Road / road edge,1,m
Wuhan,18,5800,2,2,fe,Vegetation / forest edge,0,m
Wuhan,19,9546,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,20,6321,1,2,car parking,Built-up edge / urban fabric,1,h
Wuhan,21,7863,1,2,sb,Built-up edge / urban fabric,1,h
Wuhan,22,8554,2,2,ce,Cropland / paddy transition,0,m
Wuhan,23,6530,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,24,11090,3,3,we,Water / water edge,0,m
Wuhan,25,6553,2,2,re,Road / road edge,0,m
Wuhan,26,6212,1,2,sb,Built-up edge / urban fabric,1,h
Wuhan,27,9165,1,2,air port land,Other / misc,1,h
Wuhan,28,6773,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,29,3996,1,1,be,Built-up edge / urban fabric,0,m
Wuhan,30,7889,1,2,mx,Mixed / complex,1,h
Wuhan,31,11040,3,3,we,Water / water edge,0,m
Wuhan,32,2351,2,1,cs,Bare land / construction,1,h
Wuhan,33,1217,1,1,ub,Urban green space,0,m
Wuhan,34,2484,2,1,cs,Bare land / construction,1,h
Wuhan,35,9041,2,2,cs,Bare land / construction,0,m
Wuhan,36,5586,1,2,sb,Built-up edge / urban fabric,1,h
Wuhan,37,5765,1,2,re,Road / road edge,1,h
Wuhan,38,5265,3,2,we,Water / water edge,1,m
Wuhan,39,13936,2,3,bl,Bare land / construction,1,m
Wuhan,40,1148,1,1,be,Built-up edge / urban fabric,0,m
Wuhan,41,5418,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,42,6636,2,2,bl,Bare land / construction,0,m
Wuhan,43,9666,2,2,cs,Bare land / construction,0,m
Wuhan,44,8241,2,2,re,Road / road edge,0,m
Wuhan,45,9684,1,2,br,Built-up edge / urban fabric,1,h
Wuhan,46,8894,3,2,we,Water / water edge,1,m
Wuhan,47,7984,2,2,ce,Cropland / paddy transition,0,m
Wuhan,48,7445,3,2,we,Water / water edge,1,m
Wuhan,49,3173,1,1,re,Road / road edge,0,m
Wuhan,50,9637,2,2,re,Road / road edge,0,m
Wuhan,51,4587,2,1,re,Road / road edge,1,h
Wuhan,52,8367,2,2,cs,Bare land / construction,0,m
Wuhan,53,10636,2,3,re,Road / road edge,1,m
Wuhan,54,5450,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,55,7582,2,2,re,Road / road edge,0,m
Wuhan,56,4596,1,1,square,Other / misc,0,m
Wuhan,57,10175,3,3,wr,Water / water edge,0,m
Wuhan,58,5054,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,59,7452,1,2,re,Road / road edge,1,h
Wuhan,60,1804,2,1,ub,Urban green space,1,h
Wuhan,61,9869,2,2,cs,Bare land / construction,0,m
Wuhan,62,3934,2,1,ub,Urban green space,1,h
Wuhan,63,10479,3,3,we,Water / water edge,0,m
Wuhan,64,5286,3,2,we,Water / water edge,1,m
Wuhan,65,8465,2,2,ce,Cropland / paddy transition,0,m
Wuhan,66,14403,2,3,ce,Cropland / paddy transition,1,m
Wuhan,67,2697,2,1,cs,Bare land / construction,1,h
Wuhan,68,2501,2,1,ub,Urban green space,1,h
Wuhan,69,7809,2,2,ce,Cropland / paddy transition,0,m
Wuhan,70,1871,2,1,rs,Rural settlement / surfaces,1,h
Wuhan,71,8722,2,2,ub,Urban green space,0,m
Wuhan,72,6186,1,2,sb,Built-up edge / urban fabric,1,h
Wuhan,73,4549,2,1,mx,Mixed / complex,1,h
Wuhan,74,7668,2,2,bl,Bare land / construction,0,m
Wuhan,75,7159,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,76,9537,2,2,fe,Vegetation / forest edge,0,m
Wuhan,77,9488,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,78,2961,1,1,sb,Built-up edge / urban fabric,0,m
Wuhan,79,2025,2,1,ce,Cropland / paddy transition,1,h
Wuhan,80,6382,2,2,ub,Urban green space,0,m
Wuhan,81,2695,2,1,fe,Vegetation / forest edge,1,h
